"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","14",5000000,"","","110",,"ほぼ整形","","90","昭和46年","木造","共同住宅","住宅","接面道路無","",,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","新小金井","10",50000000,"650000","","250",200000,"長方形","13.7","","","","","住宅","東","市道",3.9,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","11",49000000,"","","100",,"ほぼ長方形","18.0","80","平成31年","木造","住宅","住宅","東","私道",6.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
4,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","10",49000000,"","","100",,"長方形","12.6","80","平成31年","木造","住宅","住宅","西","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
5,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",49000000,"","","100",,"長方形","13.1","80","令和2年","木造","住宅","住宅","東","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
6,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","9",53000000,"","","110",,"ほぼ長方形","11.0","85","平成31年","木造","住宅","住宅","東","私道",5.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
7,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","10",55000000,"","","110",,"ほぼ整形","10.9","90","平成31年","木造","住宅","住宅","東","私道",5.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
8,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","14",52000000,"","","140",,"袋地等","3.0","100","平成30年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
9,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","新小金井","13",47000000,"990000","","155",300000,"長方形","","","","","","","東","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","16",57000000,"","","135",,"ほぼ長方形","8.4","100","平成29年","木造","住宅","住宅","南","市道",5.8,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
11,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",190000000,"","","670",,"長方形","43.7","320","平成11年","軽量鉄骨造","事務所、倉庫","住宅","西","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
12,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","13",45000000,"","","120",,"不整形","","85","平成19年","木造","住宅","住宅","西","市道",4.5,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
13,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","新小金井","9",9000000,"410000","","75",120000,"ほぼ長方形","5.4","","","","","その他","東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
14,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",41000000,"","","110",,"ほぼ長方形","9.3","85","平成18年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
15,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",54000000,"890000","","200",270000,"ほぼ長方形","10.7","","","","","","東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
16,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","13",61000000,"","","210",,"長方形","13.1","85","昭和36年","","住宅","","西","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
