"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","8",89000000,"","","145",,"ほぼ長方形","7.6","350","昭和62年","鉄骨造","共同住宅、事務所","住宅","北","区道",4.0,"近隣商業地域",80,300,"2020年第４四半期","",""
2,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","4",38000000,"","１ＬＤＫ","35",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
3,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","6",37000000,"","２ＬＤＫ","50",,"","","","昭和52年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第４四半期","改装済",""
4,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","8",21000000,"","１Ｋ","20",,"","","","平成21年","ＲＣ","住宅","その他","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
5,"宅地(土地)","住宅地","13114","東京都","中野区","新井","新井薬師前","3",51000000,"2500000","","65",750000,"ほぼ長方形","7.9","","","","","住宅","北西","私道",3.9,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
6,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","9",23000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第３四半期","未改装",""
7,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","8",46000000,"","","55",,"ほぼ長方形","4.0","45","令和2年","木造","住宅","住宅","南","道路",3.3,"近隣商業地域",80,300,"2020年第２四半期","","私道を含む取引"
8,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","6",23000000,"","２ＬＤＫ","50",,"","","","昭和52年","ＲＣ","","その他","","",,"近隣商業地域",80,400,"2020年第２四半期","未改装",""
9,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","3",240000000,"","","300",,"ほぼ正方形","17.3","350","平成3年","木造","共同住宅、駐車場","住宅","北西","区道",4.0,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
10,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","9",50000000,"","","55",,"ほぼ長方形","4.0","60","平成31年","木造","住宅","","南東","私道",4.0,"近隣商業地域",80,300,"2019年第４四半期","",""
11,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","5",85000000,"","","190",,"不整形","6.4","280","昭和51年","鉄骨造、木造","住宅","住宅","南","区道",8.0,"第１種中高層住居専用地域",60,200,"2019年第４四半期","","私道を含む取引"
12,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","10",37000000,"","","90",,"ほぼ長方形","6.5","","","","","その他","東","私道",2.6,"第１種住居地域",60,200,"2019年第４四半期","","私道を含む取引"
13,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","4",190000000,"","","100",,"ほぼ長方形","7.0","190","平成31年","ＲＣ","共同住宅","住宅","南西","区道",6.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
14,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","5",10000000,"","１Ｋ","10",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2019年第２四半期","改装済",""
15,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","8",44000000,"","２ＤＫ","45",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2019年第２四半期","改装済",""
16,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","3",36000000,"","２ＤＫ","45",,"","","","","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第２四半期","改装済",""
17,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","4",53000000,"","２ＬＤＫ","55",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2019年第２四半期","未改装",""
18,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","8",19000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","","","",,"近隣商業地域",80,400,"2019年第２四半期","未改装",""
19,"宅地(土地と建物)","商業地","13114","東京都","中野区","新井","新井薬師前","7",140000000,"","","145",,"台形","10.5","350","平成2年","ＲＣ","共同住宅、その他","住宅","北東","区道",8.0,"近隣商業地域",80,300,"2019年第１四半期","",""
20,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","3",40000000,"","１ＬＤＫ","40",,"","","","平成23年","ＲＣ","住宅","","","",,"近隣商業地域",80,400,"2019年第１四半期","",""
