"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13201","東京都","八王子市","暁町","京王八王子","16",2700000,"","１Ｒ","15",,"","","","昭和63年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第３四半期","改装済",""
2,"中古マンション等","","13201","東京都","八王子市","暁町","京王八王子","16",2600000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第２四半期","未改装",""
3,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","京王八王子","24",31000000,"","","120",,"ほぼ長方形","7.0","100","平成29年","木造","住宅","住宅","北","市道",8.0,"準工業地域",60,200,"2017年第１四半期","",""
4,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","京王八王子","23",25000000,"","","125",,"不整形","3.4","105","平成28年","木造","住宅","住宅","南","市道",4.0,"準工業地域",60,300,"2017年第１四半期","",""
5,"中古マンション等","","13201","東京都","八王子市","暁町","京王八王子","16",2100000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第２四半期","改装済",""
6,"中古マンション等","","13201","東京都","八王子市","暁町","京王八王子","16",2400000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第２四半期","",""
7,"中古マンション等","","13201","東京都","八王子市","暁町","京王八王子","16",2500000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","事務所","住宅","","",,"準工業地域",60,200,"2016年第２四半期","改装済",""
8,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","23",19000000,"430000","","145",130000,"ほぼ長方形","7.8","","","","","住宅","北","私道",4.0,"準工業地域",60,200,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",26000000,"","","140",,"袋地等","2.2","90","令和2年","木造","住宅","住宅","南","私道",4.0,"準工業地域",60,200,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",20000000,"","","120",,"ほぼ台形","11.0","90","平成15年","木造","住宅","住宅","北","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
11,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","28",56000000,"","","490",,"不整形","","280","平成8年","木造","住宅","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
12,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","26",12000000,"","","130",,"ほぼ長方形","9.0","100","平成8年","木造","住宅","住宅","北","市道",5.0,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
13,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","19",33000000,"","","110",,"不整形","2.5","95","平成31年","木造","住宅","住宅","東","市道",5.8,"準工業地域",60,200,"2020年第１四半期","",""
14,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","21",7300000,"","３ＬＤＫ","65",,"","","","平成19年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2019年第４四半期","未改装",""
15,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","26",14000000,"","２ＬＤＫ","55",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第４四半期","未改装",""
16,"宅地(土地と建物)","商業地","13201","東京都","八王子市","暁町","八王子","29",220000000,"","","1000",,"長方形","21.0","175","平成25年","鉄骨造","店舗","店舗","西","国道",25.0,"近隣商業地域",80,300,"2019年第３四半期","",""
17,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","26",13000000,"420000","","105",130000,"長方形","4.0","","","","","住宅","東","私道",4.8,"準工業地域",60,200,"2019年第２四半期","",""
18,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",8000000,"","","100",,"ほぼ台形","11.5","75","昭和54年","木造","住宅","その他","北西","市道",5.8,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
19,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","30分?60分",14000000,"","３ＬＤＫ","55",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第３四半期","改装済",""
20,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","30分?60分",11000000,"","３ＬＤＫ","65",,"","","","平成10年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第３四半期","改装済",""
21,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","20",24000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第１四半期","改装済",""
22,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","30分?60分",16000000,"","３ＬＤＫ","75",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第１四半期","未改装",""
23,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",27000000,"","","145",,"ほぼ長方形","5.5","100","平成29年","木造","住宅","住宅","南西","市道",8.0,"第１種中高層住居専用地域",60,200,"2017年第４四半期","",""
24,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",36000000,"","","140",,"ほぼ長方形","6.0","105","平成29年","木造","住宅","住宅","北西","私道",4.0,"第１種中高層住居専用地域",60,200,"2017年第４四半期","",""
25,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",28000000,"","","125",,"長方形","","105","平成29年","木造","住宅","住宅","南","道路",4.0,"第１種中高層住居専用地域",60,200,"2017年第４四半期","",""
26,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",190000000,"","","1300",,"ほぼ長方形","24.0","760","平成4年","軽量鉄骨造","共同住宅","","南東","市道",6.0,"準工業地域",60,200,"2017年第４四半期","",""
27,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",16000000,"","","135",,"ほぼ長方形","16.0","95","平成15年","木造","住宅","","西","市道",5.0,"第１種中高層住居専用地域",60,200,"2017年第４四半期","",""
28,"宅地(土地)","宅地見込地","13201","東京都","八王子市","暁町","八王子","30分?60分",44000000,"57000","","2000㎡以上",17000,"不整形","","","","","","","南東","市道",5.5,"第１種中高層住居専用地域",60,200,"2017年第４四半期","",""
29,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",11000000,"140000","","270",41000,"ほぼ台形","16.5","","","","","","南","市道",4.0,"第１種低層住居専用地域",30,60,"2017年第４四半期","",""
30,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","29",4300000,"180000","","80",54000,"ほぼ長方形","2.3","","","","","","東","市道",3.0,"準工業地域",60,200,"2017年第４四半期","",""
31,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",23000000,"","","125",,"ほぼ台形","9.0","110","平成29年","木造","住宅","住宅","北東","市道",4.0,"第１種中高層住居専用地域",60,200,"2017年第４四半期","",""
32,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","30分?60分",15000000,"","３ＬＤＫ","75",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2017年第４四半期","未改装",""
33,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","21",18000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第４四半期","未改装",""
34,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","18",2200000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2017年第４四半期","未改装",""
35,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","25",58000000,"","","105",,"ほぼ長方形","14.0","160","平成2年","鉄骨造","共同住宅","住宅","南","市道",4.0,"準工業地域",60,200,"2017年第３四半期","",""
36,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","28",18000000,"","３ＬＤＫ","65",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2017年第３四半期","改装済",""
37,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","25",21000000,"","３ＬＤＫ＋Ｓ","75",,"","","","","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2017年第３四半期","改装済",""
38,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","21",19000000,"","３ＬＤＫ","65",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第２四半期","未改装",""
39,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","19",15000000,"","","135",,"ほぼ長方形","10.0","120","平成8年","木造","住宅","住宅","西","道路",4.0,"準工業地域",60,200,"2017年第１四半期","",""
40,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","26",40000000,"","","185",,"ほぼ長方形","13.0","190","平成15年","鉄骨造","住宅","その他","西","市道",5.0,"準工業地域",60,200,"2017年第１四半期","",""
41,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","25",27000000,"","","135",,"袋地等","4.1","100","平成28年","木造","住宅","住宅","南","市道",4.0,"準工業地域",60,200,"2017年第１四半期","",""
42,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","21",17000000,"","２ＬＤＫ","60",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第１四半期","改装済",""
43,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","20",2500000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第１四半期","未改装",""
44,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",23000000,"","","150",,"不整形","24.0","90","平成23年","木造","住宅","住宅","南西","私道",6.0,"第１種低層住居専用地域",30,60,"2016年第４四半期","",""
45,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","24",30000000,"","","140",,"ほぼ長方形","8.0","100","平成28年","木造","住宅","住宅","東","私道",4.5,"準工業地域",60,200,"2016年第４四半期","",""
46,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","29",16000000,"420000","","125",130000,"ほぼ台形","12.0","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2016年第４四半期","",""
47,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",23000000,"","","130",,"袋地等","","100","平成24年","木造","住宅","住宅","北西","市道",7.0,"第１種中高層住居専用地域",60,200,"2016年第３四半期","",""
48,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","23",32000000,"","","125",,"長方形","8.0","100","平成28年","木造","住宅","住宅","北東","私道",4.5,"準工業地域",60,200,"2016年第３四半期","",""
49,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","20",19000000,"200000","","320",60000,"ほぼ長方形","17.0","","","","","住宅","北","私道",4.0,"準工業地域",60,200,"2016年第３四半期","",""
50,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","26",92000000,"310000","","980",94000,"不整形","20.0","","","","","住宅","南","市道",4.0,"準工業地域",60,200,"2016年第３四半期","",""
51,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","24",30000000,"","","125",,"ほぼ長方形","8.0","100","平成28年","木造","住宅","住宅","北","私道",4.5,"準工業地域",,,"2016年第３四半期","",""
52,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",45000000,"260000","","590",77000,"ほぼ整形","31.0","","","","","","南東","市道",8.2,"第１種中高層住居専用地域",60,200,"2016年第３四半期","",""
53,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",20000000,"","","185",,"ほぼ正方形","13.0","105","平成9年","木造","住宅","住宅","東","市道",4.0,"第１種中高層住居専用地域",60,200,"2016年第２四半期","",""
54,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","30分?60分",11000000,"","","115",,"ほぼ長方形","","95","平成9年","木造","住宅","住宅","南","私道",4.8,"第１種中高層住居専用地域",60,200,"2016年第２四半期","","調停・競売等"
55,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","24",30000000,"","","140",,"ほぼ台形","17.0","160","昭和62年","木造","共同住宅","住宅","北東","市道",4.5,"第１種中高層住居専用地域",60,200,"2016年第２四半期","",""
56,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","24",35000000,"","","140",,"台形","10.0","105","平成28年","木造","住宅","住宅","南","市道",4.5,"準工業地域",60,200,"2016年第２四半期","",""
57,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","23",24000000,"","２ＬＤＫ","90",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2016年第２四半期","改装済",""
58,"中古マンション等","","13201","東京都","八王子市","暁町","八王子","30分?60分",13000000,"","３ＬＤＫ","65",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,500,"2016年第２四半期","","調停・競売等"
59,"宅地(土地)","住宅地","13201","東京都","八王子市","暁町","八王子","26",2100000,"120000","","60",36000,"長方形","12.3","","","","","その他","北東","市道",6.8,"準工業地域",60,200,"2016年第１四半期","",""
60,"宅地(土地と建物)","住宅地","13201","東京都","八王子市","暁町","八王子","26",110000000,"","","770",,"不整形","17.9","240","昭和61年","鉄骨造","事務所、倉庫","事務所","南","市道",8.0,"準工業地域",60,200,"2016年第１四半期","",""
