"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","5",59000000,"","１ＤＫ","35",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
2,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","5",23000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
3,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","5",26000000,"","１ＤＫ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","改装済",""
4,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",88000000,"","２ＬＤＫ","60",,"","","","平成19年","ＲＣ","","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
5,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",58000000,"","","95",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2020年第２四半期","",""
6,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",42000000,"","","70",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2020年第２四半期","",""
7,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",65000000,"","３ＬＤＫ","55",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第１四半期","未改装",""
8,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",40000000,"","１ＬＤＫ","30",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
9,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",130000000,"","３ＬＤＫ","80",,"","","","平成19年","ＲＣ","","その他","","",,"商業地域",80,500,"2019年第３四半期","改装済",""
10,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",36000000,"","１ＬＤＫ","35",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2019年第３四半期","改装済",""
11,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","2",400000000,"","","110",,"台形","9.0","260","平成30年","鉄骨造","事務所、店舗","店舗","北西","区道",4.0,"商業地域",80,500,"2019年第２四半期","",""
12,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","1",180000000,"","","50",,"長方形","5.2","260","昭和51年","ＲＣ","共同住宅、事務所","","南西","都道",27.0,"商業地域",80,700,"2019年第２四半期","",""
13,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",100000000,"","２ＬＤＫ","65",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第２四半期","改装済",""
14,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","",120000000,"","","65",,"ほぼ長方形","6.5","260","昭和45年","鉄骨造","住宅、事務所、作業場","事務所","南","区道",11.0,"商業地域",80,700,"2019年第１四半期","",""
15,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",24000000,"","１ＬＤＫ","35",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2018年第４四半期","未改装",""
16,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",13000000,"","１Ｋ","20",,"","","","昭和57年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2018年第３四半期","未改装",""
17,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","3",250000000,"","","80",,"ほぼ台形","6.8","330","昭和61年","ＲＣ","住宅、事務所、店舗","事務所","南西","区道",8.0,"商業地域",80,500,"2018年第２四半期","",""
18,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",22000000,"","１Ｋ","30",,"","","","昭和60年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2018年第２四半期","未改装",""
19,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",69000000,"","２ＬＤＫ","70",,"","","","昭和59年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2018年第２四半期","未改装",""
20,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",21000000,"","１Ｋ","25",,"","","","昭和60年","ＳＲＣ","住宅","事務所","","",,"商業地域",80,700,"2018年第２四半期","未改装",""
21,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",81000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2018年第２四半期","未改装",""
22,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",45000000,"","１ＬＤＫ","45",,"","","","昭和57年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2018年第１四半期","改装済",""
23,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",66000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2017年第４四半期","改装済",""
24,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","5",19000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","","住宅","","",,"商業地域",80,500,"2017年第４四半期","未改装",""
25,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",37000000,"","１ＬＤＫ","45",,"","","","平成24年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2017年第３四半期","未改装",""
26,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","5",18000000,"","１Ｒ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第３四半期","未改装",""
27,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","3",240000000,"","","80",,"ほぼ台形","6.8","330","昭和61年","ＲＣ","住宅、事務所、店舗","事務所","南西","区道",8.0,"商業地域",80,500,"2017年第２四半期","",""
28,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",65000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2017年第２四半期","改装済",""
29,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",53000000,"","２ＬＤＫ","55",,"","","","平成11年","ＳＲＣ","住宅","","","",,"商業地域",80,500,"2017年第２四半期","未改装",""
30,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",65000000,"","","55",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2017年第２四半期","未改装",""
31,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",56000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2017年第２四半期","未改装",""
32,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",15000000,"","１Ｋ","20",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2017年第１四半期","未改装",""
33,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",93000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第１四半期","改装済",""
34,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","2",45000000,"","","50",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2016年第４四半期","改装済",""
35,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",100000000,"","３ＬＤＫ","85",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2016年第４四半期","未改装",""
36,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",66000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2016年第４四半期","改装済",""
37,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",51000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2016年第３四半期","未改装",""
38,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","2",47000000,"","１ＤＫ＋Ｓ","50",,"","","","","","住宅","住宅","","",,"商業地域",80,500,"2016年第３四半期","未改装",""
39,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","",66000000,"","１ＬＤＫ","70",,"","","","","","住宅","住宅","","",,"商業地域",80,600,"2016年第３四半期","改装済",""
40,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",60000000,"","３ＤＫ","55",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2016年第２四半期","",""
41,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","5",300000000,"","","210",,"ほぼ長方形","13.0","460","昭和57年","ＲＣ","その他","住宅","北東","区道",5.0,"商業地域",80,500,"2016年第１四半期","",""
42,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","4",170000000,"","","105",,"ほぼ長方形","6.8","250","昭和45年","ＲＣ","事務所、倉庫","住宅","北東","区道",4.0,"商業地域",80,700,"2016年第１四半期","",""
43,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",78000000,"","２ＬＤＫ","65",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2016年第１四半期","未改装",""
44,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","2",22000000,"","１Ｋ","25",,"","","","昭和57年","ＳＲＣ","住宅","事務所","","",,"商業地域",80,700,"2016年第１四半期","未改装",""
45,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",99000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2016年第１四半期","未改装",""
46,"中古マンション等","","13101","東京都","千代田区","飯田橋","九段下","4",22000000,"","１Ｋ","20",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","改装済",""
