"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","10",25000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
2,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","10",27000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","",""
3,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","9",18000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
4,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","9",22000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
5,"宅地(土地と建物)","住宅地","13109","東京都","品川区","荏原","荏原中延","11",66000000,"","","40",,"長方形","7.5","","令和3年","木造","住宅","住宅","東","区道",4.6,"準工業地域",60,300,"2020年第２四半期","",""
6,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","10",25000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第２四半期","未改装",""
7,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","10",21000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","","その他","","",,"商業地域",80,400,"2020年第２四半期","未改装",""
8,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","10",27000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第１四半期","",""
9,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","9",62000000,"","","65",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第１四半期","改装済",""
10,"中古マンション等","","13109","東京都","品川区","荏原","荏原中延","10",23000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,400,"2019年第４四半期","未改装",""
