"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","9",54000000,"540000","","330",160000,"ほぼ台形","9.0","","","","","住宅","東","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13214","東京都","国分寺市","泉町","国分寺","9",39000000,"","","100",,"ほぼ長方形","11.3","90","平成11年","木造","住宅","住宅","南西","市道",6.3,"第１種低層住居専用地域",50,80,"2020年第２四半期","",""
3,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","8",39000000,"870000","","145",260000,"ほぼ台形","20.0","","","","","","南","市道",5.0,"第１種低層住居専用地域",50,80,"2020年第２四半期","",""
4,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","10",62000000,"1300000","","155",390000,"ほぼ長方形","11.0","","","","","住宅","西","私道",4.5,"第１種低層住居専用地域",50,80,"2020年第１四半期","",""
5,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","9",54000000,"1500000","","120",440000,"長方形","9.7","","","","","住宅","東","市道",5.4,"第１種低層住居専用地域",50,80,"2019年第４四半期","",""
6,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","11",16000000,"430000","","120",130000,"ほぼ整形","","","","","","","東","私道",4.2,"第１種低層住居専用地域",50,80,"2019年第３四半期","","私道を含む取引"
7,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","9",130000000,"600000","","690",180000,"ほぼ台形","18.0","","","","","住宅","東","市道",6.4,"第１種低層住居専用地域",50,80,"2019年第１四半期","",""
8,"宅地(土地と建物)","住宅地","13214","東京都","国分寺市","泉町","国分寺","12",63000000,"","","105",,"ほぼ整形","9.5","85","平成31年","木造","住宅","住宅","西","市道",16.0,"第１種低層住居専用地域",50,80,"2019年第１四半期","",""
9,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","12",36000000,"1300000","","95",390000,"長方形","7.3","","","","","住宅","西","市道",4.0,"第１種低層住居専用地域",50,80,"2018年第４四半期","",""
10,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","7",54000000,"1100000","","165",320000,"台形","12.0","","","","","住宅","北東","市道",6.4,"第１種低層住居専用地域",50,80,"2018年第３四半期","",""
11,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","8",36000000,"1200000","","105",350000,"不整形","7.3","","","","","その他","南西","私道",4.0,"第１種低層住居専用地域",50,80,"2018年第３四半期","",""
12,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","9",26000000,"950000","","90",290000,"不整形","10.0","","","","","その他","南西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
13,"中古マンション等","","13214","東京都","国分寺市","泉町","国分寺","11",41000000,"","４ＬＤＫ","100",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,80,"2017年第１四半期","未改装",""
14,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","6",34000000,"","３ＬＤＫ","80",,"","","","","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
15,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","7",34000000,"","３ＬＤＫ","75",,"","","","昭和59年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
16,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","1",16000000,"","","60",,"","","","平成18年","ＲＣ","","","","",,"商業地域",80,400,"2020年第３四半期","",""
17,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","2",30000000,"","３ＬＤＫ","70",,"","","","","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
18,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","西国分寺","7",49000000,"1200000","","130",370000,"ほぼ長方形","10.0","","","","","住宅","南西","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
19,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","1",45000000,"","３ＬＤＫ","85",,"","","","平成2年","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第２四半期","改装済",""
20,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","9",62000000,"","２ＬＤＫ","75",,"","","","平成24年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第１四半期","改装済",""
21,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","4",35000000,"","３ＬＤＫ","75",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第１四半期","改装済",""
22,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","9",52000000,"","３ＬＤＫ","65",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第１四半期","未改装",""
