"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13215","東京都","国立市","青柳","西国立","14",23000000,"","３ＬＤＫ","65",,"","","","平成8年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第４四半期","未改装",""
2,"中古マンション等","","13215","東京都","国立市","青柳","西国立","16",25000000,"","３ＬＤＫ","60",,"","","","平成21年","ＲＣ","","住宅","","",,"準工業地域",60,300,"2020年第１四半期","改装済",""
3,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","西国立","11",18000000,"","","80",,"長方形","6.0","60","昭和59年","木造","住宅","倉庫","北","私道",4.5,"準工業地域",60,200,"2019年第３四半期","","私道を含む取引"
4,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","西国立","13",21000000,"","","75",,"ほぼ台形","7.0","60","昭和49年","木造","住宅","住宅","北西","市道",3.6,"準工業地域",60,200,"2019年第２四半期","",""
5,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","西国立","19",35000000,"","","100",,"長方形","11.0","95","平成30年","木造","住宅","住宅","東","道路",5.0,"準工業地域",60,200,"2019年第１四半期","",""
6,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","西国立","18",33000000,"","","100",,"ほぼ長方形","11.0","95","平成30年","木造","住宅","住宅","東","市道",6.0,"準工業地域",60,200,"2019年第１四半期","",""
7,"中古マンション等","","13215","東京都","国立市","青柳","西国立","13",33000000,"","２ＬＤＫ","75",,"","","","","ＲＣ","","住宅","","",,"準工業地域",60,200,"2019年第１四半期","未改装",""
8,"宅地(土地と建物)","工業地","13215","東京都","国立市","青柳","西国立","15",180000000,"","","690",,"ほぼ整形","24.0","110","平成10年","軽量鉄骨造","事務所","事務所","西","都道",15.0,"準工業地域",60,300,"2018年第４四半期","",""
9,"中古マンション等","","13215","東京都","国立市","青柳","西国立","14",27000000,"","３ＬＤＫ","95",,"","","","平成13年","ＲＣ","","住宅","","",,"準工業地域",60,300,"2018年第４四半期","未改装",""
10,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","西国立","10",17000000,"","","70",,"ほぼ長方形","8.0","90","昭和62年","木造","住宅","住宅","南西","私道",4.0,"準工業地域",60,200,"2018年第２四半期","","私道を含む取引"
11,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","西国立","16",35000000,"","","140",,"袋地等","2.5","100","平成30年","木造","住宅","","西","市道",16.0,"準工業地域",60,200,"2018年第１四半期","",""
12,"宅地(土地)","住宅地","13215","東京都","国立市","青柳","西国立","18",62000000,"650000","","310",200000,"ほぼ整形","22.5","","","","","住宅","東","私道",5.0,"準工業地域",60,200,"2017年第４四半期","",""
13,"中古マンション等","","13215","東京都","国立市","青柳","西国立","13",22000000,"","","70",,"","","","","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第３四半期","未改装",""
14,"中古マンション等","","13215","東京都","国立市","青柳","西国立","15",31000000,"","３ＬＤＫ","80",,"","","","平成13年","","","住宅","","",,"",,,"2017年第３四半期","未改装",""
15,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","西国立","9",160000000,"","","370",,"ほぼ長方形","13.0","540","昭和64年","ＲＣ","共同住宅","住宅","北西","市道",6.5,"準工業地域",60,200,"2016年第３四半期","",""
16,"中古マンション等","","13215","東京都","国立市","青柳","西国立","18",15000000,"","２ＬＤＫ","55",,"","","","平成4年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第２四半期","改装済",""
17,"中古マンション等","","13215","東京都","国立市","青柳","西国立","19",13000000,"","３ＬＤＫ","65",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第１四半期","未改装",""
18,"宅地(土地)","住宅地","13215","東京都","国立市","青柳","矢川","14",94000000,"780000","","400",230000,"長方形","25.0","","","","","","東","市道",3.6,"準工業地域",60,200,"2020年第４四半期","",""
19,"中古マンション等","","13215","東京都","国立市","青柳","矢川","20",18000000,"","３ＤＫ","55",,"","","","平成4年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第４四半期","改装済",""
20,"中古マンション等","","13215","東京都","国立市","青柳","矢川","16",19000000,"","３ＤＫ","50",,"","","","平成7年","","","住宅","","",,"",,,"2020年第４四半期","改装済",""
21,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","矢川","14",34000000,"","","100",,"ほぼ正方形","10.0","95","平成17年","木造","住宅","住宅","北西","私道",8.0,"準工業地域",60,200,"2020年第３四半期","",""
22,"宅地(土地)","住宅地","13215","東京都","国立市","青柳","矢川","10",28000000,"750000","","120",230000,"ほぼ長方形","8.0","","","","","その他","南","私道",6.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
23,"宅地(土地)","住宅地","13215","東京都","国立市","青柳","矢川","11",24000000,"790000","","100",240000,"長方形","7.0","","","","","住宅","西","私道",4.0,"準工業地域",60,200,"2020年第３四半期","",""
24,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","矢川","9",36000000,"","","105",,"ほぼ整形","6.0","85","平成31年","木造","住宅","住宅","南西","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
25,"宅地(土地)","住宅地","13215","東京都","国立市","青柳","矢川","13",110000000,"540000","","650",160000,"不整形","28.5","","","","","","南","市道",6.0,"準工業地域",60,200,"2020年第１四半期","",""
26,"中古マンション等","","13215","東京都","国立市","青柳","矢川","10",21000000,"","３ＬＤＫ","50",,"","","","","","","住宅","","",,"準工業地域",60,200,"2020年第１四半期","",""
27,"中古マンション等","","13215","東京都","国立市","青柳","矢川","11",13000000,"","２ＤＫ","40",,"","","","平成2年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2019年第４四半期","改装済",""
28,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","矢川","16",29000000,"","","130",,"ほぼ長方形","12.0","100","平成8年","軽量鉄骨造","住宅","住宅","西","私道",4.0,"準工業地域",60,200,"2019年第３四半期","",""
29,"宅地(土地と建物)","住宅地","13215","東京都","国立市","青柳","矢川","9",35000000,"","","105",,"袋地等","2.5","80","平成31年","木造","住宅","","南","市道",3.6,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
30,"中古マンション等","","13215","東京都","国立市","青柳","矢川","10",16000000,"","３ＤＫ","50",,"","","","平成2年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2019年第３四半期","改装済",""
31,"中古マンション等","","13215","東京都","国立市","青柳","矢川","11",16000000,"","２ＤＫ","40",,"","","","平成2年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2019年第２四半期","改装済",""
