"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","5",17000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
2,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","5",22000000,"","１Ｋ","25",,"","","","平成15年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
3,"宅地(土地と建物)","商業地","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","3",92000000,"","","120",,"ほぼ台形","14.0","190","昭和36年","ＲＣ","店舗","店舗","北東","都道",17.5,"商業地域",80,500,"2019年第２四半期","",""
4,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","5",18000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
5,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","5",21000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
6,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","4",18000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第４四半期","未改装",""
7,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","5",16000000,"","","20",,"","","","平成15年","ＲＣ","住宅","","","",,"商業地域",80,500,"2017年第２四半期","",""
8,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","5",19000000,"","１Ｋ","25",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第１四半期","未改装",""
9,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","5",17000000,"","１Ｋ","25",,"","","","平成15年","ＲＣ","住宅","","","",,"商業地域",80,500,"2016年第４四半期","未改装",""
10,"宅地(土地と建物)","商業地","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","4",25000000,"","","55",,"長方形","5.0","90","昭和29年","木造","住宅、店舗","事務所","北西","区道",15.1,"近隣商業地域",80,300,"2016年第３四半期","",""
11,"中古マンション等","","13107","東京都","墨田区","吾妻橋","浅草(東武・都営・メトロ)","4",13000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2016年第１四半期","未改装",""
12,"宅地(土地)","住宅地","13107","東京都","墨田区","吾妻橋","とうきょうスカイツリー","5",30000000,"2000000","","50",600000,"ほぼ長方形","4.5","","","","","住宅","北","区道",6.0,"準工業地域",60,300,"2019年第２四半期","",""
13,"宅地(土地)","住宅地","13107","東京都","墨田区","吾妻橋","本所吾妻橋","3",1300000000,"7700000","","570",2300000,"不整形","6.1","","","","","住宅","北","都道",32.9,"商業地域",80,500,"2020年第４四半期","",""
14,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",17000000,"","１Ｋ","20",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
15,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",23000000,"","１Ｋ","25",,"","","","平成21年","ＲＣ","住宅","","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
16,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",18000000,"","１ＤＫ","20",,"","","","平成13年","ＲＣ","","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
17,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",19000000,"","１Ｋ","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
18,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","4",65000000,"","２ＬＤＫ","60",,"","","","平成15年","ＳＲＣ","","住宅","","",,"近隣商業地域",80,300,"2020年第４四半期","改装済",""
19,"宅地(土地と建物)","商業地","13107","東京都","墨田区","吾妻橋","本所吾妻橋","2",1200000000,"","","570",,"不整形","","","","","","住宅","北","都道",32.9,"商業地域",80,400,"2020年第３四半期","",""
20,"宅地(土地)","住宅地","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",90000000,"3400000","","90",1000000,"長方形","5.9","","","","","住宅","南","区道",6.0,"近隣商業地域",80,300,"2020年第３四半期","",""
21,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",26000000,"","１Ｋ","25",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","",""
22,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",18000000,"","１Ｋ","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
23,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",23000000,"","１Ｋ","20",,"","","","平成21年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2020年第３四半期","",""
24,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",45000000,"","３ＬＤＫ","65",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
25,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","3",20000000,"","２ＬＤＫ","60",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第２四半期","未改装",""
26,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",35000000,"","２ＬＤＫ","50",,"","","","昭和61年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第２四半期","改装済",""
27,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",17000000,"","","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","",""
28,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",39000000,"","２ＬＤＫ","50",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","未改装",""
29,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","2",58000000,"","３ＬＤＫ","65",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","未改装",""
30,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","3",25000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第４四半期","未改装",""
31,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","4",68000000,"","４ＬＤＫ","85",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第４四半期","未改装",""
32,"宅地(土地)","商業地","13107","東京都","墨田区","吾妻橋","本所吾妻橋","3",200000000,"6100000","","110",1800000,"不整形","7.5","","","","","その他","南西","都道",15.0,"商業地域",80,500,"2019年第３四半期","",""
33,"中古マンション等","","13107","東京都","墨田区","吾妻橋","本所吾妻橋","1",21000000,"","１Ｋ","20",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
