"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","16",33000000,"","","100",,"ほぼ長方形","7.5","80","令和2年","木造","住宅","住宅","東","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","15",36000000,"","","110",,"ほぼ長方形","8.0","90","令和2年","木造","住宅","住宅","南西","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","11",42000000,"","","120",,"長方形","8.1","","令和2年","木造","住宅","住宅","西","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","16",39000000,"","","150",,"ほぼ長方形","9.3","105","平成19年","木造","住宅","住宅","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"中古マンション等","","13211","東京都","小平市","大沼町","小平","17",23000000,"","３ＬＤＫ","70",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"準住居地域",60,200,"2020年第４四半期","未改装",""
6,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","10",34000000,"","","95",,"ほぼ整形","6.9","75","令和2年","木造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","14",36000000,"","","105",,"ほぼ長方形","6.5","85","令和2年","木造","住宅","住宅","南西","市道",4.2,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","12",37000000,"","","100",,"ほぼ整形","7.2","80","令和2年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","16",30000000,"","","150",,"ほぼ長方形","9.3","105","平成19年","木造","住宅","住宅","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","8",44000000,"","","120",,"ほぼ長方形","9.5","95","令和2年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
11,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","20",24000000,"","","100",,"長方形","11.5","80","平成8年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
12,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","9",31000000,"","","95",,"袋地等","3.0","75","令和2年","木造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
13,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","12",30000000,"","","100",,"袋地等","2.8","75","令和2年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
14,"中古マンション等","","13211","東京都","小平市","大沼町","小平","7",21000000,"","３ＬＤＫ","60",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第２四半期","未改装",""
15,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","12",40000000,"","","120",,"長方形","9.0","95","平成31年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
16,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","14",34000000,"","","100",,"ほぼ長方形","7.5","80","平成24年","木造","住宅","住宅","東","市道",9.5,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
17,"中古マンション等","","13211","東京都","小平市","大沼町","小平","15",19000000,"","３ＬＤＫ","60",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"準住居地域",60,200,"2019年第４四半期","未改装","調停・競売等"
18,"宅地(土地と建物)","住宅地","13211","東京都","小平市","大沼町","小平","11",37000000,"","","105",,"袋地等","3.5","80","平成31年","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
