"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","新小金井","12",100000000,"530000","","630",160000,"不整形","","","","","","","南","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","14",50000000,"","","95",,"長方形","5.8","75","令和2年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","7",27000000,"1400000","","65",410000,"長方形","9.2","","","","","その他","西","市道",6.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","5",15000000,"1100000","","45",340000,"長方形","4.5","","","","","その他","西","市道",16.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","14",51000000,"","","95",,"長方形","5.8","75","令和2年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","13",57000000,"","","115",,"ほぼ長方形","9.1","95","令和2年","木造","住宅","住宅","東","私道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","14",31000000,"780000","","130",240000,"袋地等","","","","","","住宅","東","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
8,"中古マンション等","","13210","東京都","小金井市","梶野町","東小金井","10",24000000,"","２ＬＤＫ","55",,"","","","平成11年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
9,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","8",48000000,"","","100",,"不整形","2.6","80","令和2年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","8",40000000,"790000","","170",240000,"不整形","","","","","","住宅","南","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","","私道を含む取引"
11,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","13",55000000,"","","120",,"袋地等","2.9","95","令和2年","木造","住宅","住宅","南","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
12,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","11",49000000,"","","110",,"台形","10.5","85","令和2年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
13,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","15",61000000,"","","120",,"不整形","2.7","95","令和2年","木造","住宅","住宅","南","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
14,"中古マンション等","","13210","東京都","小金井市","梶野町","東小金井","10",19000000,"","３ＬＤＫ","55",,"","","","平成11年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","",""
15,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","6",42000000,"1300000","","105",390000,"ほぼ長方形","9.7","","","","","住宅","西","市道",3.4,"第１種低層住居専用地域",40,80,"2020年第２四半期","","私道を含む取引"
16,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","9",31000000,"1200000","","90",350000,"ほぼ長方形","6.9","","","","","住宅","西","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
