"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","白糸台","9",34000000,"1000000","","110",310000,"台形","14.9","","","","","住宅","東","市道",7.7,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
2,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","白糸台","10",19000000,"830000","","75",250000,"長方形","8.0","","","","","","北","市道",5.0,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
3,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","白糸台","11",62000000,"","","115",,"ほぼ正方形","11.0","90","平成29年","木造","住宅","住宅","北","市道",5.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
4,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","多磨","13",48000000,"","","110",,"ほぼ長方形","","85","令和2年","木造","住宅","住宅","北","市道",7.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","多磨","8",36000000,"","","100",,"不整形","2.0","75","令和2年","木造","住宅","住宅","西","市道",5.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
6,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","多磨","13",31000000,"930000","","110",280000,"長方形","7.6","","","","","住宅","南東","市道",7.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","多磨","8",41000000,"","","90",,"ほぼ長方形","8.3","75","令和2年","木造","住宅","住宅","西","市道",5.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
8,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","多磨","10",34000000,"1000000","","110",310000,"ほぼ正方形","4.8","","","","","住宅","北","私道",4.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
9,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","多磨","10",32000000,"970000","","110",290000,"不整形","","","","","","住宅","西","私道",4.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","多磨","8",36000000,"1000000","","115",310000,"ほぼ正方形","11.0","","","","","住宅","南","市道",5.5,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
11,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","多磨","11",40000000,"710000","","185",210000,"長方形","6.2","","","","","","北","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
12,"中古マンション等","","13206","東京都","府中市","朝日町","多磨","5",21000000,"","２ＬＤＫ","50",,"","","","平成4年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第１四半期","未改装",""
13,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","多磨","13",140000000,"","","690",,"台形","30.0","220","昭和46年","木造","住宅","住宅","西","市道",4.6,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
14,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","多磨","7",45000000,"1000000","","145",310000,"長方形","7.5","","","","","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
15,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","多磨","5",50000000,"","","140",,"ほぼ長方形","6.5","100","令和3年","木造","住宅","住宅","東","市道",16.0,"近隣商業地域",80,300,"2019年第４四半期","",""
16,"中古マンション等","","13206","東京都","府中市","朝日町","多磨","1",22000000,"","２ＬＤＫ","60",,"","","","平成8年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第４四半期","未改装",""
17,"宅地(土地)","住宅地","13206","東京都","府中市","朝日町","多磨","10",39000000,"750000","","175",230000,"ほぼ長方形","14.7","","","","","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
18,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","多磨","6",28000000,"","","85",,"ほぼ長方形","5.0","65","昭和56年","木造","住宅","住宅","西","市道",4.5,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
19,"宅地(土地と建物)","住宅地","13206","東京都","府中市","朝日町","多磨","12",39000000,"","","110",,"袋地等","","85","平成31年","木造","住宅","住宅","西","道路",5.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
