"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13104","東京都","新宿区","愛住町","曙橋","4",65000000,"4000000","","55",1200000,"長方形","4.5","","","","","住宅","南","区道",4.7,"第２種中高層住居専用地域",60,300,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","曙橋","4",120000000,"","","125",,"ほぼ正方形","11.0","170","昭和59年","鉄骨造","住宅","住宅","南","区道",4.0,"第２種中高層住居専用地域",60,300,"2020年第１四半期","",""
3,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","曙橋","4",150000000,"","","185",,"ほぼ長方形","","","昭和57年","ＲＣ","住宅、事務所、倉庫","住宅","北東","区道",4.0,"第２種中高層住居専用地域",60,300,"2019年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","曙橋","5",340000000,"","","90",,"台形","10.9","","平成27年","ＲＣ","共同住宅","住宅","北","区道",5.2,"商業地域",80,600,"2016年第１四半期","",""
5,"中古マンション等","","13104","東京都","新宿区","愛住町","四谷三丁目","5",31000000,"","１ＬＤＫ","40",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2019年第４四半期","未改装",""
6,"中古マンション等","","13104","東京都","新宿区","愛住町","四谷三丁目","5",39000000,"","１ＤＫ","40",,"","","","平成10年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,300,"2019年第４四半期","未改装",""
7,"宅地(土地と建物)","商業地","13104","東京都","新宿区","愛住町","四谷三丁目","2",140000000,"","","90",,"ほぼ正方形","10.0","140","昭和58年","鉄骨造","住宅","店舗","北","私道",3.2,"商業地域",80,700,"2019年第１四半期","",""
8,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","四谷三丁目","6",230000000,"","","145",,"ほぼ正方形","12.0","380","昭和59年","ＲＣ","共同住宅","住宅","東","区道",4.8,"商業地域",80,600,"2019年第１四半期","",""
9,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","四谷三丁目","3",150000000,"","","250",,"ほぼ長方形","","","","","","住宅","北","私道",4.0,"第２種中高層住居専用地域",60,300,"2018年第４四半期","",""
10,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","四谷三丁目","2",57000000,"","","120",,"不整形","","240","昭和61年","ＲＣ","住宅、倉庫","住宅","西","私道",2.5,"第１種住居地域",60,400,"2018年第３四半期","",""
