"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13207","東京都","昭島市","朝日町","中神","8",27000000,"","","120",,"ほぼ長方形","8.2","90","平成13年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","13207","東京都","昭島市","朝日町","中神","6",23000000,"690000","","110",210000,"ほぼ長方形","6.9","","","","","住宅","北","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","13207","東京都","昭島市","朝日町","中神","6",35000000,"670000","","170",200000,"長方形","12.0","","","","","住宅","北西","市道",2.8,"第１種中高層住居専用地域",50,150,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13207","東京都","昭島市","朝日町","中神","5",23000000,"","","120",,"ほぼ長方形","9.7","115","昭和63年","木造","共同住宅","住宅","北","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
5,"宅地(土地)","住宅地","13207","東京都","昭島市","朝日町","中神","4",24000000,"750000","","105",230000,"ほぼ長方形","9.5","","","","","住宅","北東","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
6,"宅地(土地)","住宅地","13207","東京都","昭島市","朝日町","中神","7",54000000,"780000","","230",240000,"長方形","10.9","","","","","住宅","西","市道",4.3,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
7,"宅地(土地と建物)","住宅地","13207","東京都","昭島市","朝日町","中神","5",48000000,"","","105",,"長方形","9.0","","令和3年","木造","住宅","住宅","南西","市道",4.5,"第１種低層住居専用地域",50,100,"2020年第１四半期","",""
8,"中古マンション等","","13207","東京都","昭島市","朝日町","中神","8",27000000,"","３ＬＤＫ","60",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,200,"2020年第１四半期","未改装",""
9,"宅地(土地と建物)","住宅地","13207","東京都","昭島市","朝日町","中神","5",43000000,"","","95",,"ほぼ長方形","8.8","95","平成31年","木造","住宅","住宅","南西","市道",4.0,"第１種低層住居専用地域",50,100,"2019年第４四半期","",""
10,"宅地(土地と建物)","住宅地","13207","東京都","昭島市","朝日町","中神","6",71000000,"","","165",,"長方形","8.9","210","平成31年","木造","共同住宅","住宅","北東","私道",2.3,"第１種中高層住居専用地域",50,150,"2019年第４四半期","",""
11,"宅地(土地と建物)","住宅地","13207","東京都","昭島市","朝日町","中神","6",24000000,"","","220",,"ほぼ長方形","11.7","125","昭和48年","木造","住宅","住宅","南西","私道",4.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
