"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","19",24000000,"","","130",,"ほぼ長方形","6.6","70","平成31年","木造","住宅","住宅","西","私道",4.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","","私道を含む取引"
2,"宅地(土地)","工業地","13213","東京都","東村山市","青葉町","秋津","25",100000000,"430000","","760",130000,"台形","18.5","","","","","","南西","市道",6.0,"準工業地域",60,200,"2020年第１四半期","",""
3,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","30分?60分",31000000,"","","115",,"長方形","9.4","90","平成31年","木造","住宅","住宅","北東","私道",6.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
4,"中古マンション等","","13213","東京都","東村山市","青葉町","秋津","25",13000000,"","４ＬＤＫ","55",,"","","","昭和51年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",40,80,"2019年第４四半期","改装済",""
5,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","30分?60分",28000000,"","","110",,"不整形","2.8","90","平成31年","木造","住宅","住宅","西","市道",3.8,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
6,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","29",34000000,"","","130",,"ほぼ正方形","10.9","105","令和2年","木造","住宅","住宅","南東","私道",5.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
7,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","26",40000000,"","","105",,"ほぼ長方形","12.1","85","令和2年","木造","住宅","住宅","南東","道路",4.0,"第１種低層住居専用地域",40,80,"2019年第２四半期","",""
8,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","30分?60分",21000000,"","","110",,"長方形","8.4","90","平成11年","木造","住宅","住宅","北西","私道",6.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
9,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","30分?60分",12000000,"","","65",,"ほぼ長方形","5.0","60","昭和57年","木造","住宅","住宅","北西","私道",5.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
10,"中古マンション等","","13213","東京都","東村山市","青葉町","秋津","24",2500000,"","３ＤＫ","50",,"","","","","","住宅","その他","","",,"",,,"2018年第３四半期","未改装",""
11,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","秋津","29",26000000,"","","90",,"長方形","8.2","80","平成29年","木造","住宅","住宅","北東","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
12,"宅地(土地)","住宅地","13213","東京都","東村山市","青葉町","秋津","30分?60分",19000000,"470000","","135",140000,"ほぼ整形","14.6","","","","","","南西","都道",10.0,"第２種中高層住居専用地域",60,200,"2017年第３四半期","",""
13,"宅地(土地)","住宅地","13213","東京都","東村山市","青葉町","秋津","20",6900000,"270000","","85",83000,"ほぼ長方形","6.4","","","","","住宅","南西","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
14,"中古マンション等","","13213","東京都","東村山市","青葉町","秋津","25",4000000,"","","55",,"","","","","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第１四半期","未改装",""
15,"宅地(土地)","住宅地","13213","東京都","東村山市","青葉町","秋津","13",33000000,"550000","","200",170000,"ほぼ正方形","12.7","","","","","住宅","東","市道",3.8,"第１種中高層住居専用地域",60,200,"2016年第２四半期","","私道を含む取引"
16,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","清瀬","29",38000000,"","","100",,"台形","8.1","80","平成12年","木造","住宅","住宅","北","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
17,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","清瀬","28",32000000,"","","115",,"ほぼ整形","15.3","90","平成29年","木造","住宅","住宅","東","私道",5.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
18,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","清瀬","28",28000000,"","","105",,"ほぼ長方形","3.8","85","平成29年","木造","住宅","住宅","北","市道",5.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
