"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","6",3000000,"","２ＤＫ","30",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第４四半期","未改装",""
2,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","8",21000000,"","２ＬＤＫ","55",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","未改装",""
3,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","6",48000000,"","３ＬＤＫ","70",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
4,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","9",34000000,"","２ＬＤＫ","60",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
5,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","13",27000000,"","３ＬＤＫ","65",,"","","","平成19年","ＲＣ","住宅","その他","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
6,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","9",23000000,"","２ＬＤＫ","55",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第２四半期","未改装",""
7,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","9",33000000,"","２ＬＤＫ","60",,"","","","平成17年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2020年第１四半期","未改装",""
8,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","6",50000000,"","３ＬＤＫ","75",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
9,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","9",37000000,"","３ＬＤＫ","80",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
10,"中古マンション等","","13119","東京都","板橋区","相生町","志村三丁目","9",36000000,"","３ＬＤＫ","75",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
