"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","20",70000000,"","","130",,"長方形","13.1","85","平成26年","木造","住宅","住宅","北東","私道",4.2,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","13",170000000,"","","200",,"ほぼ長方形","9.0","440","昭和63年","ＲＣ","共同住宅、事務所、店舗","住宅","南東","都道",15.0,"近隣商業地域",80,300,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","20",71000000,"1300000","","185",390000,"長方形","16.7","","","","","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",80000000,"","","135",,"長方形","9.9","105","平成6年","木造","","住宅","北東","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","10",80000000,"","","125",,"ほぼ正方形","11.5","110","昭和63年","木造","共同住宅","その他","北東","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","29",63000000,"","","125",,"不整形","3.5","100","平成18年","木造","住宅","住宅","南東","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
7,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","18",180000000,"1400000","","430",430000,"長方形","23.6","","","","","住宅","南","私道",5.1,"第１種低層住居専用地域",40,80,"2020年第３四半期","","私道を含む取引"
8,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","12",7800000,"","１Ｋ","10",,"","","","昭和59年","ＲＣ","住宅","事務所","","",,"近隣商業地域",80,300,"2020年第３四半期","未改装",""
9,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","11",170000000,"","","165",,"ほぼ長方形","11.5","135","平成26年","木造","住宅","住宅","北西","私道",3.6,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
10,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","29",60000000,"","","120",,"ほぼ長方形","4.3","95","平成31年","木造","住宅","住宅","南東","市道",4.2,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
