"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","14",42000000,"","","85",,"袋地等","2.0","85","令和2年","木造","住宅","住宅","北","私道",4.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","18",98000000,"","","135",,"ほぼ長方形","8.7","210","平成28年","木造","共同住宅、店舗","住宅","南","区道",6.0,"準工業地域",60,400,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","14",46000000,"","","70",,"ほぼ長方形","9.6","90","令和2年","木造","住宅","住宅","東","私道",4.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","13123","東京都","江戸川区","一之江","一之江","3",41000000,"1100000","","120",330000,"台形","13.0","","","","","住宅","東","区道",5.2,"第１種中高層住居専用地域",60,150,"2020年第４四半期","","私道を含む取引"
5,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","7",35000000,"","","95",,"不整形","6.0","95","平成15年","木造","共同住宅","住宅","南","道路",3.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
6,"中古マンション等","","13123","東京都","江戸川区","一之江","一之江","3",19000000,"","１ＬＤＫ","40",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第４四半期","未改装",""
7,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","7",6500000,"","","45",,"長方形","5.0","50","昭和64年","木造","住宅","住宅","西","私道",4.0,"第１種中高層住居専用地域",60,150,"2020年第３四半期","","私道を含む取引"
8,"宅地(土地)","住宅地","13123","東京都","江戸川区","一之江","一之江","20",2500000,"210000","","40",64000,"ほぼ長方形","4.5","","","","","住宅","南西","私道",4.0,"第１種中高層住居専用地域",50,100,"2020年第３四半期","","私道を含む取引"
9,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","6",18000000,"","","45",,"ほぼ長方形","5.8","70","平成16年","木造","住宅","住宅","南西","区道",5.0,"第１種住居地域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","13123","東京都","江戸川区","一之江","一之江","7",39000000,"1000000","","125",310000,"不整形","2.8","","","","","住宅","南西","道路",3.3,"第１種中高層住居専用地域",60,150,"2020年第３四半期","",""
11,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","24",43000000,"","","70",,"台形","15.1","85","令和2年","木造","住宅","住宅","南西","私道",4.5,"準工業地域",60,300,"2020年第３四半期","",""
12,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","6",42000000,"","","80",,"長方形","8.5","70","令和2年","木造","住宅","住宅","西","私道",4.0,"準工業地域",60,400,"2020年第３四半期","","私道を含む取引"
13,"中古マンション等","","13123","東京都","江戸川区","一之江","一之江","7",30000000,"","３ＬＤＫ","55",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","",""
14,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","3",49000000,"","","100",,"正方形","10.0","95","平成18年","木造","住宅","住宅","東","私道",4.5,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
15,"宅地(土地)","住宅地","13123","東京都","江戸川区","一之江","一之江","13",10000000,"530000","","60",160000,"長方形","6.0","","","","","その他","西","私道",4.0,"第１種中高層住居専用地域",60,150,"2020年第２四半期","",""
16,"中古マンション等","","13123","東京都","江戸川区","一之江","一之江","11",37000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第２四半期","未改装",""
17,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","11",15000000,"","","170",,"ほぼ台形","10.4","200","昭和59年","軽量鉄骨造","共同住宅","","西","区道",10.0,"第１種中高層住居専用地域",50,100,"2020年第１四半期","",""
18,"宅地(土地)","住宅地","13123","東京都","江戸川区","一之江","一之江","8",260000000,"1200000","","730",360000,"不整形","32.0","","","","","","北","区道",10.7,"準工業地域",60,400,"2020年第１四半期","",""
19,"宅地(土地)","商業地","13123","東京都","江戸川区","一之江","一之江","8",27000000,"1500000","","60",470000,"ほぼ長方形","10.0","","","","","住宅","北","区道",16.0,"第１種住居地域",60,200,"2020年第１四半期","",""
20,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","5",32000000,"","","115",,"ほぼ長方形","12.8","80","","","","住宅","東","私道",4.0,"第１種住居地域",60,200,"2020年第１四半期","","私道を含む取引"
21,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","11",57000000,"","","100",,"ほぼ長方形","9.1","100","令和2年","木造","住宅","住宅","東","区道",6.4,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
22,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","12",21000000,"","","100",,"ほぼ整形","","80","平成3年","木造","住宅","住宅","東","私道",4.0,"第１種中高層住居専用地域",60,150,"2020年第１四半期","","私道を含む取引"
23,"中古マンション等","","13123","東京都","江戸川区","一之江","一之江","10",40000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第１四半期","改装済",""
24,"中古マンション等","","13123","東京都","江戸川区","一之江","一之江","10",30000000,"","２ＬＤＫ","65",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第１四半期","未改装",""
25,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","16",34000000,"","","75",,"長方形","9.9","75","平成16年","木造","住宅","住宅","南西","私道",4.5,"第１種中高層住居専用地域",50,100,"2019年第４四半期","",""
26,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","13",8800000,"","","40",,"長方形","5.4","","","","","住宅","南西","区道",4.0,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
27,"宅地(土地と建物)","住宅地","13123","東京都","江戸川区","一之江","一之江","4",4000000,"","","60",,"長方形","6.4","45","昭和43年","木造","住宅","住宅","西","道路",4.0,"第１種住居地域",60,200,"2019年第４四半期","","私道を含む取引"
