"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","13108","東京都","江東区","青海","東京テレポート","0",550000000,"","","1300",,"長方形","43.0","","","","","その他","南東","道路",20.0,"準工業地域",60,300,"2019年第１四半期","",""
2,"中古マンション等","","13108","東京都","江東区","有明","有明(東京)","3",120000000,"","２ＬＤＫ","80",,"","","","平成31年","鉄骨造","","住宅","","",,"第１種住居地域",60,300,"2020年第４四半期","改装済",""
3,"中古マンション等","","13108","東京都","江東区","有明","有明(東京)","5",62000000,"","２ＬＤＫ","50",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第４四半期","未改装",""
4,"中古マンション等","","13108","東京都","江東区","有明","有明(東京)","6",47000000,"","１ＬＤＫ","40",,"","","","平成31年","ＲＣ","","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
5,"中古マンション等","","13108","東京都","江東区","有明","有明(東京)","3",49000000,"","１ＬＤＫ","40",,"","","","平成31年","鉄骨造","","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
6,"中古マンション等","","13108","東京都","江東区","有明","有明(東京)","3",57000000,"","２ＬＤＫ","55",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
7,"中古マンション等","","13108","東京都","江東区","有明","有明(東京)","5",63000000,"","１ＬＤＫ","50",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
8,"中古マンション等","","13108","東京都","江東区","有明","有明テニスの森","10",57000000,"","２ＬＤＫ","65",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2020年第４四半期","未改装",""
9,"中古マンション等","","13108","東京都","江東区","有明","有明テニスの森","10",47000000,"","２ＬＤＫ","65",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2020年第４四半期","未改装",""
10,"中古マンション等","","13108","東京都","江東区","有明","有明テニスの森","8",52000000,"","２ＬＤＫ","60",,"","","","平成22年","ＲＣ","","住宅","","",,"準工業地域",60,300,"2020年第４四半期","未改装",""
