"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",93000000,"","２ＬＤＫ","65",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第４四半期","未改装",""
2,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","4",68000000,"","１ＤＫ","40",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
3,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",160000000,"","２ＬＤＫ","95",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第３四半期","未改装",""
4,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",21000000,"","","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2020年第３四半期","改装済",""
5,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","4",150000000,"","２ＬＤＫ","80",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第３四半期","未改装",""
6,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",33000000,"","１ＬＤＫ","65",,"","","","昭和58年","ＳＲＣ","住宅","事務所","","",,"第２種中高層住居専用地域",60,300,"2020年第３四半期","未改装",""
7,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","3",180000000,"","２ＬＤＫ","95",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第２四半期","改装済",""
8,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","4",80000000,"","２ＬＤＫ","70",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第２四半期","未改装",""
9,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",210000000,"","２ＬＤＫ","115",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第１四半期","未改装",""
10,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",150000000,"","２ＬＤＫ","85",,"","","","平成11年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第１四半期","未改装",""
11,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","青山一丁目","5",800000000,"","","300",,"ほぼ長方形","14.0","680","昭和63年","ＲＣ","住宅","住宅","東","区道",4.9,"第１種中高層住居専用地域",60,300,"2019年第４四半期","",""
12,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",22000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2019年第４四半期","改装済",""
13,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",23000000,"","１ＤＫ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2019年第４四半期","改装済",""
14,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",40000000,"","１ＬＤＫ","35",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2019年第４四半期","改装済",""
15,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",15000000,"","","20",,"","","","昭和58年","ＳＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,300,"2019年第３四半期","",""
16,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","3",140000000,"","２ＬＤＫ","80",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2019年第３四半期","改装済",""
17,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","4",110000000,"","１ＬＤＫ","70",,"","","","平成14年","ＲＣ","住宅","事務所","","",,"商業地域",80,500,"2019年第３四半期","",""
18,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",17000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2019年第３四半期","未改装",""
19,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","8",28000000,"","","55",,"","","","昭和52年","ＲＣ","住宅","事務所","","",,"第２種中高層住居専用地域",60,300,"2019年第３四半期","改装済",""
20,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",20000000,"","１ＤＫ","25",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2019年第２四半期","未改装",""
21,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",200000000,"","２ＬＤＫ","115",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2019年第２四半期","改装済",""
22,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","3",200000000,"","２ＬＤＫ","120",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2019年第１四半期","改装済",""
23,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",99000000,"","２ＬＤＫ","75",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2018年第４四半期","未改装",""
24,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",85000000,"","３ＬＤＫ","70",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2018年第３四半期","未改装",""
25,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","4",150000000,"","３ＬＤＫ","115",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2018年第３四半期","未改装",""
26,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","8",110000000,"","２ＬＤＫ","65",,"","","","平成21年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2018年第２四半期","未改装",""
