"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13219","東京都","狛江市","和泉本町","喜多見","15",40000000,"950000","","140",290000,"袋地等","3.5","","","","","住宅","東","私道",4.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
2,"宅地(土地と建物)","商業地","13219","東京都","狛江市","和泉本町","喜多見","16",230000000,"","","200",,"ほぼ正方形","14.6","430","平成31年","木造","倉庫","倉庫","北西","都道",16.0,"近隣商業地域",80,200,"2019年第２四半期","",""
3,"宅地(土地と建物)","商業地","13219","東京都","狛江市","和泉本町","喜多見","18",65000000,"","","105",,"ほぼ長方形","15.6","220","平成9年","鉄骨造","住宅、店舗","店舗","西","都道",15.0,"近隣商業地域",80,200,"2019年第２四半期","",""
4,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","和泉本町","喜多見","8",140000000,"","","120",,"ほぼ長方形","12.0","300","平成11年","鉄骨造","共同住宅","住宅","南東","市道",4.0,"近隣商業地域",80,200,"2018年第１四半期","",""
5,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","和泉本町","喜多見","14",32000000,"","","75",,"台形","8.0","85","平成4年","木造","共同住宅","住宅","南","道路",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
6,"中古マンション等","","13219","東京都","狛江市","和泉本町","喜多見","10",13000000,"","３ＤＫ","55",,"","","","昭和48年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2016年第４四半期","未改装",""
7,"中古マンション等","","13219","東京都","狛江市","和泉本町","喜多見","10",23000000,"","２ＤＫ","50",,"","","","昭和48年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2016年第３四半期","改装済",""
8,"中古マンション等","","13219","東京都","狛江市","和泉本町","喜多見","10",23000000,"","２ＤＫ","50",,"","","","昭和48年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2016年第３四半期","改装済",""
9,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","和泉本町","喜多見","14",56000000,"","","165",,"長方形","7.8","130","平成10年","ＲＣ","住宅","住宅","北","市道",4.5,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
10,"宅地(土地)","商業地","13219","東京都","狛江市","和泉本町","国領","16",28000000,"1200000","","80",360000,"ほぼ台形","6.2","","","","","住宅","南西","都道",16.0,"第１種中高層住居専用地域",60,200,"2017年第１四半期","",""
11,"中古マンション等","","13219","東京都","狛江市","和泉本町","狛江","6",12000000,"","２ＬＤＫ","45",,"","","","","鉄骨造","","住宅","","",,"準工業地域",60,300,"2020年第４四半期","未改装",""
12,"中古マンション等","","13219","東京都","狛江市","和泉本町","狛江","6",58000000,"","３ＬＤＫ","75",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第４四半期","",""
13,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","和泉本町","狛江","13",60000000,"","","110",,"ほぼ長方形","","110","令和2年","","","住宅","南西","都道",20.5,"近隣商業地域",80,200,"2020年第３四半期","",""
14,"宅地(土地)","住宅地","13219","東京都","狛江市","和泉本町","狛江","13",31000000,"900000","","115",270000,"長方形","7.8","","","","","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
