"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13209","東京都","町田市","相原町","相原","4",30000000,"","","125",,"ほぼ長方形","7.9","90","平成24年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","13209","東京都","町田市","相原町","相原","19",17000000,"460000","","120",140000,"ほぼ正方形","11.0","","","","","","西","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13209","東京都","町田市","相原町","相原","12",30000000,"","","100",,"ほぼ長方形","6.8","80","令和2年","木造","住宅","住宅","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13209","東京都","町田市","相原町","相原","30分?60分",29000000,"","","160",,"袋地等","","95","令和3年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"中古マンション等","","13209","東京都","町田市","相原町","相原","14",17000000,"","３ＬＤＫ","70",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2020年第４四半期","改装済",""
6,"宅地(土地)","住宅地","13209","東京都","町田市","相原町","相原","28",13000000,"160000","","270",49000,"ほぼ台形","21.6","","","","","住宅","東","私道",1.8,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
7,"宅地(土地)","住宅地","13209","東京都","町田市","相原町","相原","28",15000000,"170000","","290",52000,"ほぼ長方形","11.5","","","","","","西","私道",1.8,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","13209","東京都","町田市","相原町","相原","30分?60分",5300000,"","","260",,"ほぼ長方形","7.6","80","昭和51年","木造","住宅","住宅","東","市道",20.0,"第２種中高層住居専用地域",50,100,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","13209","東京都","町田市","相原町","相原","13",30000000,"","","280",,"ほぼ台形","16.7","115","昭和62年","軽量鉄骨造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13209","東京都","町田市","相原町","相原","30分?60分",5500000,"","","100",,"袋地等","3.6","80","平成13年","木造","住宅","住宅","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
11,"宅地(土地)","住宅地","13209","東京都","町田市","相原町","相原","16",3000000,"120000","","80",37000,"ほぼ長方形","8.5","","","","","","北","市道",5.5,"準住居地域",60,200,"2020年第３四半期","",""
12,"宅地(土地)","商業地","13209","東京都","町田市","相原町","相原","14",80000000,"300000","","870",91000,"ほぼ台形","35.0","","","","","","北東","都道",25.0,"準住居地域",60,200,"2020年第３四半期","",""
