"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13110","東京都","目黒区","青葉台","池尻大橋","11",100000000,"","","55",,"ほぼ長方形","5.0","95","令和2年","木造","住宅","住宅","南","私道",2.6,"第１種住居地域",60,200,"2020年第３四半期","",""
2,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","9",70000000,"","１ＬＤＫ","60",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第３四半期","未改装",""
3,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","8",80000000,"","３ＬＤＫ","80",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
4,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","11",43000000,"","２ＬＤＫ","45",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2020年第１四半期","改装済",""
5,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","12",37000000,"","１Ｋ","25",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第４四半期","未改装",""
6,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","11",45000000,"","２ＬＤＫ","50",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2019年第４四半期","改装済",""
7,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","8",23000000,"","１Ｋ","25",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第４四半期","改装済",""
8,"宅地(土地と建物)","住宅地","13110","東京都","目黒区","青葉台","池尻大橋","8",130000000,"","","105",,"長方形","8.5","110","昭和48年","木造","共同住宅","住宅","西","区道",7.0,"第１種住居地域",60,300,"2019年第３四半期","",""
9,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","11",40000000,"","２ＬＤＫ","50",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2019年第３四半期","改装済",""
10,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","11",34000000,"","１ＬＤＫ","45",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2019年第３四半期","改装済",""
11,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","11",24000000,"","１Ｒ","35",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2019年第３四半期","未改装",""
12,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","11",33000000,"","１ＬＤＫ","35",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2018年第４四半期","改装済",""
13,"宅地(土地)","住宅地","13110","東京都","目黒区","青葉台","池尻大橋","12",130000000,"4300000","","95",1300000,"長方形","7.5","","","","","住宅","北","区道",4.0,"第１種住居地域",60,300,"2018年第３四半期","",""
14,"中古マンション等","","13110","東京都","目黒区","青葉台","池尻大橋","11",43000000,"","２ＬＤＫ","55",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2018年第３四半期","改装済",""
