"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","高松(東京)","16",39000000,"850000","","150",260000,"長方形","14.4","","","","","その他","東","市道",4.4,"第１種低層住居専用地域",50,100,"2016年第３四半期","",""
2,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","高松(東京)","15",37000000,"","","105",,"長方形","7.2","85","平成28年","木造","住宅","住宅","南","私道",4.0,"第１種低層住居専用地域",50,100,"2016年第３四半期","","私道を含む取引"
3,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","18",69000000,"","","140",,"ほぼ長方形","8.2","","","","","住宅","西","市道",,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","11",36000000,"820000","","145",250000,"ほぼ長方形","11.7","","","","","","北東","私道",3.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","","私道を含む取引"
5,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",54000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
6,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",39000000,"","３ＬＤＫ","70",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第４四半期","未改装",""
7,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",16000000,"","２ＬＤＫ","45",,"","","","平成7年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,300,"2020年第４四半期","未改装",""
8,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",44000000,"","２ＬＤＫ","50",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","改装済",""
9,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",47000000,"","３ＬＤＫ","65",,"","","","平成11年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2020年第４四半期","改装済",""
10,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",49000000,"","３ＬＤＫ","65",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
11,"中古マンション等","","13202","東京都","立川市","曙町","立川","12",32000000,"","２ＤＫ","45",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","改装済",""
12,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","11",25000000,"","","135",,"ほぼ正方形","12.0","135","昭和53年","軽量鉄骨造","共同住宅","住宅","北","私道",2.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
13,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","6",42000000,"","","50",,"ほぼ長方形","8.5","70","令和2年","木造","住宅","住宅","南東","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","","私道を含む取引"
14,"宅地(土地と建物)","商業地","13202","東京都","立川市","曙町","立川","1",260000000,"","","120",,"ほぼ台形","13.6","360","平成12年","ＳＲＣ","事務所、倉庫、店舗","その他","西","市道",6.0,"商業地域",80,600,"2020年第３四半期","","関係者間取引"
15,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","9",7000000,"","","135",,"ほぼ長方形","7.8","105","昭和29年","木造","共同住宅","住宅","東","私道",3.0,"近隣商業地域",80,300,"2020年第３四半期","",""
16,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",39000000,"","２ＬＤＫ","50",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
17,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",24000000,"","１Ｋ","20",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第３四半期","改装済",""
18,"中古マンション等","","13202","東京都","立川市","曙町","立川","2",85000000,"","２ＤＫ","70",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第３四半期","改装済",""
19,"中古マンション等","","13202","東京都","立川市","曙町","立川","12",5000000,"","オープンフロア","30",,"","","","昭和49年","ＳＲＣ","住宅","事務所","","",,"準工業地域",60,200,"2020年第３四半期","未改装",""
20,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","18",19000000,"","","150",,"ほぼ長方形","9.5","75","昭和50年","木造","住宅","","南東","私道",4.0,"準工業地域",60,200,"2020年第２四半期","","私道を含む取引"
21,"中古マンション等","","13202","東京都","立川市","曙町","立川","9",43000000,"","３ＬＤＫ","65",,"","","","平成19年","ＳＲＣ","住宅","","","",,"商業地域",80,500,"2020年第２四半期","",""
22,"中古マンション等","","13202","東京都","立川市","曙町","立川","9",37000000,"","３ＬＤＫ","65",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第２四半期","未改装",""
23,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",49000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
24,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",52000000,"","３ＬＤＫ","75",,"","","","平成20年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
25,"中古マンション等","","13202","東京都","立川市","曙町","立川","5",550000000,"","オープンフロア","870",,"","","","戦前","鉄骨造","事務所","事務所","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
26,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","10",52000000,"","","65",,"台形","12.1","100","平成18年","木造","住宅","住宅","北","都道",30.0,"第１種住居地域",60,200,"2020年第１四半期","",""
27,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","12",36000000,"","","65",,"袋地等","2.0","90","平成31年","木造","住宅","住宅","北","市道",2.2,"第１種中高層住居専用地域",60,200,"2020年第１四半期","","私道を含む取引"
28,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","16",35000000,"1100000","","110",330000,"長方形","8.3","","","","","住宅","南西","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
29,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","15",24000000,"","","55",,"長方形","4.1","80","平成9年","木造","住宅、駐車場","住宅","北西","市道",3.8,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
30,"中古マンション等","","13202","東京都","立川市","曙町","立川","5",17000000,"","１Ｋ","20",,"","","","","","住宅","住宅","","",,"商業地域",80,600,"2020年第１四半期","未改装",""
31,"宅地(土地と建物)","商業地","13202","東京都","立川市","曙町","立川","4",7500000,"","","90",,"ほぼ正方形","","100","昭和40年","木造","共同住宅","その他","東","私道",2.0,"商業地域",80,600,"2019年第４四半期","",""
32,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","21",44000000,"","","145",,"袋地等","2.0","90","平成31年","木造","住宅","住宅","南東","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
33,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","10",52000000,"","","95",,"ほぼ長方形","13.5","105","平成8年","木造","共同住宅","住宅","北","都道",30.0,"第１種住居地域",60,200,"2019年第４四半期","",""
34,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","11",99000000,"","","155",,"袋地等","2.7","175","令和2年","木造","共同住宅","住宅","東","市道",2.0,"第１種中高層住居専用地域",60,200,"2019年第４四半期","","私道を含む取引"
35,"宅地(土地と建物)","商業地","13202","東京都","立川市","曙町","立川","6",200000000,"","","280",,"長方形","9.0","230","昭和56年","","","事務所","南","市道",11.0,"商業地域",80,400,"2019年第４四半期","",""
36,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",71000000,"","３ＬＤＫ","95",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
37,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",24000000,"","１ＬＤＫ","30",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2019年第４四半期","未改装",""
38,"中古マンション等","","13202","東京都","立川市","曙町","立川","2",110000000,"","２ＬＤＫ","85",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第４四半期","未改装",""
39,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",28000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第４四半期","未改装",""
40,"中古マンション等","","13202","東京都","立川市","曙町","立川","8",70000000,"","","70",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第４四半期","",""
41,"宅地(土地)","商業地","13202","東京都","立川市","曙町","立川","4",78000000,"2400000","","105",730000,"長方形","7.8","","","","","事務所","南東","市道",2.7,"近隣商業地域",80,300,"2019年第３四半期","",""
42,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","19",45000000,"","","145",,"袋地等","2.8","110","平成31年","木造","住宅","住宅","南東","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
43,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","19",33000000,"","","145",,"台形","15.0","","","","","住宅","北東","都道",7.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
44,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",28000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","","住宅","","",,"商業地域",80,600,"2019年第３四半期","未改装",""
45,"中古マンション等","","13202","東京都","立川市","曙町","立川","15",4700000,"","１ＬＤＫ","35",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2019年第３四半期","未改装",""
46,"中古マンション等","","13202","東京都","立川市","曙町","立川","8",19000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
