"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","13122","東京都","葛飾区","青戸","青砥","4",48000000,"","","65",,"ほぼ整形","7.8","140","平成12年","鉄骨造","共同住宅、店舗","店舗","南東","区道",12.7,"商業地域",80,400,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13122","東京都","葛飾区","青戸","青砥","10",2100000,"","","50",,"長方形","7.0","45","昭和44年","木造","住宅","住宅","接面道路無","",,"第１種住居地域",60,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13122","東京都","葛飾区","青戸","青砥","10",42000000,"","","60",,"ほぼ長方形","6.4","100","令和2年","木造","住宅","住宅","北","私道",4.0,"準工業地域",60,200,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13122","東京都","葛飾区","青戸","青砥","9",11000000,"","","45",,"ほぼ台形","3.4","45","昭和46年","木造","住宅","住宅","西","私道",4.0,"準工業地域",60,200,"2020年第４四半期","","私道を含む取引"
5,"宅地(土地)","住宅地","13122","東京都","葛飾区","青戸","青砥","4",36000000,"1400000","","85",420000,"ほぼ台形","7.0","","","","","その他","北東","区道",2.7,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地)","住宅地","13122","東京都","葛飾区","青戸","青砥","3",61000000,"2000000","","100",620000,"長方形","7.5","","","","","事務所","北東","区道",7.3,"第１種住居地域",60,200,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","13122","東京都","葛飾区","青戸","青砥","3",37000000,"2100000","","60",620000,"台形","10.0","","","","","事務所","北東","区道",7.3,"第１種住居地域",60,200,"2020年第４四半期","",""
8,"宅地(土地と建物)","住宅地","13122","東京都","葛飾区","青戸","青砥","10",47000000,"","","65",,"ほぼ整形","5.0","100","令和2年","木造","住宅","住宅","西","区道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
9,"宅地(土地と建物)","商業地","13122","東京都","葛飾区","青戸","青砥","3",130000000,"","","230",,"ほぼ台形","18.1","320","平成7年","鉄骨造","店舗","店舗","北東","都道",12.0,"商業地域",80,400,"2020年第４四半期","",""
10,"宅地(土地と建物)","商業地","13122","東京都","葛飾区","青戸","青砥","16",220000000,"","","590",,"不整形","35.0","740","昭和63年","鉄骨造","作業場、店舗","店舗","南東","国道",25.0,"準工業地域",60,400,"2020年第４四半期","",""
