"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","18",59000000,"","","100",,"不整形","5.5","80","令和2年","木造","住宅","住宅","北東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","13208","東京都","調布市","入間町","成城学園前","14",61000000,"1500000","","135",450000,"ほぼ長方形","7.9","","","","","","南","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","16",68000000,"","","115",,"不整形","2.8","90","令和3年","木造","住宅","住宅","南東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","17",70000000,"","","115",,"長方形","7.4","90","令和2年","木造","住宅","住宅","南西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
5,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","16",62000000,"","","115",,"袋地等","2.8","90","令和2年","木造","住宅","住宅","南東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","18",58000000,"","","100",,"不整形","7.1","80","令和2年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","18",76000000,"","","115",,"不整形","7.3","90","令和2年","木造","住宅","住宅","南西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","17",80000000,"","","115",,"ほぼ長方形","12.4","90","令和2年","木造","住宅","住宅","南東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","17",78000000,"","","115",,"不整形","9.3","90","令和2年","木造","住宅","住宅","南西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","15",49000000,"","","110",,"ほぼ長方形","11.3","90","平成24年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
11,"宅地(土地)","住宅地","13208","東京都","調布市","入間町","成城学園前","16",12000000,"910000","","45",270000,"長方形","4.0","","","","","その他","北東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","","私道を含む取引"
12,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","21",70000000,"","","145",,"ほぼ整形","7.9","105","平成31年","木造","住宅","住宅","南東","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
13,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","18",68000000,"","","220",,"不整形","3.0","160","平成12年","軽量鉄骨造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
14,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","18",49000000,"","","110",,"長方形","6.6","90","平成30年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
15,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","18",55000000,"","","110",,"長方形","6.7","90","平成30年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
16,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","18",51000000,"","","110",,"ほぼ長方形","12.0","90","平成15年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
17,"中古マンション等","","13208","東京都","調布市","入間町","成城学園前","21",34000000,"","１ＬＤＫ","60",,"","","","平成18年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2018年第３四半期","未改装",""
18,"宅地(土地)","住宅地","13208","東京都","調布市","入間町","成城学園前","20",55000000,"400000","","460",120000,"ほぼ整形","27.0","","","","","","南東","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","","私道を含む取引"
19,"宅地(土地)","住宅地","13208","東京都","調布市","入間町","成城学園前","14",84000000,"1500000","","185",450000,"ほぼ長方形","8.0","","","","","店舗","東","区道",8.0,"第２種中高層住居専用地域",60,200,"2018年第２四半期","",""
20,"宅地(土地と建物)","住宅地","13208","東京都","調布市","入間町","成城学園前","22",34000000,"","","150",,"ほぼ長方形","4.0","85","昭和45年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
