"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13116","東京都","豊島区","池袋","池袋","11",17000000,"","","35",,"ほぼ長方形","4.0","","","","","住宅","南西","区道",3.4,"商業地域",80,400,"2020年第４四半期","","私道を含む取引"
2,"宅地(土地と建物)","商業地","13116","東京都","豊島区","池袋","池袋","8",100000000,"","","80",,"ほぼ長方形","7.2","240","昭和58年","鉄骨造","その他","","東","区道",5.0,"商業地域",80,600,"2020年第４四半期","",""
3,"宅地(土地と建物)","商業地","13116","東京都","豊島区","池袋","池袋","3",1300000000,"","","120",,"不整形","","970","昭和64年","ＳＲＣ","事務所、駐車場、店舗","事務所","南東","区道",30.0,"商業地域",80,900,"2020年第４四半期","",""
4,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","8",13000000,"","１Ｋ","15",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第４四半期","未改装",""
5,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","9",24000000,"","１Ｋ","20",,"","","","平成19年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
6,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",23000000,"","１Ｋ","20",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
7,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","9",29000000,"","１Ｋ","20",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
8,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","5",43000000,"","１ＬＤＫ","40",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,800,"2020年第４四半期","未改装",""
9,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",18000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
10,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","10",20000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
11,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","13",49000000,"","１ＬＤＫ","40",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種住居地域",80,400,"2020年第４四半期","未改装",""
12,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","6",34000000,"","１ＤＫ","30",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第４四半期","未改装",""
13,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",18000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
14,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",23000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
15,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","8",32000000,"","２ＬＤＫ","45",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
16,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",22000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,400,"2020年第４四半期","未改装",""
17,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","5",65000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","","住宅","","",,"商業地域",80,800,"2020年第４四半期","未改装",""
18,"宅地(土地)","商業地","13116","東京都","豊島区","池袋","池袋","11",100000000,"2200000","","155",650000,"ほぼ長方形","10.7","","","","","住宅","北西","区道",4.0,"商業地域",80,400,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","13116","東京都","豊島区","池袋","池袋","6",95000000,"","","105",,"ほぼ整形","10.6","155","平成24年","鉄骨造","共同住宅、店舗","店舗","南東","私道",3.3,"商業地域",80,400,"2020年第３四半期","",""
20,"宅地(土地と建物)","住宅地","13116","東京都","豊島区","池袋","池袋","13",76000000,"","","90",,"長方形","10.0","85","令和2年","木造","住宅","住宅","北東","私道",3.3,"第１種住居地域",60,300,"2020年第３四半期","","私道を含む取引"
21,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","10",22000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
22,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","9",21000000,"","１Ｋ","20",,"","","","平成19年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第３四半期","未改装",""
23,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","9",21000000,"","１Ｋ","20",,"","","","平成19年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第３四半期","未改装",""
24,"宅地(土地と建物)","住宅地","13116","東京都","豊島区","池袋","池袋","9",230000000,"","","220",,"ほぼ台形","","340","平成22年","ＲＣ","共同住宅","住宅","北西","私道",3.4,"第１種中高層住居専用地域",60,300,"2020年第２四半期","",""
25,"宅地(土地と建物)","住宅地","13116","東京都","豊島区","池袋","池袋","10",740000000,"","","460",,"ほぼ整形","22.0","820","平成28年","ＲＣ","共同住宅","住宅","西","私道",4.0,"第１種住居地域",60,300,"2020年第２四半期","",""
26,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","8",12000000,"","１Ｋ","15",,"","","","昭和60年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
27,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",17000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,400,"2020年第２四半期","未改装",""
28,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","9",29000000,"","１Ｋ","20",,"","","","平成24年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2020年第２四半期","",""
29,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","10",14000000,"","","20",,"","","","平成16年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2020年第２四半期","未改装",""
30,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",18000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,400,"2020年第２四半期","未改装",""
31,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","13",16000000,"","","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第２四半期","未改装",""
32,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","12",22000000,"","","20",,"","","","平成23年","ＲＣ","","住宅","","",,"商業地域",80,500,"2020年第２四半期","",""
33,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","8",16000000,"","１ＤＫ","30",,"","","","昭和60年","ＳＲＣ","住宅","その他","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
34,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","7",27000000,"","１Ｋ","20",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
35,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","11",23000000,"","１Ｋ","20",,"","","","","","","住宅","","",,"",,,"2020年第２四半期","",""
36,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","12",4800000,"","１Ｋ","10",,"","","","昭和59年","ＲＣ","その他","その他","","",,"商業地域",80,400,"2020年第２四半期","未改装",""
37,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","8",29000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第２四半期","未改装",""
38,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","9",23000000,"","１Ｋ","20",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第２四半期","未改装",""
39,"中古マンション等","","13116","東京都","豊島区","池袋","池袋","10",12000000,"","１Ｋ","15",,"","","","昭和61年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
