"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","16",580000,"","２ＤＫ","40",,"","","","昭和56年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第４四半期","","調停・競売等"
2,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","13",27000000,"","","150",,"ほぼ長方形","","","","","","住宅","西","市道",5.0,"準工業地域",,,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","12",27000000,"","","155",,"正方形","12.2","105","令和2年","木造","住宅","","東","市道",5.0,"準工業地域",60,200,"2020年第３四半期","",""
4,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","10",4600000,"","１ＬＤＫ","45",,"","","","昭和64年","ＲＣ","住宅","その他","","",,"準工業地域",60,200,"2020年第２四半期","改装済",""
5,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","10",4700000,"","１ＤＫ","35",,"","","","昭和64年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第２四半期","改装済",""
6,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","18",4200000,"","","110",,"ほぼ長方形","8.6","75","平成13年","木造","","住宅","北","市道",4.7,"第１種住居地域",60,150,"2020年第１四半期","","調停・競売等"
7,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","14",15000000,"","","135",,"台形","10.0","100","平成16年","木造","住宅","","北","市道",4.5,"第１種住居地域",60,200,"2019年第２四半期","",""
8,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","14",9000000,"","","100",,"台形","9.6","85","昭和62年","木造","","住宅","西","市道",4.2,"第１種住居地域",60,200,"2019年第１四半期","",""
9,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","13",13000000,"","","110",,"ほぼ長方形","6.0","95","平成13年","木造","住宅","住宅","北","市道",4.5,"準工業地域",60,200,"2019年第１四半期","","調停・競売等"
10,"宅地(土地)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","13",30000000,"310000","","320",92000,"ほぼ長方形","18.4","","","","","その他","西","市道",7.8,"第１種住居地域",60,200,"2018年第４四半期","",""
11,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","10",3800000,"","２ＤＫ","40",,"","","","","","","住宅","","",,"",,,"2018年第４四半期","未改装",""
12,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","16",5600000,"","３ＤＫ","60",,"","","","昭和56年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第４四半期","未改装",""
13,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","10",6000000,"","３ＬＤＫ","65",,"","","","","","","住宅","","",,"",,,"2018年第３四半期","未改装",""
14,"宅地(土地)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","11",13000000,"390000","","115",120000,"ほぼ長方形","9.5","","","","","店舗","西","市道",5.8,"準工業地域",60,200,"2017年第４四半期","",""
15,"宅地(土地)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","16",14000000,"250000","","180",76000,"長方形","11.0","","","","","","北西","私道",5.0,"第１種住居地域",60,150,"2017年第３四半期","",""
16,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","10",4600000,"","３ＤＫ","45",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第２四半期","改装済",""
17,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","16",5400000,"","３ＬＤＫ","65",,"","","","昭和56年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第１四半期","改装済",""
18,"中古マンション等","","13205","東京都","青梅市","天ヶ瀬町","青梅","16",300000,"","４ＬＤＫ","65",,"","","","昭和56年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第４四半期","未改装",""
19,"宅地(土地)","住宅地","13205","東京都","青梅市","天ヶ瀬町","青梅","13",26000000,"280000","","310",84000,"ほぼ長方形","11.0","","","","","","北","市道",4.5,"第１種住居地域",60,200,"2016年第２四半期","",""
20,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",7000000,"","","175",,"ほぼ長方形","","80","平成5年","木造","住宅","住宅","南","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
21,"宅地(土地)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",6500000,"130000","","165",40000,"ほぼ長方形","","","","","","","南","私道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
22,"宅地(土地と建物)","工業地","13205","東京都","青梅市","今井","小作","30分?60分",180000000,"","","1100",,"長方形","25.0","480","平成28年","鉄骨造","倉庫","","南","市道",11.3,"工業地域",60,200,"2020年第４四半期","",""
23,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",8500000,"","","230",,"袋地等","","100","昭和50年","木造","住宅","","北","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
24,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",23000000,"","","120",,"ほぼ長方形","13.8","95","令和3年","木造","住宅","住宅","東","市道",3.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
25,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",22000000,"","","130",,"袋地等","2.9","100","令和2年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
26,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","1H?1H30",1000000,"","","135",,"袋地等","3.5","80","昭和64年","木造","","住宅","南","私道",4.5,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
27,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",16000000,"","","180",,"袋地等","2.7","100","平成22年","木造","住宅","住宅","西","市道",5.5,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
28,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",8500000,"","","230",,"袋地等","","100","昭和50年","木造","住宅","住宅","北","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","","調停・競売等"
29,"宅地(土地と建物)","工業地","13205","東京都","青梅市","今井","小作","30分?60分",46000000,"","","330",,"ほぼ長方形","26.0","170","昭和54年","鉄骨造","工場","","南西","市道",8.0,"工業地域",60,200,"2020年第１四半期","",""
30,"宅地(土地と建物)","工業地","13205","東京都","青梅市","今井","小作","30分?60分",68000000,"","","500",,"長方形","17.7","390","昭和56年","鉄骨造","","工場","南","市道",8.0,"工業地域",60,200,"2020年第１四半期","",""
31,"宅地(土地)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",17000000,"360000","","160",110000,"ほぼ長方形","10.3","","","","","","南東","市道",6.0,"第１種低層住居専用地域",50,100,"2019年第４四半期","",""
32,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",23000000,"","","160",,"ほぼ長方形","12.8","105","平成31年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
33,"宅地(土地と建物)","工業地","13205","東京都","青梅市","今井","小作","30分?60分",85000000,"","","840",,"長方形","23.2","910","平成6年","鉄骨造","工場、事務所","工場","北","市道",8.0,"工業地域",60,200,"2019年第４四半期","",""
34,"宅地(土地)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",6200000,"200000","","100",61000,"ほぼ長方形","8.5","","","","","その他","北西","市道",9.0,"第１種住居地域",60,200,"2019年第４四半期","",""
35,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",10000000,"","","180",,"袋地等","2.7","100","平成22年","木造","住宅","住宅","西","市道",4.9,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
36,"宅地(土地)","商業地","13205","東京都","青梅市","今井","小作","30分?60分",13000000,"260000","","165",80000,"ほぼ長方形","17.0","","","","","","南","市道",11.2,"工業地域",60,200,"2019年第３四半期","",""
37,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",23000000,"","","165",,"ほぼ長方形","","95","平成20年","木造","住宅","住宅","北西","市道",5.0,"第１種低層住居専用地域",50,100,"2019年第２四半期","",""
38,"宅地(土地)","工業地","13205","東京都","青梅市","今井","小作","30分?60分",56000000,"560000","","330",170000,"長方形","15.0","","","","","工場","西","市道",12.0,"工業地域",60,200,"2019年第２四半期","",""
39,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",25000000,"","","185",,"袋地等","5.0","105","平成31年","木造","住宅","","西","市道",5.0,"第１種低層住居専用地域",40,80,"2019年第２四半期","",""
40,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",15000000,"","","100",,"長方形","8.6","100","昭和60年","木造","住宅","住宅","南西","私道",4.5,"第１種低層住居専用地域",50,100,"2019年第１四半期","",""
41,"宅地(土地と建物)","工業地","13205","東京都","青梅市","今井","小作","30分?60分",35000000,"","","165",,"ほぼ長方形","12.0","140","昭和60年","鉄骨造","店舗","事務所","南","市道",11.0,"工業地域",60,200,"2018年第４四半期","",""
42,"宅地(土地と建物)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",84000000,"","","400",,"ほぼ長方形","23.0","280","平成30年","木造","共同住宅","住宅","南","都道",8.5,"第１種住居地域",60,150,"2018年第４四半期","",""
43,"宅地(土地)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",58000000,"230000","","820",70000,"ほぼ正方形","27.0","","","","","","西","市道",5.5,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
44,"宅地(土地)","住宅地","13205","東京都","青梅市","今井","小作","30分?60分",56000000,"270000","","690",81000,"長方形","30.0","","","","","","北東","市道",8.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
