"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","23",64000000,"","","130",,"ほぼ長方形","10.0","110","平成16年","木造","住宅","住宅","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","11",6300000,"","","40",,"ほぼ長方形","8.5","40","平成3年","木造","住宅","住宅","西","市道",5.8,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","14",23000000,"","","110",,"ほぼ長方形","13.5","45","","木造","住宅","","北","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","14",5000000,"390000","","40",120000,"ほぼ長方形","13.1","","","","","住宅","接面道路無","",,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
5,"宅地(土地)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","20",41000000,"660000","","210",200000,"ほぼ正方形","14.6","","","","","その他","接面道路無","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","18",39000000,"","","60",,"台形","11.5","95","令和2年","木造","住宅","住宅","南西","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","11",40000000,"","","165",,"不整形","11.2","130","昭和56年","木造","共同住宅","住宅","北西","市道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","20",34000000,"","","75",,"ほぼ台形","6.6","85","平成16年","木造","住宅","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
9,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","16",51000000,"","","70",,"ほぼ台形","11.0","105","平成31年","木造","住宅","住宅","南東","私道",4.6,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
10,"宅地(土地)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","19",15000000,"440000","","110",130000,"不整形","10.0","","","","","住宅","北西","私道",4.0,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
11,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","18",55000000,"","","105",,"袋地等","3.0","95","平成31年","木造","住宅","住宅","西","私道",6.0,"第１種中高層住居専用地域",60,200,"2019年第２四半期","",""
12,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","15",37000000,"","","70",,"台形","5.0","100","平成31年","木造","住宅","住宅","東","私道",4.0,"第１種中高層住居専用地域",60,200,"2019年第２四半期","","私道を含む取引"
13,"宅地(土地)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","11",23000000,"650000","","115",200000,"ほぼ長方形","7.5","","","","","住宅","北西","市道",4.0,"",,,"2018年第４四半期","","私道を含む取引"
14,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","14",50000000,"","","125",,"ほぼ長方形","","95","平成30年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
15,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","18",40000000,"","","140",,"不整形","17.3","85","昭和57年","木造","住宅","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
16,"中古マンション等","","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","11",28000000,"","２ＬＤＫ","60",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2018年第４四半期","未改装",""
17,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","10",33000000,"","","105",,"袋地等","2.3","75","昭和53年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","","隣地の購入"
18,"中古マンション等","","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","11",26000000,"","２ＬＤＫ","60",,"","","","平成8年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",50,100,"2018年第３四半期","未改装",""
19,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","19",51000000,"","","75",,"長方形","5.6","85","平成30年","木造","住宅","住宅","南東","私道",4.5,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
20,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","20",50000000,"","","75",,"ほぼ長方形","","80","平成30年","木造","住宅","住宅","北","私道",5.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
21,"宅地(土地と建物)","住宅地","14133","神奈川県","川崎市中原区","井田","日吉(神奈川)","18",46000000,"","","210",,"台形","16.4","110","昭和48年","木造","住宅","住宅","北西","私道",4.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","","私道を含む取引"
