"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","10",79000000,"","","165",,"ほぼ長方形","14.0","100","令和2年","木造","住宅","住宅","北西","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","9",66000000,"","","120",,"ほぼ長方形","12.1","145","令和2年","木造","共同住宅","住宅","南東","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","8",20000000,"","","100",,"ほぼ台形","9.5","50","昭和42年","木造","住宅","","南","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
4,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","13",3200000,"","１Ｋ","15",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,80,"2020年第４四半期","未改装",""
5,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","13",4500000,"","１ＤＫ","15",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,80,"2020年第４四半期","未改装",""
6,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","9",30000000,"","","125",,"台形","5.8","100","平成16年","木造","住宅","住宅","南西","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
7,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","8",4300000,"","１Ｋ","15",,"","","","昭和64年","","","住宅","","",,"",,,"2020年第３四半期","改装済",""
8,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","13",4000000,"","１Ｋ","15",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,80,"2020年第３四半期","未改装",""
9,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","8",39000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,80,"2020年第３四半期","未改装",""
10,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","10",38000000,"","","135",,"ほぼ正方形","9.0","100","令和2年","木造","住宅","住宅","西","市道",3.8,"第１種低層住居専用地域",50,100,"2020年第２四半期","","私道を含む取引"
11,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","9",13000000,"","","70",,"ほぼ長方形","11.0","","","","","住宅","南東","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
12,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","8",37000000,"","","190",,"ほぼ長方形","15.0","165","","木造","共同住宅","","北西","市道",4.0,"第１種低層住居専用地域",50,80,"2020年第１四半期","",""
13,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","5",68000000,"","","100",,"ほぼ正方形","9.5","","","木造","住宅","住宅","南東","私道",6.0,"準住居地域",60,200,"2020年第１四半期","",""
14,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","12",66000000,"","","240",,"ほぼ長方形","9.0","175","平成18年","木造","共同住宅","住宅","東","私道",4.0,"第１種低層住居専用地域",50,80,"2020年第１四半期","",""
15,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","8",66000000,"","","105",,"不整形","6.0","95","令和2年","軽量鉄骨造","住宅","住宅","北西","市道",6.0,"準住居地域",60,200,"2020年第１四半期","",""
16,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","9",25000000,"","３ＬＤＫ","80",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,80,"2020年第１四半期","未改装",""
17,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","12",4400000,"","１Ｋ","15",,"","","","平成8年","ＳＲＣ","住宅","その他","","",,"第１種低層住居専用地域",50,80,"2020年第１四半期","未改装",""
18,"中古マンション等","","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","12",10000000,"","１Ｋ","15",,"","","","平成8年","ＳＲＣ","住宅","その他","","",,"第１種低層住居専用地域",50,80,"2020年第１四半期","",""
19,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","6",46000000,"","","85",,"不整形","12.0","105","平成31年","木造","住宅","住宅","東","私道",4.5,"第１種住居地域",60,200,"2019年第４四半期","",""
20,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","9",40000000,"","","105",,"ほぼ長方形","9.1","95","平成31年","木造","住宅","住宅","東","市道",3.9,"第１種低層住居専用地域",50,100,"2019年第４四半期","",""
21,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","3",120000000,"","","155",,"ほぼ長方形","7.6","170","平成28年","木造","共同住宅","住宅","南","市道",3.6,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
22,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","4",44000000,"","","75",,"ほぼ長方形","8.2","105","平成31年","木造","住宅","住宅","西","私道",4.5,"第１種住居地域",60,200,"2019年第４四半期","",""
23,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","4",43000000,"","","85",,"不整形","6.2","105","平成31年","木造","住宅","住宅","西","私道",4.5,"第１種住居地域",60,200,"2019年第４四半期","",""
24,"宅地(土地)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","7",21000000,"400000","","170",120000,"ほぼ長方形","16.0","","","","","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
25,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","6",60000000,"","","100",,"ほぼ長方形","","100","令和2年","木造","住宅","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2019年第４四半期","",""
26,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","8",73000000,"","","110",,"袋地等","2.5","125","平成31年","木造","共同住宅","住宅","西","市道",6.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
27,"宅地(土地と建物)","住宅地","14135","神奈川県","川崎市多摩区","生田","生田(神奈川)","5",95000000,"","","330",,"ほぼ長方形","13.0","320","平成3年","木造","共同住宅","住宅","西","県道",4.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
