"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14136","神奈川県","川崎市宮前区","有馬","鷺沼","14",40000000,"","","230",,"長方形","13.7","125","昭和58年","木造","住宅、駐車場","住宅","北西","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","14136","神奈川県","川崎市宮前区","有馬","鷺沼","15",50000000,"420000","","390",130000,"ほぼ長方形","16.0","","","","","住宅","北東","市道",6.5,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
3,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","20",3200000,"","２ＬＤＫ","65",,"","","","平成25年","ＲＣ","","住宅","","",,"準住居地域",60,200,"2020年第４四半期","未改装",""
4,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","11",38000000,"","２ＬＤＫ","75",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
5,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","15",26000000,"","３ＬＤＫ","70",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","改装済",""
6,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","4",20000000,"","１ＬＤＫ","50",,"","","","昭和51年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2020年第４四半期","未改装",""
7,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","9",43000000,"","３ＬＤＫ","65",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"準住居地域",60,200,"2020年第４四半期","未改装",""
8,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","18",27000000,"","３ＬＤＫ","65",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
9,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","13",23000000,"","３ＬＤＫ","70",,"","","","昭和55年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
10,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","10",21000000,"","１ＬＤＫ","60",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
11,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","14",47000000,"","３ＬＤＫ","80",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"準住居地域",60,200,"2020年第４四半期","未改装",""
12,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","13",38000000,"","３ＬＤＫ","65",,"","","","平成12年","ＲＣ","住宅","","","",,"第１種低層住居専用地域",60,200,"2020年第４四半期","改装済",""
13,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","14",35000000,"","３ＬＤＫ","65",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"準住居地域",60,200,"2020年第４四半期","未改装",""
14,"中古マンション等","","14136","神奈川県","川崎市宮前区","有馬","鷺沼","13",40000000,"","３ＬＤＫ","75",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第２種低層住居専用地域",60,200,"2020年第４四半期","未改装",""
15,"宅地(土地と建物)","住宅地","14136","神奈川県","川崎市宮前区","有馬","鷺沼","15",48000000,"","","75",,"ほぼ長方形","9.0","105","令和2年","木造","住宅","","東","私道",4.5,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
16,"宅地(土地と建物)","住宅地","14136","神奈川県","川崎市宮前区","有馬","鷺沼","19",33000000,"","","110",,"ほぼ長方形","8.0","90","昭和60年","木造","住宅、事務所、店舗","住宅","南東","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
17,"宅地(土地と建物)","住宅地","14136","神奈川県","川崎市宮前区","有馬","鷺沼","16",38000000,"","","180",,"ほぼ正方形","14.0","105","","木造","住宅","住宅","北","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
18,"宅地(土地)","住宅地","14136","神奈川県","川崎市宮前区","有馬","鷺沼","20",45000000,"440000","","340",130000,"長方形","14.5","","","","","","北","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","14136","神奈川県","川崎市宮前区","有馬","鷺沼","11",75000000,"","","150",,"ほぼ長方形","8.0","105","令和3年","木造","住宅","住宅","北東","市道",6.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
