"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14132","神奈川県","川崎市幸区","遠藤町","川崎","20",28000000,"760000","","125",230000,"長方形","9.0","","","","","住宅","南西","私道",2.7,"準住居地域",60,300,"2020年第４四半期","","調停・競売等"
2,"中古マンション等","","14132","神奈川県","川崎市幸区","遠藤町","川崎","19",36000000,"","２ＤＫ","60",,"","","","平成22年","ＲＣ","","住宅","","",,"第２種住居地域",60,200,"2019年第１四半期","未改装",""
3,"宅地(土地)","住宅地","14132","神奈川県","川崎市幸区","遠藤町","川崎","20",26000000,"1900000","","45",560000,"長方形","4.2","","","","","住宅","北西","市道",4.0,"第２種住居地域",60,200,"2018年第４四半期","",""
4,"宅地(土地と建物)","住宅地","14132","神奈川県","川崎市幸区","遠藤町","川崎","21",39000000,"","","45",,"長方形","4.2","70","平成31年","木造","住宅","住宅","北西","市道",4.0,"第２種住居地域",60,200,"2018年第４四半期","",""
5,"宅地(土地)","住宅地","14132","神奈川県","川崎市幸区","遠藤町","川崎","20",26000000,"1900000","","45",570000,"長方形","4.2","","","","","住宅","北西","市道",4.0,"第２種住居地域",60,200,"2018年第３四半期","",""
6,"中古マンション等","","14132","神奈川県","川崎市幸区","遠藤町","川崎","19",42000000,"","３ＬＤＫ","80",,"","","","平成22年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2018年第１四半期","",""
7,"中古マンション等","","14132","神奈川県","川崎市幸区","遠藤町","川崎","20",40000000,"","３ＬＤＫ","75",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2017年第２四半期","改装済",""
8,"宅地(土地)","住宅地","14132","神奈川県","川崎市幸区","遠藤町","川崎","20",23000000,"770000","","100",230000,"長方形","9.0","","","","","住宅","北東","私道",2.7,"第２種住居地域",60,200,"2017年第１四半期","",""
9,"宅地(土地と建物)","住宅地","14132","神奈川県","川崎市幸区","遠藤町","川崎","21",36000000,"","","50",,"長方形","4.1","75","平成19年","木造","住宅","住宅","北西","市道",5.5,"第２種住居地域",60,200,"2016年第１四半期","",""
10,"宅地(土地)","住宅地","14132","神奈川県","川崎市幸区","遠藤町","京急川崎","19",8400000,"670000","","40",200000,"ほぼ長方形","8.0","","","","","住宅","北東","私道",2.7,"準住居地域",60,300,"2016年第３四半期","",""
11,"中古マンション等","","14132","神奈川県","川崎市幸区","遠藤町","矢向","18",42000000,"","３ＬＤＫ","70",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2020年第４四半期","未改装",""
12,"中古マンション等","","14132","神奈川県","川崎市幸区","遠藤町","矢向","18",36000000,"","２ＬＤＫ","65",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2016年第４四半期","未改装",""
