"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺","柿生","30分?60分",21000000,"","","200",,"袋地等","","75","昭和46年","木造","住宅","その他","北","市道",10.0,"市街化調整区域",40,80,"2017年第３四半期","",""
2,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺","柿生","29",29000000,"","","125",,"不整形","","95","平成25年","木造","住宅","住宅","北東","私道",4.0,"市街化調整区域",,,"2016年第１四半期","",""
3,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺","新百合ケ丘","30分?60分",49000000,"","","390",,"ほぼ長方形","9.0","310","平成7年","木造","共同住宅、駐車場","住宅","北","市道",4.0,"市街化調整区域",,,"2019年第３四半期","",""
4,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺","新百合ケ丘","30分?60分",80000000,"","","1100",,"不整形","","160","昭和63年","軽量鉄骨造","住宅","その他","北","市道",4.0,"市街化調整区域",,,"2019年第２四半期","",""
5,"宅地(土地)","宅地見込地","14137","神奈川県","川崎市麻生区","王禅寺","新百合ケ丘","30分?60分",250000000,"48000","","2000㎡以上",15000,"不整形","50.0m以上","","","","","その他","西","市道",15.0,"市街化調整区域",40,80,"2019年第１四半期","",""
6,"宅地(土地)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺","新百合ケ丘","30分?60分",29000000,"91000","","1100",27000,"ほぼ長方形","50.0m以上","","","","","","南西","市道",6.0,"市街化調整区域",,,"2018年第２四半期","",""
7,"宅地(土地)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺","新百合ケ丘","29",13000000,"99000","","430",30000,"ほぼ台形","27.0","","","","","","北西","市道",12.0,"市街化調整区域",60,200,"2017年第２四半期","",""
8,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","11",22000000,"","","105",,"ほぼ長方形","7.5","80","昭和61年","木造","住宅","住宅","北","私道",4.0,"第２種低層住居専用地域",50,80,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","15",9000000,"","","125",,"ほぼ長方形","8.0","60","昭和51年","木造","共同住宅","住宅","東","私道",4.3,"第１種低層住居専用地域",40,80,"2020年第４四半期","","私道を含む取引"
10,"宅地(土地)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","13",25000000,"640000","","125",190000,"不整形","","","","","","住宅","東","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
11,"中古マンション等","","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","19",7300000,"","２ＬＤＫ","45",,"","","","昭和45年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","改装済",""
12,"宅地(土地)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","11",25000000,"270000","","300",83000,"不整形","","","","","","住宅","北西","市道",5.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
13,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","9",60000000,"","","130",,"ほぼ台形","19.0","100","令和3年","木造","住宅","","東","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
14,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","11",1700000,"","","230",,"不整形","23.7","175","","木造","住宅、共同住宅","住宅","北東","私道",3.5,"第１種住居地域",60,200,"2020年第３四半期","",""
15,"宅地(土地)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","13",27000000,"540000","","165",160000,"台形","25.4","","","","","","南西","市道",10.0,"第２種中高層住居専用地域",60,150,"2020年第３四半期","",""
16,"宅地(土地と建物)","住宅地","14137","神奈川県","川崎市麻生区","王禅寺西","柿生","11",36000000,"","","160",,"ほぼ台形","12.0","150","昭和63年","木造","住宅","住宅","北東","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第２四半期","",""
