"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","5",28000000,"","１ＬＤＫ","35",,"","","","平成17年","","","住宅","","",,"商業地域",80,600,"2020年第４四半期","未改装",""
2,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","4",22000000,"","１Ｋ","25",,"","","","平成14年","ＲＣ","住宅","その他","","",,"商業地域",80,600,"2020年第４四半期","",""
3,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","5",24000000,"","","20",,"","","","平成24年","ＲＣ","","住宅","","",,"商業地域",80,600,"2020年第４四半期","",""
4,"宅地(土地と建物)","商業地","14104","神奈川県","横浜市中区","相生町","関内","6",200000000,"","","100",,"長方形","6.5","520","平成3年","鉄骨造","店舗","店舗","南西","市道",8.7,"商業地域",80,700,"2020年第３四半期","",""
5,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","5",40000000,"","１ＬＤＫ","45",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第３四半期","未改装",""
6,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","5",30000000,"","１ＬＤＫ","35",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第３四半期","未改装",""
7,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","4",41000000,"","１ＤＫ","60",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第２四半期","改装済",""
8,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","5",38000000,"","１ＬＤＫ","45",,"","","","平成24年","ＲＣ","","住宅","","",,"商業地域",80,600,"2020年第１四半期","未改装",""
9,"宅地(土地)","商業地","14104","神奈川県","横浜市中区","相生町","関内","2",110000000,"3300000","","110",1000000,"長方形","9.0","","","","","事務所","南西","市道",3.5,"商業地域",80,700,"2019年第４四半期","","私道を含む取引"
10,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","5",31000000,"","１ＤＫ","35",,"","","","平成24年","","","住宅","","",,"商業地域",80,600,"2019年第４四半期","改装済",""
11,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","4",23000000,"","１ＤＫ","30",,"","","","平成14年","ＲＣ","","住宅","","",,"商業地域",80,600,"2019年第４四半期","未改装",""
12,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","4",29000000,"","１ＤＫ","30",,"","","","平成14年","ＲＣ","住宅","その他","","",,"商業地域",80,600,"2019年第３四半期","未改装",""
13,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","5",25000000,"","１Ｋ","25",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第２四半期","未改装",""
14,"中古マンション等","","14104","神奈川県","横浜市中区","相生町","関内","4",20000000,"","１Ｋ","25",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第１四半期","改装済",""
