"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14106","神奈川県","横浜市保土ケ谷区","新井町","上星川","30分?60分",3500000,"","２ＬＤＫ","50",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2017年第２四半期","未改装",""
2,"宅地(土地)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","23",23000000,"360000","","200",110000,"ほぼ長方形","9.0","","","","","住宅","北西","市道",6.5,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","25",25000000,"","","105",,"ほぼ台形","8.6","100","平成19年","木造","住宅","住宅","南西","市道",6.5,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
4,"中古マンション等","","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","30分?60分",1200000,"","３ＬＤＫ","50",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,150,"2020年第４四半期","未改装",""
5,"中古マンション等","","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","30分?60分",14000000,"","２ＬＤＫ","55",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","改装済",""
6,"宅地(土地)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","21",45000000,"380000","","390",120000,"不整形","15.0","","","","","事務所","西","市道",8.3,"第１種住居地域",60,200,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","23",25000000,"","","150",,"不整形","14.7","110","平成13年","木造","住宅","住宅","西","市道",4.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","19",37000000,"","","125",,"ほぼ長方形","12.0","100","令和2年","木造","住宅","住宅","北西","私道",4.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","16",8500000,"","","150",,"ほぼ台形","10.0","95","昭和43年","木造","住宅","住宅","南西","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","","私道を含む取引"
10,"中古マンション等","","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","30分?60分",4700000,"","３ＤＫ","50",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,150,"2020年第３四半期","未改装",""
11,"中古マンション等","","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","30分?60分",7700000,"","３ＤＫ","50",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,150,"2020年第３四半期","未改装",""
12,"宅地(土地)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","16",24000000,"510000","","155",160000,"ほぼ正方形","13.0","","","","","","南","私道",5.0,"第１種低層住居専用地域",50,80,"2020年第２四半期","",""
13,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","24",8200000,"","","70",,"台形","9.0","70","昭和64年","木造","住宅","住宅","北西","私道",4.5,"第２種中高層住居専用地域",60,150,"2020年第１四半期","",""
14,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","20",29000000,"","","85",,"ほぼ長方形","12.0","70","平成31年","木造","住宅","住宅","北","市道",4.5,"市街化調整区域",50,80,"2020年第１四半期","",""
15,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","16",6000000,"","","110",,"不整形","7.0","80","平成4年","木造","住宅","住宅","北西","市道",2.0,"第１種低層住居専用地域",50,80,"2020年第１四半期","",""
16,"宅地(土地と建物)","商業地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","29",35000000,"","","130",,"ほぼ長方形","7.0","100","平成5年","木造","共同住宅","住宅","北東","市道",12.0,"第１種住居地域",60,200,"2020年第１四半期","",""
17,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","24",23000000,"","","260",,"ほぼ台形","18.0","170","昭和50年","軽量鉄骨造","共同住宅","住宅","東","市道",6.3,"第１種低層住居専用地域",50,80,"2019年第４四半期","",""
18,"宅地(土地と建物)","住宅地","14106","神奈川県","横浜市保土ケ谷区","新井町","西谷","24",28000000,"","","100",,"長方形","8.4","95","平成19年","木造","住宅","住宅","北東","市道",6.5,"第１種中高層住居専用地域",60,150,"2019年第４四半期","",""
