"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","9",50000000,"","","145",,"ほぼ長方形","10.7","180","昭和50年","木造","住宅","住宅","南西","市道",3.8,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"中古マンション等","","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","4",31000000,"","３ＬＤＫ","60",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第４四半期","未改装",""
3,"中古マンション等","","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","6",17000000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","7",35000000,"","","50",,"台形","9.0","80","令和2年","木造","住宅","住宅","南西","私道",4.5,"第１種住居地域",60,200,"2020年第２四半期","",""
5,"中古マンション等","","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","5",9700000,"","１ＤＫ","20",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第２四半期","改装済",""
6,"中古マンション等","","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","6",9200000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
7,"中古マンション等","","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","6",16000000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
8,"宅地(土地)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","6",17000000,"1100000","","55",320000,"不整形","12.3","","","","","その他","南","市道",5.5,"第１種住居地域",60,200,"2020年第１四半期","",""
9,"宅地(土地)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","6",40000000,"1300000","","100",400000,"ほぼ長方形","9.0","","","","","住宅","北","市道",6.5,"第１種住居地域",60,200,"2020年第１四半期","",""
10,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","6",45000000,"","","75",,"ほぼ長方形","8.0","110","平成2年","木造","住宅","住宅","北","市道",6.5,"第１種住居地域",60,200,"2020年第１四半期","",""
11,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","9",39000000,"","","55",,"袋地等","2.5","70","令和2年","木造","住宅","住宅","西","私道",4.0,"第１種住居地域",60,200,"2020年第１四半期","",""
12,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","6",52000000,"","","125",,"袋地等","2.5","100","令和2年","木造","住宅","住宅","北","市道",6.5,"第１種住居地域",60,200,"2020年第１四半期","",""
13,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","8",33000000,"","","50",,"長方形","4.0","75","平成31年","木造","住宅","住宅","北西","市道",4.5,"第１種住居地域",60,200,"2019年第３四半期","",""
14,"宅地(土地)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","8",16000000,"680000","","75",210000,"不整形","8.0","","","","","住宅","北西","市道",5.0,"第１種住居地域",60,200,"2019年第３四半期","",""
15,"中古マンション等","","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","5",13000000,"","１Ｋ","20",,"","","","平成3年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","改装済",""
16,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","5",39000000,"","","50",,"ほぼ長方形","5.5","75","平成31年","木造","住宅","住宅","北","市道",9.0,"第１種住居地域",60,200,"2019年第２四半期","",""
17,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","12",39000000,"","","55",,"ほぼ台形","9.0","95","平成31年","木造","住宅","住宅","南東","市道",4.0,"第１種住居地域",60,200,"2019年第２四半期","",""
18,"宅地(土地と建物)","住宅地","14105","神奈川県","横浜市南区","井土ケ谷上町","井土ケ谷","7",34000000,"","","50",,"長方形","6.0","80","平成31年","木造","住宅","住宅","北","私道",4.0,"第１種住居地域",60,200,"2019年第２四半期","",""
