"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","踊場","30分?60分",8000000,"","３ＬＤＫ","65",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第３四半期","未改装",""
2,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",6000000,"","３ＤＫ","60",,"","","","昭和54年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第４四半期","未改装",""
3,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",32000000,"","３ＬＤＫ","65",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第４四半期","未改装",""
4,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",30000000,"","３ＬＤＫ","65",,"","","","平成29年","ＲＣ","","住宅","","",,"工業地域",60,200,"2020年第４四半期","未改装",""
5,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",33000000,"","","125",,"ほぼ長方形","7.0","100","令和2年","木造","住宅","住宅","東","市道",5.5,"第１種低層住居専用地域",50,80,"2020年第２四半期","",""
6,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",28000000,"","３ＬＤＫ","65",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第１四半期","未改装","調停・競売等"
7,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",15000000,"","３ＤＫ","60",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第１四半期","改装済",""
8,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","26",23000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第１四半期","未改装",""
9,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",18000000,"","３ＬＤＫ","65",,"","","","昭和54年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2019年第４四半期","改装済",""
10,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","29",17000000,"","３ＬＤＫ","60",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第４四半期","改装済",""
11,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",36000000,"","","100",,"長方形","6.4","100","平成30年","木造","住宅","","南","私道",5.5,"準工業地域",60,200,"2018年第３四半期","",""
12,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",36000000,"","","100",,"長方形","6.4","100","平成30年","木造","住宅","住宅","南","私道",5.5,"準工業地域",60,200,"2018年第３四半期","",""
13,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","28",30000000,"","","155",,"長方形","10.8","100","平成8年","木造","住宅","住宅","南","私道",4.5,"第１種低層住居専用地域",50,80,"2018年第３四半期","",""
14,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",28000000,"","３ＬＤＫ","65",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第３四半期","未改装",""
15,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",36000000,"","","100",,"長方形","6.4","100","平成30年","木造","住宅","住宅","南","私道",5.5,"準工業地域",60,200,"2018年第２四半期","",""
16,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",80000000,"","","380",,"不整形","15.4","140","平成19年","軽量鉄骨造","住宅","住宅","南東","市道",7.6,"準工業地域",60,200,"2018年第１四半期","",""
17,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","29",18000000,"","２ＬＤＫ","65",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第１四半期","改装済",""
18,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","29",24000000,"","","210",,"ほぼ長方形","","100","平成8年","木造","住宅","住宅","東","私道",4.5,"第１種低層住居専用地域",50,80,"2017年第４四半期","",""
19,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",37000000,"","","125",,"長方形","8.3","125","平成29年","木造","住宅","住宅","東","市道",6.5,"第１種低層住居専用地域",50,80,"2017年第４四半期","",""
20,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",17000000,"","３ＬＤＫ","60",,"","","","昭和60年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2017年第４四半期","改装済",""
21,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",38000000,"","","125",,"長方形","6.8","100","平成29年","木造","住宅","住宅","南","市道",6.5,"第１種低層住居専用地域",50,80,"2017年第２四半期","",""
22,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","28",9800000,"","","65",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第２四半期","未改装",""
23,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","29",25000000,"","３ＬＤＫ","75",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第２四半期","未改装",""
24,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",17000000,"","３ＬＤＫ","60",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第２四半期","未改装",""
25,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","21",47000000,"","","130",,"長方形","9.0","100","平成29年","木造","住宅","住宅","南東","私道",5.0,"第１種低層住居専用地域",50,80,"2017年第１四半期","",""
26,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",38000000,"","","100",,"長方形","6.4","100","平成28年","木造","住宅","住宅","南","私道",5.5,"準工業地域",60,200,"2016年第４四半期","",""
27,"宅地(土地)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",28000000,"740000","","125",220000,"ほぼ長方形","11.3","","","","","住宅","北","私道",5.5,"第１種低層住居専用地域",50,80,"2016年第３四半期","",""
28,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","29",20000000,"","３ＬＤＫ","65",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第３四半期","",""
29,"中古マンション等","","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",22000000,"","３ＬＤＫ","70",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2016年第２四半期","未改装",""
30,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","戸塚","30分?60分",40000000,"","","125",,"ほぼ長方形","6.0","100","平成28年","木造","住宅","住宅","西","市道",6.5,"第１種低層住居専用地域",50,80,"2016年第１四半期","",""
31,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","30分?60分",33000000,"","","125",,"ほぼ長方形","6.5","100","令和2年","木造","住宅","住宅","南西","私道",5.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
32,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","30分?60分",33000000,"","","125",,"袋地等","2.5","100","令和2年","木造","住宅","住宅","西","私道",5.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
33,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","24",27000000,"","","100",,"長方形","7.9","80","平成4年","木造","住宅","住宅","北西","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
34,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","30分?60分",36000000,"","","125",,"ほぼ台形","","100","令和2年","木造","住宅","住宅","西","私道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
35,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","30分?60分",36000000,"","","125",,"ほぼ長方形","7.9","100","令和2年","木造","住宅","住宅","南西","私道",5.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
36,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","30分?60分",34000000,"","","125",,"不整形","3.5","100","令和2年","木造","住宅","住宅","南西","私道",5.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
37,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","28",39000000,"","","125",,"ほぼ長方形","8.0","100","令和2年","木造","住宅","住宅","南","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
38,"宅地(土地)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","24",52000000,"320000","","540",96000,"ほぼ長方形","20.0","","","","","","南東","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
39,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","29",36000000,"","","125",,"不整形","10.0","100","令和2年","木造","住宅","住宅","西","私道",5.5,"第１種低層住居専用地域",50,80,"2020年第２四半期","",""
40,"宅地(土地と建物)","住宅地","14110","神奈川県","横浜市戸塚区","秋葉町","東戸塚","26",34000000,"","","125",,"長方形","6.8","125","令和2年","木造","住宅、駐車場","住宅","東","私道",5.5,"第１種低層住居専用地域",50,80,"2020年第２四半期","",""
