"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","工業地","14115","神奈川県","横浜市栄区","飯島町","大船","25",870000000,"","","2000㎡以上",,"ほぼ整形","40.0","2000㎡以上","昭和52年","鉄骨造","工場、事務所","工場","南東","市道",13.0,"工業地域",60,200,"2020年第２四半期","",""
2,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","20",26000000,"","","185",,"ほぼ正方形","13.3","80","昭和45年","木造","住宅","住宅","北西","市道",14.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
3,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","20",20000000,"","","175",,"ほぼ長方形","11.0","115","昭和47年","木造","住宅","住宅","南西","市道",6.5,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
4,"宅地(土地)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","19",24000000,"550000","","145",170000,"ほぼ正方形","12.0","","","","","住宅","南西","市道",4.5,"第１種低層住居専用地域",50,80,"2019年第４四半期","",""
5,"宅地(土地と建物)","工業地","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",340000000,"","","2000㎡以上",,"不整形","41.0","1200","昭和61年","木造","作業場","工場","南西","市道",8.8,"工業地域",60,200,"2019年第３四半期","",""
6,"宅地(土地)","宅地見込地","14115","神奈川県","横浜市栄区","飯島町","大船","26",30000000,"280000","","360",84000,"ほぼ長方形","20.0","","","","","","西","市道",3.3,"第１種住居地域",60,200,"2019年第３四半期","",""
7,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","8",11000000,"","２ＬＤＫ","55",,"","","","平成5年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2019年第１四半期","未改装",""
8,"宅地(土地)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","26",22000000,"250000","","290",75000,"不整形","38.0","","","","","","東","市道",9.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
9,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",24000000,"","３ＬＤＫ","70",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第４四半期","改装済",""
10,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",33000000,"","","125",,"不整形","14.3","95","平成30年","木造","住宅","住宅","南東","市道",4.1,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
11,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","21",23000000,"","","220",,"長方形","11.5","65","昭和44年","木造","住宅","住宅","南西","市道",4.5,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
12,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",20000000,"","３ＬＤＫ","80",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第２四半期","未改装",""
13,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","26",22000000,"","３ＬＤＫ","70",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","改装済",""
14,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",30000000,"","","125",,"ほぼ台形","6.5","95","平成29年","木造","住宅","住宅","北西","私道",4.5,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
15,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",31000000,"","","125",,"ほぼ長方形","15.0","100","平成29年","木造","住宅","住宅","北西","市道",8.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
16,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",34000000,"","","125",,"ほぼ長方形","8.5","95","平成29年","木造","住宅","住宅","北東","道路",5.5,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
17,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",39000000,"","","125",,"ほぼ長方形","9.5","90","平成29年","木造","住宅","住宅","南西","道路",5.5,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
18,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","29",18000000,"","","180",,"長方形","12.0","95","昭和53年","木造","住宅","住宅","南西","市道",9.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
19,"宅地(土地)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","26",24000000,"370000","","220",110000,"ほぼ台形","14.3","","","","","","南東","市道",9.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
20,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","28",33000000,"","","100",,"ほぼ長方形","15.0","100","平成29年","木造","住宅","住宅","北東","私道",4.5,"工業地域",60,200,"2017年第１四半期","",""
21,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","23",25000000,"","３ＬＤＫ","65",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第１四半期","改装済",""
22,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","23",19000000,"","３ＬＤＫ","70",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2016年第３四半期","改装済",""
23,"宅地(土地)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","28",19000000,"270000","","230",81000,"袋地等","3.0","","","","","住宅","南東","市道",4.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
24,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",23000000,"","３ＬＤＫ","75",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2016年第２四半期","改装済",""
25,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","20",15000000,"","４ＬＤＫ","65",,"","","","","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2016年第２四半期","未改装",""
26,"宅地(土地と建物)","住宅地","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",38000000,"","","230",,"ほぼ整形","","175","平成13年","木造","住宅","住宅","北西","区画街路",6.5,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
27,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","20",16000000,"","２ＬＤＫ","55",,"","","","","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2016年第１四半期","改装済",""
28,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","20",19000000,"","３ＬＤＫ","65",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2016年第１四半期","改装済",""
29,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","大船","30分?60分",15000000,"","３ＤＫ","70",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2016年第１四半期","未改装",""
30,"中古マンション等","","14115","神奈川県","横浜市栄区","飯島町","戸塚","30分?60分",25000000,"","３ＬＤＫ","80",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第３四半期","改装済",""
