"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","池の谷","緑園都市","8",43000000,"","","160",,"不整形","14.0","95","平成31年","木造","住宅","住宅","北","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
2,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","池の谷","緑園都市","8",47000000,"","","210",,"袋地等","2.5","110","平成29年","木造","住宅","住宅","東","私道",5.5,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
3,"宅地(土地)","住宅地","14116","神奈川県","横浜市泉区","池の谷","緑園都市","8",31000000,"690000","","145",210000,"ほぼ台形","15.0","","","","","住宅","西","私道",5.5,"市街化調整区域",50,80,"2016年第４四半期","",""
4,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","18",48000000,"","","125",,"台形","","100","平成31年","軽量鉄骨造","住宅","住宅","北","私道",5.0,"市街化調整区域",50,80,"2020年第４四半期","",""
5,"宅地(土地)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","16",22000000,"450000","","160",140000,"ほぼ長方形","8.7","","","","","住宅","南東","市道",4.0,"市街化調整区域",50,80,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","11",100000,"","","95",,"袋地等","2.0","65","昭和58年","木造","住宅","住宅","南東","私道",6.1,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","14",16000000,"","","165",,"ほぼ長方形","12.0","90","昭和43年","木造","住宅","住宅","北西","市道",7.5,"市街化調整区域",50,80,"2020年第１四半期","",""
8,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","13",28000000,"","","140",,"長方形","9.0","85","昭和57年","木造","住宅","住宅","南西","私道",4.5,"第１種住居地域",60,200,"2020年第１四半期","",""
9,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","9",24000000,"","","200",,"ほぼ長方形","9.8","110","昭和59年","木造","住宅","住宅","北西","私道",6.0,"第１種低層住居専用地域",50,80,"2019年第３四半期","","私道を含む取引"
10,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","13",35000000,"","","85",,"ほぼ正方形","9.0","100","平成31年","木造","住宅","住宅","南東","市道",4.0,"第１種住居地域",60,200,"2019年第３四半期","",""
11,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","13",18000000,"","","100",,"ほぼ長方形","","90","","","","住宅","北東","私道",4.5,"第１種住居地域",60,200,"2019年第１四半期","",""
12,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","16",7100000,"","","115",,"ほぼ長方形","","","","","","住宅","南西","私道",4.5,"第１種低層住居専用地域",50,80,"2019年第１四半期","",""
13,"宅地(土地と建物)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","15",41000000,"","","135",,"ほぼ長方形","9.8","100","平成30年","木造","住宅","住宅","南東","市道",6.5,"市街化調整区域",50,80,"2019年第１四半期","",""
14,"宅地(土地)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","15",9000000,"270000","","110",81000,"袋地等","2.0","","","","","その他","南西","市道",4.0,"市街化調整区域",50,80,"2017年第３四半期","",""
15,"宅地(土地)","住宅地","14116","神奈川県","横浜市泉区","和泉が丘","下飯田","16",4300000,"120000","","115",38000,"ほぼ台形","","","","","","","南","私道",4.5,"市街化調整区域",50,80,"2017年第２四半期","",""
