"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","13",99000000,"","","380",,"不整形","21.2","100","昭和63年","木造","共同住宅","","南東","私道",4.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","10",42000000,"","","65",,"ほぼ長方形","10.0","105","平成14年","木造","住宅","住宅","南西","市道",8.0,"近隣商業地域",80,200,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","13",32000000,"380000","","270",110000,"不整形","12.9","","","","","","南東","市道",3.6,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","18",70000000,"","","100",,"長方形","7.5","120","平成30年","木造","住宅","住宅","北西","私道",5.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","12",39000000,"","","45",,"ほぼ長方形","3.5","80","平成10年","木造","住宅","住宅","西","市道",7.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
6,"中古マンション等","","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","12",20000000,"","２ＬＤＫ","55",,"","","","昭和47年","鉄骨造","住宅","住宅","","",,"第２種中高層住居専用地域",60,150,"2020年第４四半期","改装済",""
7,"中古マンション等","","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","15",41000000,"","３ＬＤＫ","60",,"","","","平成9年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","改装済",""
8,"中古マンション等","","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","6",58000000,"","２ＬＤＫ＋Ｓ","75",,"","","","","","","住宅","","",,"",,,"2020年第４四半期","未改装",""
9,"中古マンション等","","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","5",46000000,"","３ＬＤＫ","70",,"","","","昭和61年","ＳＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","改装済",""
10,"中古マンション等","","14109","神奈川県","横浜市港北区","大倉山","大倉山(神奈川)","15",33000000,"","３ＬＤＫ","60",,"","","","平成5年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","改装済",""
