"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14111","神奈川県","横浜市港南区","大久保","上大岡","18",21000000,"","","55",,"ほぼ長方形","5.0","95","平成15年","木造","住宅","","北","市道",4.5,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
2,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","4",6000000,"","１Ｋ","15",,"","","","昭和62年","ＲＣ","住宅","事務所","","",,"近隣商業地域",80,200,"2020年第４四半期","改装済",""
3,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","8",20000000,"","４ＬＤＫ","85",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","未改装",""
4,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","15",38000000,"","３ＬＤＫ","80",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","改装済",""
5,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","15",32000000,"","３ＬＤＫ","75",,"","","","平成14年","","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","改装済",""
6,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","14",32000000,"","３ＬＤＫ","75",,"","","","平成12年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","改装済",""
7,"宅地(土地)","住宅地","14111","神奈川県","横浜市港南区","大久保","上大岡","18",52000000,"460000","","370",140000,"ほぼ長方形","23.0","","","","","","北西","市道",8.0,"第１種中高層住居専用地域",60,150,"2020年第３四半期","",""
8,"宅地(土地)","住宅地","14111","神奈川県","横浜市港南区","大久保","上大岡","20",25000000,"620000","","135",190000,"ほぼ長方形","10.0","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,150,"2020年第３四半期","",""
9,"宅地(土地)","住宅地","14111","神奈川県","横浜市港南区","大久保","上大岡","21",28000000,"560000","","165",170000,"長方形","10.9","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,150,"2020年第３四半期","",""
10,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","21",30000000,"","３ＬＤＫ","115",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第３四半期","未改装",""
11,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","18",16000000,"","３ＬＤＫ","55",,"","","","昭和61年","","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第３四半期","改装済",""
12,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","12",40000000,"","３ＬＤＫ","70",,"","","","平成25年","","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第３四半期","未改装",""
13,"宅地(土地と建物)","商業地","14111","神奈川県","横浜市港南区","大久保","上大岡","6",85000000,"","","190",,"ほぼ長方形","10.0","185","昭和60年","木造","共同住宅","住宅","南","市道",5.8,"近隣商業地域",80,200,"2020年第２四半期","",""
14,"宅地(土地と建物)","住宅地","14111","神奈川県","横浜市港南区","大久保","上大岡","14",35000000,"","","60",,"不整形","2.0","85","令和2年","木造","住宅","住宅","南","市道",4.5,"第１種中高層住居専用地域",60,150,"2020年第２四半期","",""
15,"宅地(土地と建物)","住宅地","14111","神奈川県","横浜市港南区","大久保","上大岡","6",55000000,"","","75",,"ほぼ整形","7.0","95","令和2年","木造","住宅","住宅","西","市道",4.5,"第１種住居地域",60,200,"2020年第２四半期","",""
16,"中古マンション等","","14111","神奈川県","横浜市港南区","大久保","上大岡","21",27000000,"","３ＬＤＫ","75",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第２四半期","未改装",""
