"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","19",26000000,"670000","","130",200000,"ほぼ台形","14.5","","","","","","南","私道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","13",5000000,"","","340",,"不整形","","160","昭和53年","木造","共同住宅","住宅","東","市道",6.1,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","16",15000000,"","","100",,"ほぼ正方形","10.5","80","昭和62年","木造","住宅","住宅","南","私道",5.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","15",12000000,"380000","","105",120000,"ほぼ長方形","9.4","","","","","","北","私道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","18",15000000,"","","105",,"ほぼ長方形","12.0","80","昭和60年","木造","住宅","住宅","東","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","20",40000000,"","","150",,"ほぼ長方形","8.4","90","令和2年","木造","住宅","住宅","北西","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","19",38000000,"","","140",,"不整形","11.7","95","平成31年","木造","住宅","住宅","北東","市道",15.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
8,"宅地(土地)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","17",19000000,"630000","","100",190000,"ほぼ長方形","9.5","","","","","住宅","東","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","18",39000000,"","","130",,"長方形","8.3","95","平成31年","木造","住宅","住宅","北東","市道",15.0,"第１種低層住居専用地域",50,100,"2020年第１四半期","",""
10,"宅地(土地と建物)","住宅地","14114","神奈川県","横浜市瀬谷区","相沢","瀬谷","13",44000000,"","","165",,"ほぼ長方形","14.1","","令和2年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第１四半期","",""
