"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",49000000,"","３ＬＤＫ","60",,"","","","平成24年","ＲＣ","","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
2,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","1",29000000,"","２ＬＤＫ","45",,"","","","昭和63年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","改装済",""
3,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",33000000,"","１ＬＤＫ","35",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
4,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","青木町","神奈川","3",270000000,"2900000","","300",890000,"ほぼ長方形","19.0","","","","","その他","東","市道",4.0,"第１種住居地域",60,200,"2020年第１四半期","",""
5,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",30000000,"","３ＬＤＫ","70",,"","","","昭和47年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","改装済",""
6,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",27000000,"","２ＬＤＫ","50",,"","","","昭和47年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2020年第１四半期","",""
7,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",18000000,"","１Ｋ","30",,"","","","昭和64年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第４四半期","改装済",""
8,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","5",11000000,"","１Ｋ","30",,"","","","昭和64年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第４四半期","未改装",""
9,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",12000000,"","１Ｒ","25",,"","","","昭和64年","","","事務所","","",,"商業地域",80,500,"2019年第４四半期","未改装",""
10,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",25000000,"","１ＬＤＫ","35",,"","","","平成6年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","改装済",""
