"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14113","神奈川県","横浜市緑区","青砥町","川和町","11",50000000,"480000","","350",150000,"不整形","12.0","","","","","住宅","西","市道",6.5,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
2,"中古マンション等","","14113","神奈川県","横浜市緑区","青砥町","十日市場(神奈川)","13",27000000,"","３ＬＤＫ","75",,"","","","平成15年","ＲＣ","","住宅","","",,"工業地域",60,200,"2018年第１四半期","改装済",""
3,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","15",56000000,"","","125",,"長方形","10.3","95","令和2年","木造","住宅","住宅","南東","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","15",61000000,"","","125",,"長方形","10.5","100","令和2年","木造","住宅","住宅","北東","市道",6.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","14",51000000,"","","125",,"ほぼ長方形","8.1","90","令和2年","木造","住宅","住宅","北西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","15",54000000,"","","125",,"長方形","9.5","95","令和2年","木造","住宅","住宅","北西","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","15",57000000,"","","125",,"長方形","10.3","95","令和2年","木造","住宅","住宅","南東","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","15",57000000,"","","125",,"長方形","10.3","95","令和2年","木造","住宅","住宅","南東","私道",5.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","15",50000000,"","","125",,"袋地等","2.8","95","令和2年","木造","住宅","住宅","北東","市道",6.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","14113","神奈川県","横浜市緑区","青砥町","中山(神奈川)","15",57000000,"","","125",,"ほぼ長方形","9.2","100","令和2年","木造","住宅","住宅","北東","市道",6.6,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
