"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14103","神奈川県","横浜市西区","赤門町","黄金町","5",24000000,"","２ＬＤＫ","55",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2016年第３四半期","改装済",""
2,"宅地(土地と建物)","住宅地","14103","神奈川県","横浜市西区","東ケ丘","黄金町","7",25000000,"","","170",,"不整形","2.5","85","昭和38年","木造","住宅","住宅","東","市道",3.9,"第１種住居地域",60,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14103","神奈川県","横浜市西区","東ケ丘","日ノ出町","6",62000000,"","","420",,"ほぼ正方形","20.0","130","","木造","住宅","住宅","南","私道",2.0,"第１種住居地域",60,200,"2020年第４四半期","","私道を含む取引"
4,"宅地(土地と建物)","商業地","14103","神奈川県","横浜市西区","東ケ丘","日ノ出町","2",57000000,"","","60",,"長方形","4.6","105","令和2年","木造","住宅","住宅","西","市道",4.0,"近隣商業地域",80,300,"2020年第１四半期","",""
5,"宅地(土地)","商業地","14103","神奈川県","横浜市西区","東ケ丘","日ノ出町","2",120000000,"2100000","","195",620000,"ほぼ長方形","13.0","","","","","住宅","南西","市道",4.5,"近隣商業地域",80,300,"2019年第３四半期","",""
6,"宅地(土地)","住宅地","14103","神奈川県","横浜市西区","東ケ丘","日ノ出町","5",57000000,"650000","","290",200000,"ほぼ長方形","22.0","","","","","住宅","南西","市道",4.0,"第１種住居地域",60,200,"2019年第１四半期","",""
7,"中古マンション等","","14103","神奈川県","横浜市西区","東ケ丘","日ノ出町","9",16000000,"","１ＤＫ","40",,"","","","平成9年","","","住宅","","",,"第１種住居地域",60,200,"2017年第４四半期","未改装",""
8,"宅地(土地と建物)","住宅地","14103","神奈川県","横浜市西区","東ケ丘","日ノ出町","8",42000000,"","","75",,"長方形","4.5","95","平成24年","木造","住宅","住宅","東","市道",3.0,"第１種住居地域",60,200,"2017年第２四半期","","私道を含む取引"
9,"宅地(土地)","住宅地","14103","神奈川県","横浜市西区","東ケ丘","日ノ出町","5",24000000,"530000","","145",160000,"長方形","10.4","","","","","住宅","西","市道",2.7,"第１種住居地域",60,200,"2017年第２四半期","",""
10,"宅地(土地)","商業地","14103","神奈川県","横浜市西区","伊勢町","桜木町","13",20000000,"700000","","95",210000,"ほぼ台形","5.0","","","","","住宅","北西","市道",7.0,"近隣商業地域",80,300,"2020年第３四半期","",""
