"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14108","神奈川県","横浜市金沢区","朝比奈町","六浦","23",23000000,"","","100",,"不整形","2.7","80","平成12年","木造","住宅","","南東","私道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14108","神奈川県","横浜市金沢区","朝比奈町","六浦","23",16000000,"","","100",,"ほぼ長方形","8.7","80","平成12年","木造","住宅","住宅","東","私道",4.5,"第１種低層住居専用地域",50,100,"2020年第１四半期","",""
3,"宅地(土地と建物)","住宅地","14108","神奈川県","横浜市金沢区","朝比奈町","六浦","25",40000000,"","","165",,"ほぼ長方形","12.5","100","平成31年","木造","住宅","","南","市道",4.0,"市街化調整区域",50,80,"2019年第４四半期","",""
4,"宅地(土地と建物)","住宅地","14108","神奈川県","横浜市金沢区","朝比奈町","六浦","21",23000000,"","","130",,"不整形","","80","平成12年","木造","住宅","住宅","北西","私道",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
5,"宅地(土地と建物)","住宅地","14108","神奈川県","横浜市金沢区","海の公園","野島公園","6",21000000,"","","50",,"ほぼ正方形","6.9","80","平成22年","木造","住宅","住宅","北東","市道",12.0,"第１種住居地域",60,200,"2017年第４四半期","",""
6,"宅地(土地と建物)","住宅地","14108","神奈川県","横浜市金沢区","海の公園","野島公園","5",29000000,"","","50",,"長方形","4.5","80","平成28年","木造","住宅","住宅","南東","市道",12.0,"第１種住居地域",60,200,"2016年第２四半期","",""
7,"宅地(土地と建物)","住宅地","14108","神奈川県","横浜市金沢区","海の公園","野島公園","5",32000000,"","","45",,"ほぼ長方形","8.0","80","平成28年","木造","住宅","","北西","市道",4.5,"第１種住居地域",60,200,"2016年第１四半期","",""
8,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","19",32000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第３四半期","改装済",""
9,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","14",26000000,"","３ＬＤＫ","80",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第４四半期","",""
10,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","14",26000000,"","３ＬＤＫ","80",,"","","","平成17年","ＲＣ","","住宅","","",,"工業地域",60,200,"2019年第２四半期","未改装",""
11,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","14",27000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2019年第２四半期","未改装",""
12,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","14",38000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第１四半期","未改装",""
13,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","15",20000000,"","３ＬＤＫ","65",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第４四半期","",""
14,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","14",30000000,"","","80",,"","","","平成17年","ＲＣ","","","","",,"工業地域",60,200,"2018年第３四半期","改装済",""
15,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","30分?60分",29000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第２四半期","改装済",""
16,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢八景","30分?60分",30000000,"","４ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
17,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",26000000,"","４ＬＤＫ","95",,"","","","平成17年","","","住宅","","",,"工業地域",60,200,"2020年第４四半期","未改装",""
18,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",26000000,"","３ＬＤＫ","80",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第３四半期","改装済",""
19,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",26000000,"","４ＬＤＫ","95",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第２四半期","未改装",""
20,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",26000000,"","３ＬＤＫ","95",,"","","","平成17年","","","住宅","","",,"工業地域",60,200,"2020年第１四半期","未改装",""
21,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",27000000,"","４ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第１四半期","未改装",""
22,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","26",28000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第４四半期","未改装",""
23,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",22000000,"","４ＬＤＫ","95",,"","","","平成17年","","","住宅","","",,"工業地域",60,200,"2019年第２四半期","未改装",""
24,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","28",28000000,"","４ＬＤＫ","95",,"","","","平成16年","","","住宅","","",,"工業地域",60,200,"2019年第１四半期","未改装",""
25,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",21000000,"","３ＬＤＫ","95",,"","","","平成17年","ＲＣ","","住宅","","",,"工業地域",60,200,"2019年第１四半期","未改装",""
26,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","26",27000000,"","３ＬＤＫ","80",,"","","","","","","住宅","","",,"工業地域",60,200,"2018年第４四半期","未改装",""
27,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",29000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2018年第３四半期","",""
28,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","26",35000000,"","３ＬＤＫ","95",,"","","","平成17年","","","住宅","","",,"工業地域",60,200,"2018年第３四半期","未改装",""
29,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","24",24000000,"","４ＬＤＫ","95",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2018年第２四半期","未改装",""
30,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","21",17000000,"","３ＬＤＫ","70",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第１四半期","未改装",""
31,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","23",27000000,"","３ＬＤＫ","75",,"","","","平成18年","ＲＣ","","住宅","","",,"工業地域",60,400,"2018年第１四半期","改装済",""
32,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",29000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第４四半期","未改装",""
33,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","21",27000000,"","４ＬＤＫ","95",,"","","","平成16年","","","住宅","","",,"工業地域",60,200,"2017年第４四半期","改装済",""
34,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",28000000,"","２ＬＤＫ","70",,"","","","平成17年","ＲＣ","","住宅","","",,"工業地域",60,200,"2017年第３四半期","改装済",""
35,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","28",27000000,"","３ＬＤＫ","80",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第３四半期","改装済",""
36,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","28",30000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
37,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","24",34000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
38,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","26",40000000,"","３ＬＤＫ","115",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
39,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","21",29000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
40,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","21",25000000,"","３ＬＤＫ","75",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
41,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","21",30000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
42,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",29000000,"","３ＬＤＫ","95",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第３四半期","",""
43,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",25000000,"","３ＬＤＫ","70",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第２四半期","未改装",""
44,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","30分?60分",32000000,"","４ＬＤＫ","95",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第２四半期","未改装",""
45,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","29",32000000,"","３ＬＤＫ","95",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第２四半期","未改装",""
46,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",28000000,"","３ＬＤＫ","95",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第２四半期","未改装",""
47,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",31000000,"","","95",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第２四半期","未改装",""
48,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",22000000,"","３ＬＤＫ","80",,"","","","","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第１四半期","","調停・競売等"
49,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",23000000,"","３ＬＤＫ","80",,"","","","","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第１四半期","未改装",""
50,"中古マンション等","","14108","神奈川県","横浜市金沢区","大川","金沢文庫","25",32000000,"","３ＬＤＫ","95",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2016年第１四半期","未改装",""
51,"宅地(土地)","住宅地","14108","神奈川県","横浜市金沢区","乙舳町","野島公園","3",23000000,"350000","","210",110000,"不整形","","","","","","住宅","北東","私道",3.5,"第１種低層住居専用地域",60,100,"2020年第１四半期","",""
