"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14117","神奈川県","横浜市青葉区","青葉台","青葉台","13",49000000,"","","60",,"ほぼ台形","8.5","100","平成31年","木造","住宅","住宅","北東","市道",6.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14117","神奈川県","横浜市青葉区","青葉台","青葉台","4",70000000,"","","250",,"ほぼ正方形","15.7","130","平成3年","木造","住宅","","東","市道",6.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
3,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","4",7500000,"","","20",,"","","","","","","住宅","","",,"",,,"2020年第４四半期","",""
4,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","6",25000000,"","３ＬＤＫ","60",,"","","","昭和48年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","未改装",""
5,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","4",19000000,"","３ＬＤＫ","55",,"","","","昭和49年","ＲＣ","","住宅","","",,"第２種住居地域",60,200,"2020年第４四半期","未改装",""
6,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","7",26000000,"","１ＬＤＫ","55",,"","","","平成14年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","未改装",""
7,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","4",20000000,"","２ＬＤＫ","45",,"","","","昭和42年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","未改装",""
8,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","9",52000000,"","３ＬＤＫ","85",,"","","","平成16年","","","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第４四半期","未改装",""
9,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","4",55000000,"","３ＬＤＫ","65",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第４四半期","未改装",""
10,"宅地(土地)","住宅地","14117","神奈川県","横浜市青葉区","青葉台","青葉台","8",52000000,"1300000","","140",380000,"長方形","7.9","","","","","住宅","南東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
11,"宅地(土地)","住宅地","14117","神奈川県","横浜市青葉区","青葉台","青葉台","9",55000000,"1300000","","140",400000,"長方形","8.0","","","","","住宅","南東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
12,"宅地(土地)","住宅地","14117","神奈川県","横浜市青葉区","青葉台","青葉台","6",52000000,"1100000","","155",340000,"ほぼ整形","7.0","","","","","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
13,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","10",6500000,"","３ＤＫ","55",,"","","","昭和45年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第３四半期","未改装",""
14,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","10",46000000,"","３ＬＤＫ","65",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第３四半期","未改装",""
15,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","6",67000000,"","４ＬＤＫ","85",,"","","","平成20年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",40,80,"2020年第３四半期","未改装",""
16,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","4",20000000,"","２ＤＫ","40",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","改装済",""
17,"中古マンション等","","14117","神奈川県","横浜市青葉区","青葉台","青葉台","10",50000000,"","３ＬＤＫ","70",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,150,"2020年第３四半期","未改装",""
