"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","浅野","6",16000000,"","３ＬＤＫ","65",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第４四半期","未改装",""
2,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","朝日町","浅野","11",36000000,"","","60",,"長方形","5.5","95","平成29年","木造","住宅","住宅","南","私道",4.2,"準工業地域",60,200,"2017年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","朝日町","浅野","11",31000000,"","","50",,"長方形","3.6","85","平成29年","木造","住宅","住宅","東","市道",4.2,"準工業地域",60,200,"2017年第３四半期","",""
4,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","浅野","6",24000000,"","４ＬＤＫ","85",,"","","","","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第３四半期","",""
5,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","浅野","6",25000000,"","４ＬＤＫ","80",,"","","","昭和64年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2017年第３四半期","未改装",""
6,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","朝日町","安善","8",44000000,"","","60",,"ほぼ長方形","5.5","100","令和2年","木造","住宅","住宅","東","市道",4.0,"準工業地域",60,200,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","14101","神奈川県","横浜市鶴見区","朝日町","安善","8",39000000,"740000","","175",220000,"ほぼ正方形","12.5","","","","","","北西","市道",7.0,"準工業地域",60,200,"2020年第４四半期","",""
8,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","11",25000000,"","３ＬＤＫ","70",,"","","","昭和58年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第４四半期","",""
9,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","10",29000000,"","３ＬＤＫ","60",,"","","","平成11年","","","住宅","","",,"準工業地域",60,200,"2020年第３四半期","改装済",""
10,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","11",24000000,"","３ＬＤＫ","70",,"","","","昭和58年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第２四半期","改装済",""
11,"宅地(土地)","住宅地","14101","神奈川県","横浜市鶴見区","朝日町","安善","6",20000000,"990000","","65",300000,"長方形","7.1","","","","","住宅","南","市道",9.5,"準工業地域",60,200,"2019年第３四半期","",""
12,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","11",12000000,"","３ＬＤＫ","70",,"","","","昭和58年","ＲＣ","住宅","","","",,"準工業地域",60,200,"2019年第２四半期","未改装",""
13,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","9",11000000,"","３ＬＤＫ","65",,"","","","昭和54年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第４四半期","未改装",""
14,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","朝日町","安善","8",11000000,"","","55",,"ほぼ長方形","6.0","55","平成18年","木造","住宅","住宅","西","市道",3.9,"準工業地域",60,200,"2018年第３四半期","",""
15,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","9",23000000,"","３ＬＤＫ","80",,"","","","平成3年","","","住宅","","",,"準工業地域",60,200,"2018年第３四半期","未改装",""
16,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","10",21000000,"","３ＬＤＫ","70",,"","","","昭和58年","","","住宅","","",,"準工業地域",60,200,"2018年第３四半期","未改装",""
