"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","青葉町","蘇我","28",25000000,"640000","","130",190000,"長方形","9.0","","","","","","西","市道",6.0,"第１種低層住居専用地域",60,150,"2018年第１四半期","",""
2,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","青葉町","蘇我","28",25000000,"640000","","130",190000,"長方形","9.0","","","","","","西","市道",6.0,"第１種低層住居専用地域",60,150,"2018年第１四半期","",""
3,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","青葉町","蘇我","28",28000000,"450000","","210",130000,"不整形","13.5","","","","","","北","市道",6.0,"第１種低層住居専用地域",60,150,"2017年第４四半期","",""
4,"中古マンション等","","12101","千葉県","千葉市中央区","青葉町","千葉","30分?60分",21000000,"","４ＬＤＫ","95",,"","","","平成14年","ＲＣ","","住宅","","",,"第２種住居地域",60,200,"2020年第２四半期","改装済",""
5,"中古マンション等","","12101","千葉県","千葉市中央区","青葉町","千葉","30分?60分",18000000,"","４ＬＤＫ","100",,"","","","平成10年","ＲＣ","","住宅","","",,"第２種住居地域",60,200,"2019年第１四半期","改装済",""
6,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","青葉町","千葉","30分?60分",40000000,"","","170",,"不整形","15.8","135","平成20年","木造","住宅","住宅","南西","市道",5.0,"第２種中高層住居専用地域",60,200,"2018年第３四半期","",""
7,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","青葉町","千葉","30分?60分",38000000,"","","180",,"長方形","12.0","155","平成10年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",60,150,"2017年第１四半期","",""
8,"宅地(土地)","商業地","12101","千葉県","千葉市中央区","青葉町","千葉","30分?60分",37000000,"440000","","280",130000,"不整形","17.3","","","","","住宅","南西","市道",15.0,"第２種中高層住居専用地域",60,200,"2016年第３四半期","",""
9,"宅地(土地と建物)","商業地","12101","千葉県","千葉市中央区","青葉町","千葉","30分?60分",120000000,"","","280",,"不整形","17.3","360","","","","住宅","南西","市道",15.0,"第２種中高層住居専用地域",60,200,"2016年第３四半期","",""
10,"中古マンション等","","12101","千葉県","千葉市中央区","青葉町","千葉寺","6",26000000,"","２ＬＤＫ","60",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2020年第４四半期","",""
