"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","13",22000000,"","","85",,"長方形","8.1","100","令和2年","木造","住宅","","北西","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","12",7400000,"","","410",,"不整形","","95","平成13年","木造","住宅","住宅","南東","私道",5.0,"第１種低層住居専用地域",60,150,"2020年第４四半期","","私道を含む取引"
3,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","18",31000000,"","","105",,"ほぼ長方形","13.0","100","令和2年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",60,150,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","15",83000000,"310000","","880",95000,"ほぼ長方形","20.8","","","","","","南東","市道",2.6,"第１種低層住居専用地域",60,150,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","19",33000000,"","","105",,"ほぼ長方形","12.0","100","令和2年","木造","住宅","住宅","北東","私道",4.5,"第１種低層住居専用地域",60,150,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","18",29000000,"","","105",,"ほぼ長方形","7.9","95","令和2年","木造","住宅","住宅","北東","市道",6.0,"第１種低層住居専用地域",60,150,"2020年第４四半期","",""
7,"中古マンション等","","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","20",12000000,"","３ＬＤＫ","60",,"","","","昭和58年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","改装済",""
8,"中古マンション等","","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","18",4100000,"","２ＤＫ","55",,"","","","昭和58年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",60,150,"2020年第４四半期","未改装",""
9,"中古マンション等","","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","18",3000000,"","２ＬＤＫ","55",,"","","","昭和58年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",60,150,"2020年第４四半期","未改装",""
10,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","26",7500000,"","","145",,"ほぼ長方形","5.5","10","昭和54年","ＲＣ","駐車場","その他","南西","市道",4.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","","私道を含む取引"
11,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","20",30000000,"","","230",,"ほぼ長方形","","190","平成21年","軽量鉄骨造","住宅","その他","南","私道",5.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
12,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","19",37000000,"","","135",,"不整形","12.8","115","令和2年","木造","住宅","住宅","南東","私道",4.5,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
13,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","14",46000000,"","","130",,"ほぼ台形","17.0","100","平成31年","木造","住宅","住宅","南","私道",5.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
14,"宅地(土地)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","19",19000000,"510000","","125",150000,"ほぼ長方形","12.8","","","","","住宅","南","私道",5.0,"第１種低層住居専用地域",60,150,"2020年第２四半期","","私道を含む取引"
15,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","12",42000000,"","","135",,"ほぼ長方形","7.5","105","令和2年","木造","住宅","住宅","北東","市道",6.0,"第１種低層住居専用地域",60,150,"2020年第２四半期","",""
16,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","16",46000000,"","","135",,"ほぼ長方形","9.9","100","令和2年","木造","住宅","住宅","南","私道",5.0,"第１種低層住居専用地域",60,150,"2020年第２四半期","",""
17,"中古マンション等","","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","20",3600000,"","３ＬＤＫ","60",,"","","","昭和58年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第２四半期","未改装",""
18,"中古マンション等","","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","14",9400000,"","２ＬＤＫ","55",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",60,150,"2020年第２四半期","未改装",""
19,"中古マンション等","","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","25",1000000,"","３ＬＤＫ","60",,"","","","昭和58年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
20,"宅地(土地と建物)","住宅地","12102","千葉県","千葉市花見川区","朝日ケ丘","新検見川","11",42000000,"","","125",,"ほぼ長方形","7.4","105","平成31年","木造","住宅","住宅","南西","市道",5.7,"第１種低層住居専用地域",60,150,"2020年第１四半期","",""
