"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","11102","埼玉県","さいたま市北区","植竹町","大宮公園","13",7000000,"","３ＬＤＫ","60",,"","","","昭和59年","ＲＣ","住宅","その他","","",,"第１種住居地域",60,200,"2019年第１四半期","未改装",""
2,"中古マンション等","","11102","埼玉県","さいたま市北区","植竹町","大宮公園","11",5000000,"","３ＬＤＫ","60",,"","","","昭和47年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","改装済",""
3,"中古マンション等","","11102","埼玉県","さいたま市北区","植竹町","大宮公園","10",4400000,"","３ＬＤＫ","60",,"","","","昭和47年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","未改装",""
4,"宅地(土地と建物)","工業地","11102","埼玉県","さいたま市北区","植竹町","大宮公園","10",51000000,"","","230",,"ほぼ長方形","15.9","200","昭和49年","木造","事務所、倉庫","","北","市道",5.0,"第１種住居地域",60,200,"2018年第１四半期","",""
5,"宅地(土地)","住宅地","11102","埼玉県","さいたま市北区","植竹町","大宮公園","9",27000000,"550000","","165",170000,"不整形","7.9","","","","","事務所","東","市道",10.0,"第１種住居地域",60,200,"2017年第３四半期","",""
6,"中古マンション等","","11102","埼玉県","さいたま市北区","植竹町","大宮公園","12",16000000,"","３ＬＤＫ","55",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第１四半期","改装済",""
7,"宅地(土地)","住宅地","11102","埼玉県","さいたま市北区","植竹町","大宮公園","10",18000000,"600000","","100",180000,"台形","6.7","","","","","住宅","東","私道",4.0,"第１種住居地域",60,200,"2016年第１四半期","",""
8,"宅地(土地と建物)","住宅地","11102","埼玉県","さいたま市北区","植竹町","北大宮","12",38000000,"","","85",,"ほぼ長方形","5.0","90","令和2年","木造","住宅","住宅","南","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
9,"宅地(土地)","住宅地","11102","埼玉県","さいたま市北区","植竹町","北大宮","11",35000000,"1200000","","100",350000,"ほぼ整形","5.4","","","","","住宅","東","市道",8.0,"第１種住居地域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","11102","埼玉県","さいたま市北区","植竹町","北大宮","8",5800000,"620000","","30",190000,"長方形","8.2","","","","","住宅","南西","私道",5.5,"第１種住居地域",60,200,"2020年第２四半期","",""
11,"宅地(土地)","住宅地","11102","埼玉県","さいたま市北区","植竹町","北大宮","11",34000000,"1100000","","105",330000,"ほぼ長方形","8.0","","","","","","南","市道",8.0,"第１種住居地域",60,200,"2020年第１四半期","",""
12,"宅地(土地と建物)","住宅地","11102","埼玉県","さいたま市北区","植竹町","北大宮","14",41000000,"","","100",,"ほぼ長方形","9.0","105","平成31年","木造","住宅","住宅","南","市道",4.0,"第１種住居地域",60,200,"2020年第１四半期","",""
13,"中古マンション等","","11102","埼玉県","さいたま市北区","植竹町","北大宮","8",21000000,"","３ＬＤＫ","70",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
14,"宅地(土地と建物)","住宅地","11102","埼玉県","さいたま市北区","植竹町","北大宮","11",35000000,"","","115",,"袋地等","3.0","90","平成31年","木造","住宅","住宅","北西","市道",4.0,"第１種住居地域",60,200,"2019年第３四半期","",""
