"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字飯田","大宮(埼玉)","30分?60分",23000000,"","","140",,"ほぼ整形","15.1","105","令和2年","木造","住宅","住宅","北","県道",9.4,"市街化調整区域",60,200,"2020年第１四半期","",""
2,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字飯田","大宮(埼玉)","30分?60分",27000000,"","","165",,"不整形","6.0","105","平成31年","木造","住宅","住宅","南","私道",6.0,"市街化調整区域",,,"2019年第２四半期","",""
3,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字飯田","大宮(埼玉)","30分?60分",19000000,"390000","","160",120000,"ほぼ長方形","8.5","","","","","住宅","南","市道",5.5,"市街化調整区域",60,200,"2019年第１四半期","",""
4,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字飯田","大宮(埼玉)","30分?60分",10000000,"","","410",,"ほぼ長方形","11.2","55","昭和41年","木造","住宅","住宅","南","市道",3.6,"市街化調整区域",,,"2018年第３四半期","",""
5,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字飯田","大宮(埼玉)","30分?60分",79000000,"120000","","2000㎡以上",36000,"ほぼ長方形","40.0","","","","","","西","市道",6.5,"市街化調整区域",,,"2018年第１四半期","",""
6,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字飯田","大宮(埼玉)","30分?60分",10000000,"130000","","250",40000,"ほぼ長方形","9.8","","","","","住宅","北東","市道",6.0,"市街化調整区域",,,"2016年第２四半期","",""
7,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字飯田","指扇","30分?60分",12000000,"","","135",,"ほぼ長方形","11.5","45","昭和48年","木造","住宅","その他","東","私道",4.0,"市街化調整区域",60,200,"2020年第３四半期","",""
8,"宅地(土地)","宅地見込地","11101","埼玉県","さいたま市西区","大字飯田","指扇","30分?60分",5500000,"120000","","160",35000,"不整形","11.7","","","","","その他","西","市道",4.0,"市街化調整区域",,,"2019年第１四半期","",""
9,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字飯田新田","南古谷","30分?60分",18000000,"","","120",,"長方形","12.0","105","平成17年","木造","住宅","住宅","南東","市道",4.0,"市街化調整区域",,,"2019年第２四半期","",""
10,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字飯田新田","南古谷","30分?60分",5300000,"10000","","1800",3000,"ほぼ長方形","17.0","","","","","","北","市道",4.0,"市街化調整区域",,,"2018年第２四半期","",""
