"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13224","東京都","多摩市","愛宕","小田急多摩センター","9",35000000,"","４ＬＤＫ","145",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
2,"中古マンション等","","13224","東京都","多摩市","愛宕","小田急多摩センター","9",16000000,"","３ＬＤＫ","90",,"","","","平成4年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
3,"中古マンション等","","13224","東京都","多摩市","愛宕","小田急多摩センター","8",33000000,"","４ＬＤＫ","100",,"","","","平成4年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2018年第２四半期","改装済",""
4,"宅地(土地と建物)","住宅地","13224","東京都","多摩市","愛宕","小田急多摩センター","10",64000000,"","","130",,"ほぼ長方形","6.0","125","平成30年","木造","住宅","住宅","南東","市道",4.0,"第１種住居地域",60,200,"2017年第２四半期","",""
5,"中古マンション等","","13224","東京都","多摩市","愛宕","小田急多摩センター","8",25000000,"","","90",,"","","","平成4年","ＲＣ","住宅","住宅","","",,"準住居地域",,,"2016年第２四半期","",""
6,"中古マンション等","","13224","東京都","多摩市","愛宕","京王多摩センター","8",38000000,"","３ＬＤＫ","160",,"","","","昭和63年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
7,"宅地(土地)","住宅地","13224","東京都","多摩市","愛宕","京王多摩センター","4",30000000,"860000","","115",260000,"ほぼ長方形","8.0","","","","","住宅","北東","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第２四半期","",""
8,"中古マンション等","","13224","東京都","多摩市","愛宕","京王多摩センター","13",7000000,"","１Ｋ","30",,"","","","平成10年","","住宅","住宅","","",,"準住居地域",60,200,"2020年第１四半期","未改装",""
9,"宅地(土地と建物)","商業地","13224","東京都","多摩市","愛宕","京王多摩センター","9",260000000,"","","740",,"不整形","","2000㎡以上","平成2年","ＲＣ","共同住宅、店舗","住宅","南西","都道",36.0,"近隣商業地域",80,300,"2019年第１四半期","",""
10,"宅地(土地と建物)","住宅地","13224","東京都","多摩市","愛宕","京王多摩センター","20",38000000,"","","115",,"長方形","6.5","90","平成30年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
