"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","上の原","東久留米","25",54000000,"","","120",,"ほぼ正方形","10.9","100","令和3年","木造","住宅","住宅","東","市道",5.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","上の原","ひばりケ丘(東京)","25",58000000,"","","125",,"ほぼ長方形","11.7","105","令和2年","木造","住宅","住宅","西","市道",5.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","東久留米","12",25000000,"","","120",,"不整形","21.0","95","平成10年","木造","住宅","住宅","東","市道",4.5,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
4,"中古マンション等","","13222","東京都","東久留米市","学園町","東久留米","10",33000000,"","３ＬＤＫ","65",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2020年第１四半期","改装済",""
5,"中古マンション等","","13222","東京都","東久留米市","学園町","東久留米","15",28000000,"","３ＬＤＫ","70",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第４四半期","未改装",""
6,"中古マンション等","","13222","東京都","東久留米市","学園町","東久留米","11",33000000,"","４ＬＤＫ","75",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第３四半期","未改装",""
7,"中古マンション等","","13222","東京都","東久留米市","学園町","東久留米","11",28000000,"","３ＬＤＫ","70",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第２四半期","未改装",""
8,"中古マンション等","","13222","東京都","東久留米市","学園町","東久留米","11",26000000,"","３ＬＤＫ","70",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第２四半期","未改装",""
9,"宅地(土地)","住宅地","13222","東京都","東久留米市","学園町","東久留米","10",20000000,"870000","","75",260000,"不整形","10.0","","","","","住宅","南東","市道",6.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
10,"中古マンション等","","13222","東京都","東久留米市","学園町","東久留米","14",17000000,"","３ＬＤＫ","65",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2017年第１四半期","未改装",""
11,"宅地(土地)","住宅地","13222","東京都","東久留米市","学園町","東久留米","10",14000000,"610000","","75",180000,"不整形","10.0","","","","","住宅","南東","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
12,"宅地(土地)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","14",29000000,"850000","","115",260000,"不整形","2.5","","","","","住宅","北西","市道",5.2,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
13,"宅地(土地)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","10",39000000,"1100000","","120",320000,"長方形","7.1","","","","","住宅","南西","市道",6.3,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
14,"宅地(土地)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","10",36000000,"1000000","","120",310000,"長方形","12.5","","","","","住宅","北東","私道",4.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
15,"宅地(土地)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","14",22000000,"610000","","120",180000,"ほぼ長方形","10.0","","","","","住宅","東","私道",4.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","","私道を含む取引"
16,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","11",54000000,"","","120",,"長方形","10.1","90","令和2年","木造","住宅","住宅","北西","市道",5.4,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
17,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","6",7000000,"","","60",,"ほぼ台形","9.0","65","昭和64年","木造","共同住宅","その他","接面道路無","",,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
18,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","16",45000000,"","","115",,"袋地等","2.5","90","平成30年","木造","住宅","住宅","北","道路",5.0,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
19,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","12",39000000,"","","105",,"袋地等","2.8","80","平成31年","木造","住宅","住宅","南西","市道",5.4,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
20,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","12",39000000,"","","105",,"袋地等","2.8","80","平成31年","木造","住宅","住宅","南西","市道",5.4,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
21,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","12",33000000,"","","120",,"不整形","2.8","95","平成14年","木造","住宅","住宅","南東","市道",5.4,"第１種低層住居専用地域",40,80,"2019年第４四半期","",""
22,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","15",39000000,"","","95",,"ほぼ長方形","10.7","65","平成31年","木造","住宅","住宅","南西","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第３四半期","","私道を含む取引"
23,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","12",41000000,"","","100",,"ほぼ長方形","6.3","80","平成31年","木造","住宅","住宅","南西","市道",5.4,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
24,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","12",42000000,"","","100",,"ほぼ長方形","6.2","80","平成31年","木造","住宅","住宅","南西","市道",5.4,"第１種低層住居専用地域",40,80,"2019年第３四半期","",""
25,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","13",34000000,"","","105",,"ほぼ長方形","6.8","85","平成15年","木造","住宅","住宅","北東","私道",4.0,"第１種低層住居専用地域",40,80,"2019年第２四半期","",""
26,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","11",39000000,"","","175",,"ほぼ台形","","125","昭和39年","木造","住宅","住宅","南西","私道",4.0,"第１種低層住居専用地域",40,80,"2019年第２四半期","","私道を含む取引"
27,"中古マンション等","","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","13",26000000,"","３ＬＤＫ","70",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第２四半期","改装済",""
28,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","16",55000000,"","","115",,"ほぼ正方形","10.8","90","平成30年","木造","住宅","住宅","北","道路",5.0,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
29,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","16",64000000,"","","115",,"長方形","11.3","90","平成30年","木造","住宅","住宅","南","道路",5.0,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
30,"宅地(土地)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","8",40000000,"1100000","","125",320000,"ほぼ長方形","8.8","","","","","住宅","北西","市道",5.5,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
31,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","11",65000000,"","","330",,"袋地等","","95","昭和45年","木造","住宅","住宅","北西","市道",5.4,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
32,"宅地(土地と建物)","住宅地","13222","東京都","東久留米市","学園町","ひばりケ丘(東京)","16",55000000,"","","115",,"ほぼ長方形","5.4","90","平成30年","木造","住宅","住宅","西","私道",5.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
