"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","30分?60分",21000000,"","","115",,"長方形","11.0","95","平成17年","木造","住宅","住宅","南","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","28",32000000,"","","135",,"ほぼ整形","13.4","105","令和2年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","28",27000000,"","","135",,"袋地等","","100","令和2年","木造","住宅","住宅","西","道路",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","28",27000000,"","","135",,"ほぼ整形","8.9","105","令和2年","木造","住宅","住宅","北東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","24",26000000,"","","110",,"ほぼ正方形","10.3","100","令和2年","木造","住宅","住宅","北東","市道",4.5,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","25",34000000,"","","135",,"ほぼ整形","11.5","","令和2年","木造","住宅","住宅","南","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
7,"中古マンション等","","13223","東京都","武蔵村山市","伊奈平","西武立川","15",6000000,"","２ＤＫ＋Ｓ","50",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","30分?60分",11000000,"","","105",,"ほぼ長方形","8.5","80","昭和54年","木造","住宅","事務所","南","私道",4.8,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","29",26000000,"","","130",,"台形","8.8","90","令和2年","木造","住宅","住宅","南","市道",9.5,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13223","東京都","武蔵村山市","伊奈平","西武立川","23",17000000,"","","100",,"ほぼ台形","13.7","90","平成16年","木造","住宅","住宅","東","市道",3.8,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
