"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","工業地","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",170000000,"500000","","1100",150000,"ほぼ台形","27.0","","","","","","北西","市道",8.0,"第１種低層住居専用地域",60,200,"2019年第４四半期","",""
2,"宅地(土地)","工業地","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",76000000,"430000","","580",130000,"台形","20.9","","","","","","北西","市道",8.0,"準工業地域",60,200,"2019年第３四半期","",""
3,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",6600000,"","２ＬＤＫ","65",,"","","","昭和42年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
4,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",17000000,"","４ＬＤＫ","80",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2019年第２四半期","未改装",""
5,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",3500000,"","２ＬＤＫ","50",,"","","","","","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第２四半期","未改装",""
6,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",8600000,"","２ＬＤＫ","50",,"","","","","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第３四半期","改装済",""
7,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",4800000,"","２ＬＤＫ","50",,"","","","昭和46年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第２四半期","未改装",""
8,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",30000000,"","","175",,"不整形","2.0","105","平成29年","木造","","住宅","南東","市道",6.0,"準工業地域",60,200,"2018年第１四半期","",""
9,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",7800000,"","３ＬＤＫ","65",,"","","","","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2017年第３四半期","未改装",""
10,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",7800000,"","３ＬＤＫ","65",,"","","","昭和42年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2017年第１四半期","改装済",""
11,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",3000000,"","３ＬＤＫ","65",,"","","","昭和42年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2017年第１四半期","未改装",""
12,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",26000000,"","","100",,"ほぼ長方形","","90","平成24年","木造","住宅","住宅","北","市道",5.0,"準工業地域",60,200,"2016年第２四半期","",""
13,"中古マンション等","","13221","東京都","清瀬市","旭が丘","清瀬","30分?60分",1000000,"","２ＤＫ","65",,"","","","昭和42年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2016年第２四半期","未改装",""
14,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","16",33000000,"","","130",,"ほぼ長方形","9.1","100","令和2年","木造","住宅","住宅","西","私道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
15,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","20",34000000,"","","120",,"長方形","8.9","100","令和2年","木造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
16,"宅地(土地)","住宅地","13221","東京都","清瀬市","旭が丘","新座","18",11000000,"500000","","70",150000,"ほぼ長方形","5.4","","","","","その他","北西","市道",5.7,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
17,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","21",27000000,"","","120",,"袋地等","","95","令和2年","木造","住宅","住宅","南","私道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
18,"宅地(土地)","住宅地","13221","東京都","清瀬市","旭が丘","新座","18",28000000,"250000","","370",75000,"ほぼ長方形","16.3","","","","","","西","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","16",23000000,"","","120",,"ほぼ長方形","8.4","110","平成24年","木造","住宅","住宅","西","私道",5.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
20,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","23",26000000,"","","120",,"長方形","6.9","100","令和2年","木造","住宅","住宅","東","道路",6.0,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
21,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","23",29000000,"","","120",,"ほぼ長方形","5.8","105","令和2年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
22,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","19",29000000,"","","120",,"ほぼ長方形","10.5","100","平成31年","木造","住宅","住宅","東","道路",4.5,"第１種低層住居専用地域",50,100,"2019年第４四半期","",""
23,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","19",24000000,"","","130",,"不整形","2.7","100","平成31年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
24,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","23",52000000,"","","120",,"ほぼ長方形","9.8","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
25,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","21",30000000,"","","130",,"ほぼ長方形","7.4","100","平成30年","木造","","住宅","南","道路",4.5,"第１種低層住居専用地域",50,100,"2019年第１四半期","",""
26,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","14",26000000,"","","125",,"不整形","","100","平成30年","木造","住宅","住宅","西","道路",5.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
27,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","15",26000000,"","","130",,"袋地等","","100","平成30年","木造","住宅","住宅","西","私道",5.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
28,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","旭が丘","新座","21",32000000,"","","130",,"台形","8.4","95","平成30年","木造","住宅","住宅","南","道路",4.5,"第１種低層住居専用地域",50,100,"2018年第２四半期","",""
29,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","梅園","秋津","9",39000000,"","","125",,"不整形","8.3","100","平成31年","木造","住宅","住宅","南","道路",5.0,"第１種低層住居専用地域",50,100,"2019年第４四半期","",""
30,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","梅園","秋津","15",39000000,"","","140",,"長方形","9.0","105","平成31年","木造","住宅","住宅","南西","市道",5.0,"第１種低層住居専用地域",50,100,"2019年第２四半期","",""
31,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","梅園","秋津","16",63000000,"","","115",,"ほぼ長方形","11.9","140","平成30年","木造","住宅","住宅","北西","市道",5.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
32,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","梅園","秋津","18",31000000,"","","110",,"台形","9.0","95","平成30年","木造","","住宅","北","市道",5.0,"第１種低層住居専用地域",60,200,"2018年第４四半期","",""
33,"宅地(土地と建物)","住宅地","13221","東京都","清瀬市","梅園","秋津","16",21000000,"","","105",,"長方形","10.1","90","平成16年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
34,"宅地(土地)","住宅地","13221","東京都","清瀬市","梅園","秋津","16",23000000,"520000","","145",160000,"不整形","3.0","","","","","","東","市道",5.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
