"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城","9",37000000,"","","120",,"長方形","8.3","90","平成29年","木造","住宅","住宅","南東","私道",6.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
2,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城","10",39000000,"","","155",,"台形","6.2","120","平成29年","木造","住宅","住宅","南東","私道",6.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
3,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城","9",33000000,"","","155",,"ほぼ台形","3.4","90","平成30年","木造","住宅","住宅","北西","私道",5.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
4,"中古マンション等","","13225","東京都","稲城市","大丸","稲城","9",23000000,"","３ＬＤＫ","70",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2016年第２四半期","未改装",""
5,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","6",45000000,"","","145",,"不整形","","","","","","住宅","南","私道",,"",,,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","6",48000000,"","","130",,"ほぼ整形","","","","","","住宅","南東","区道",,"",,,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","6",44000000,"","","130",,"ほぼ整形","","","","","","住宅","北東","私道",,"",,,"2020年第４四半期","",""
8,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","6",48000000,"","","110",,"台形","5.6","85","令和2年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
9,"中古マンション等","","13225","東京都","稲城市","大丸","稲城長沼","9",16000000,"","３ＬＤＫ","60",,"","","","昭和54年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第４四半期","未改装",""
10,"中古マンション等","","13225","東京都","稲城市","大丸","稲城長沼","10",20000000,"","３ＬＤＫ","60",,"","","","昭和49年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第４四半期","未改装",""
11,"中古マンション等","","13225","東京都","稲城市","大丸","稲城長沼","10",15000000,"","２ＬＤＫ","55",,"","","","昭和49年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第３四半期","改装済",""
12,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","11",50000000,"","","200",,"ほぼ長方形","17.1","","令和2年","木造","住宅","住宅","東","私道",2.0,"第１種低層住居専用地域",50,100,"2020年第２四半期","","私道を含む取引"
13,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","10",39000000,"","","100",,"ほぼ長方形","6.8","80","平成31年","木造","住宅","住宅","北西","市道",4.3,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
14,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","5",250000000,"","","840",,"長方形","20.0","950","昭和58年","鉄骨造","工場","店舗","南東","市道",7.5,"準工業地域",60,200,"2020年第１四半期","",""
15,"中古マンション等","","13225","東京都","稲城市","大丸","稲城長沼","9",10000000,"","３ＬＤＫ","60",,"","","","昭和54年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第１四半期","",""
16,"宅地(土地と建物)","商業地","13225","東京都","稲城市","大丸","稲城長沼","3",33000000,"","","115",,"長方形","6.8","220","昭和44年","ＲＣ","住宅、店舗","店舗","東","市道",4.2,"近隣商業地域",80,300,"2019年第４四半期","",""
17,"宅地(土地)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","3",37000000,"850000","","145",260000,"ほぼ長方形","10.2","","","","","住宅","北西","私道",4.0,"第１種中高層住居専用地域",50,150,"2019年第４四半期","","私道を含む取引"
18,"中古マンション等","","13225","東京都","稲城市","大丸","稲城長沼","10",11000000,"","２ＬＤＫ","55",,"","","","昭和49年","ＳＲＣ","","その他","","",,"準工業地域",60,200,"2019年第４四半期","未改装",""
19,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","6",28000000,"","","100",,"ほぼ長方形","9.0","95","平成13年","木造","住宅","住宅","北東","市道",6.0,"準工業地域",60,200,"2019年第３四半期","",""
20,"中古マンション等","","13225","東京都","稲城市","大丸","稲城長沼","9",11000000,"","２ＬＤＫ","55",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"準住居地域",60,300,"2019年第３四半期","改装済",""
21,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","6",42000000,"","","165",,"ほぼ台形","14.0","130","昭和63年","木造","住宅","住宅","北東","市道",7.0,"第１種低層住居専用地域",50,100,"2019年第２四半期","",""
22,"宅地(土地と建物)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","6",48000000,"","","110",,"ほぼ長方形","6.3","100","平成31年","木造","住宅","住宅","北東","市道",7.0,"第１種低層住居専用地域",50,100,"2019年第２四半期","",""
23,"宅地(土地)","住宅地","13225","東京都","稲城市","大丸","稲城長沼","3",25000000,"1300000","","65",380000,"長方形","6.8","","","","","その他","南西","市道",5.0,"準工業地域",60,200,"2019年第２四半期","",""
