"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","7",31000000,"","","190",,"長方形","12.0","130","平成10年","木造","共同住宅","住宅","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","13227","東京都","羽村市","小作台","小作","8",28000000,"560000","","165",170000,"不整形","5.0","","","","","住宅","南東","私道",5.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
3,"中古マンション等","","13227","東京都","羽村市","小作台","小作","2",19000000,"","２ＬＤＫ","55",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
4,"中古マンション等","","13227","東京都","羽村市","小作台","小作","1",20000000,"","２ＬＤＫ","65",,"","","","平成11年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
5,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","6",20000000,"","","100",,"長方形","7.5","80","昭和63年","木造","住宅","住宅","北西","私道",4.0,"第２種中高層住居専用地域",60,200,"2020年第２四半期","",""
6,"中古マンション等","","13227","東京都","羽村市","小作台","小作","10",9000000,"","３ＬＤＫ","60",,"","","","昭和57年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第２四半期","未改装",""
7,"中古マンション等","","13227","東京都","羽村市","小作台","小作","10",7500000,"","３ＬＤＫ","60",,"","","","昭和57年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第２四半期","未改装",""
8,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","2",24000000,"","","70",,"不整形","2.7","90","平成31年","木造","住宅","住宅","南西","市道",6.0,"近隣商業地域",80,300,"2020年第１四半期","",""
9,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","5",26000000,"","","110",,"ほぼ長方形","9.0","110","昭和61年","木造","住宅","","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
10,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","4",35000000,"","","240",,"ほぼ台形","21.5","100","昭和47年","木造","共同住宅、店舗","その他","南西","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第１四半期","",""
11,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","2",39000000,"","","110",,"長方形","7.4","100","平成31年","木造","住宅","","北西","市道",6.0,"第２種中高層住居専用地域",60,200,"2019年第４四半期","",""
12,"中古マンション等","","13227","東京都","羽村市","小作台","小作","8",13000000,"","３ＬＤＫ","55",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第４四半期","未改装",""
13,"中古マンション等","","13227","東京都","羽村市","小作台","小作","9",9900000,"","３ＬＤＫ","60",,"","","","昭和57年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第４四半期","改装済",""
14,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","8",50000000,"","","1000",,"袋地等","","830","昭和53年","ＲＣ","共同住宅","住宅","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
15,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","7",55000000,"","","1000",,"長方形","18.0","970","昭和51年","ＲＣ","共同住宅","住宅","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
16,"宅地(土地と建物)","住宅地","13227","東京都","羽村市","小作台","小作","8",41000000,"","","120",,"長方形","12.0","95","平成31年","木造","住宅","住宅","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
17,"宅地(土地)","住宅地","13227","東京都","羽村市","小作台","小作","6",9500000,"450000","","70",140000,"ほぼ整形","8.0","","","","","住宅","南西","市道",6.0,"第２種中高層住居専用地域",60,200,"2019年第３四半期","",""
