"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","21",42000000,"","","115",,"ほぼ長方形","7.1","85","令和2年","木造","住宅","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","","私道を含む取引"
2,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",45000000,"","","120",,"ほぼ正方形","6.2","95","令和2年","木造","住宅","住宅","南","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",40000000,"","","110",,"長方形","9.5","90","令和2年","木造","住宅","住宅","北","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
4,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","16",25000000,"","","135",,"ほぼ長方形","","110","昭和53年","木造","住宅","住宅","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
5,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",43000000,"","","115",,"ほぼ長方形","9.5","90","令和2年","木造","住宅","住宅","西","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
6,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","18",41000000,"","","110",,"ほぼ台形","3.4","100","平成31年","木造","住宅","住宅","西","市道",5.0,"第１種中高層住居専用地域",50,150,"2020年第１四半期","",""
7,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",36000000,"","","100",,"ほぼ台形","4.5","95","平成31年","木造","住宅","住宅","西","市道",4.5,"第１種中高層住居専用地域",50,150,"2020年第１四半期","",""
8,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",38000000,"","","105",,"ほぼ長方形","8.1","100","平成31年","木造","住宅","住宅","北","市道",5.0,"第１種中高層住居専用地域",50,150,"2020年第１四半期","",""
9,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","18",40000000,"","","110",,"長方形","9.5","85","令和2年","木造","住宅","住宅","北","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
10,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","18",40000000,"","","60",,"長方形","9.5","85","令和2年","木造","住宅","店舗","北","私道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
11,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",40000000,"","","105",,"ほぼ長方形","","","","","","住宅","南","市道",,"",,,"2019年第４四半期","",""
12,"中古マンション等","","13229","東京都","西東京市","泉町","西武柳沢","19",22000000,"","３ＬＤＫ","55",,"","","","平成17年","ＲＣ","住宅","","","",,"第２種中高層住居専用地域",60,200,"2019年第４四半期","改装済",""
13,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","15",40000000,"","","95",,"長方形","6.9","85","平成31年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
14,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",44000000,"","","100",,"ほぼ長方形","7.8","80","平成30年","木造","住宅","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2019年第１四半期","",""
15,"宅地(土地)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","18",26000000,"730000","","120",220000,"ほぼ長方形","7.2","","","","","住宅","南","私道",4.0,"第１種低層住居専用地域",50,100,"2019年第１四半期","","私道を含む取引"
16,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","19",28000000,"","","95",,"ほぼ長方形","","55","昭和59年","木造","共同住宅","その他","南東","道路",4.0,"第１種低層住居専用地域",50,100,"2019年第１四半期","","私道を含む取引"
17,"宅地(土地)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","16",16000000,"590000","","90",180000,"ほぼ台形","","","","","","住宅","西","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
18,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","15",44000000,"","","140",,"ほぼ長方形","8.4","105","平成30年","木造","住宅","","東","市道",4.6,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
19,"宅地(土地と建物)","住宅地","13229","東京都","西東京市","泉町","西武柳沢","18",47000000,"","","100",,"長方形","","75","平成9年","木造","住宅","住宅","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
