"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","尾上町","三崎口","1H?1H30",24000000,"","","195",,"長方形","13.5","120","平成15年","木造","住宅","住宅","北東","市道",10.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","尾上町","三崎口","1H?1H30",11000000,"","","190",,"長方形","12.0","120","昭和61年","木造","住宅","住宅","南西","市道",10.0,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
3,"宅地(土地)","住宅地","14210","神奈川県","三浦市","尾上町","三崎口","1H?1H30",2200000,"38000","","190",11000,"長方形","12.0","","","","","その他","北西","市道",5.2,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
4,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","尾上町","三崎口","1H?1H30",1600000000,"","","2000㎡以上",,"ほぼ整形","50.0m以上","2000㎡以上","平成2年","ＲＣ","共同住宅、店舗、その他","住宅","南東","市道",6.3,"第１種中高層住居専用地域",40,200,"2018年第３四半期","","関係者間取引"
5,"宅地(土地)","住宅地","14210","神奈川県","三浦市","尾上町","三崎口","1H?1H30",2200000,"37000","","190",11000,"長方形","12.0","","","","","住宅","北西","市道",5.0,"第１種中高層住居専用地域",60,200,"2016年第２四半期","",""
6,"宅地(土地)","住宅地","14210","神奈川県","三浦市","海外町","三崎口","1H?1H30",11000000,"130000","","280",39000,"台形","13.3","","","","","","南","市道",2.0,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
7,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","海外町","三崎口","1H?1H30",4800000,"","","120",,"長方形","7.8","95","昭和63年","木造","住宅","事務所","南東","私道",4.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
8,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","海外町","三崎口","1H?1H30",18000000,"","","350",,"不整形","20.0","195","昭和63年","木造","住宅","住宅","北東","市道",5.0,"第１種中高層住居専用地域",60,200,"2019年第２四半期","",""
9,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","海外町","三崎口","1H?1H30",15000000,"","","130",,"袋地等","2.5","85","平成14年","木造","住宅","住宅","南西","市道",2.8,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
10,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","海外町","三崎口","1H?1H30",13000000,"","","890",,"不整形","26.0","145","昭和38年","木造","住宅","住宅","南西","市道",5.8,"第１種住居地域",60,200,"2018年第１四半期","",""
11,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","海外町","三崎口","1H?1H30",3000000,"","","90",,"不整形","","60","昭和52年","木造","住宅","住宅","南西","私道",1.8,"第１種中高層住居専用地域",60,200,"2017年第２四半期","",""
12,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","海外町","三崎口","1H?1H30",18000000,"","","175",,"台形","7.5","95","平成18年","木造","","住宅","北西","市道",3.5,"第１種中高層住居専用地域",60,200,"2016年第２四半期","",""
13,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","岬陽町","三崎口","30分?60分",5000000,"","","210",,"ほぼ長方形","17.0","250","昭和45年","木造","共同住宅","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
14,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","岬陽町","三崎口","30分?60分",7000000,"","","970",,"不整形","45.0","90","昭和50年","木造","住宅","","北西","市道",15.0,"第１種住居地域",60,200,"2020年第３四半期","",""
15,"宅地(土地)","住宅地","14210","神奈川県","三浦市","岬陽町","三崎口","30分?60分",12000000,"70000","","540",21000,"不整形","30.0","","","","","","南西","市道",8.0,"第１種住居地域",60,200,"2019年第２四半期","",""
16,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","岬陽町","三崎口","30分?60分",48000000,"","","1300",,"長方形","20.8","330","昭和48年","ＲＣ","その他","その他","南西","市道",6.0,"第１種住居地域",60,200,"2019年第１四半期","",""
17,"宅地(土地)","住宅地","14210","神奈川県","三浦市","岬陽町","三崎口","30分?60分",10000000,"61000","","540",18000,"不整形","30.0","","","","","","北東","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
18,"宅地(土地)","住宅地","14210","神奈川県","三浦市","岬陽町","三崎口","1H?1H30",5200000,"84000","","200",25000,"長方形","11.0","","","","","","北","市道",8.0,"第１種住居地域",60,200,"2016年第１四半期","",""
19,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","岬陽町","三崎口","1H?1H30",18000000,"","","700",,"不整形","33.8","250","昭和46年","軽量鉄骨造","事務所","住宅","西","市道",8.0,"第１種住居地域",60,200,"2016年第１四半期","",""
20,"宅地(土地)","住宅地","14210","神奈川県","三浦市","栄町","三崎口","30分?60分",3900000,"250000","","55",74000,"ほぼ長方形","10.0","","","","","その他","東","市道",15.0,"第１種住居地域",60,200,"2019年第２四半期","",""
21,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","栄町","三崎口","30分?60分",22000000,"","","550",,"ほぼ台形","26.0","210","平成6年","鉄骨造","事務所","","南","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","","調停・競売等"
22,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","栄町","三崎口","30分?60分",7500000,"","","150",,"ほぼ正方形","12.4","130","平成6年","木造","住宅","住宅","北西","市道",6.2,"第１種住居地域",60,200,"2017年第４四半期","",""
23,"宅地(土地と建物)","商業地","14210","神奈川県","三浦市","城山町","三崎口","30分?60分",8200000,"","","105",,"ほぼ台形","6.4","220","平成5年","木造","住宅、事務所","住宅","北西","県道",10.0,"近隣商業地域",80,200,"2020年第４四半期","","調停・競売等"
24,"宅地(土地と建物)","住宅地","14210","神奈川県","三浦市","城山町","三崎口","30分?60分",16000000,"","","490",,"台形","23.6","85","昭和22年","木造","住宅","住宅","北","市道",2.5,"第１種住居地域",60,200,"2019年第３四半期","",""
