"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","粟窪","伊勢原","23",31000000,"","","140",,"ほぼ長方形","10.5","105","平成30年","木造","住宅","住宅","西","市道",8.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
2,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","粟窪","伊勢原","19",2000000,"62000","","105",19000,"ほぼ長方形","5.0","","","","","","東","市道",7.7,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
3,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","粟窪","伊勢原","24",15000000,"210000","","230",63000,"袋地等","","","","","","住宅","東","市道",6.0,"第１種低層住居専用地域",50,100,"2016年第２四半期","",""
4,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","粟窪","伊勢原","24",14000000,"300000","","150",90000,"ほぼ長方形","10.5","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2016年第１四半期","",""
5,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","11",26000000,"","","150",,"ほぼ長方形","9.0","95","平成13年","木造","住宅","住宅","北西","市道",4.0,"市街化調整区域",50,100,"2020年第４四半期","",""
6,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","14",16000000,"440000","","125",130000,"ほぼ長方形","10.0","","","","","住宅","南","市道",4.5,"第１種低層住居専用地域",50,100,"2020年第１四半期","",""
7,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","10",15000000,"","","180",,"ほぼ長方形","14.0","140","平成2年","木造","住宅","住宅","北東","市道",3.4,"第１種住居地域",60,200,"2019年第３四半期","",""
8,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","16",26000000,"","","140",,"長方形","10.5","100","平成30年","木造","住宅","住宅","南東","市道",5.0,"第２種低層住居専用地域",50,100,"2019年第１四半期","",""
9,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","10",19000000,"520000","","120",160000,"ほぼ整形","6.5","","","","","住宅","南東","市道",4.5,"第２種住居地域",60,200,"2019年第１四半期","",""
10,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","14",46000000,"","","130",,"ほぼ長方形","9.6","","","","","住宅","南東","市道",6.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
11,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","11",35000000,"390000","","300",120000,"ほぼ長方形","13.0","","","","","住宅","北","市道",5.0,"第１種住居地域",60,200,"2018年第３四半期","",""
12,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","15",14000000,"350000","","130",100000,"長方形","9.7","","","","","住宅","南東","市道",6.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
13,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","10",28000000,"","","135",,"ほぼ長方形","7.4","150","昭和64年","ブロック造","共同住宅","住宅","南","私道",4.8,"第１種住居地域",60,200,"2018年第２四半期","",""
14,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","14",35000000,"150000","","760",46000,"ほぼ整形","27.0","","","","","住宅","南","市道",4.0,"第１種低層住居専用地域",50,100,"2018年第２四半期","",""
15,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","16",12000000,"290000","","135",88000,"ほぼ長方形","12.0","","","","","住宅","北","市道",6.0,"第１種低層住居専用地域",50,100,"2018年第１四半期","",""
16,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","16",9100000,"250000","","125",74000,"ほぼ長方形","11.0","","","","","住宅","北","市道",6.0,"第１種低層住居専用地域",50,100,"2018年第１四半期","",""
17,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","11",26000000,"","","130",,"ほぼ長方形","9.0","135","平成13年","木造","住宅","","南","市道",5.0,"第２種住居地域",60,200,"2017年第４四半期","",""
18,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","9",20000000,"","","160",,"長方形","10.0","120","昭和59年","木造","住宅","その他","南","市道",7.0,"第２種住居地域",60,200,"2016年第４四半期","",""
19,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","11",43000000,"","","165",,"ほぼ長方形","9.8","120","平成28年","木造","住宅","住宅","南西","市道",5.5,"第１種低層住居専用地域",50,100,"2016年第４四半期","",""
20,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","10",52000000,"","","120",,"ほぼ正方形","6.0","110","平成28年","軽量鉄骨造","住宅","住宅","東","市道",4.5,"第２種住居地域",60,200,"2016年第２四半期","",""
21,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","19",6900000,"78000","","290",24000,"ほぼ長方形","10.0","","","","","住宅","南東","市道",6.0,"市街化調整区域",50,100,"2016年第１四半期","",""
22,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","池端","伊勢原","12",15000000,"","","240",,"ほぼ長方形","12.0","135","昭和55年","木造","住宅","住宅","南西","市道",3.0,"第１種住居地域",60,200,"2016年第１四半期","",""
23,"農地","","14214","神奈川県","伊勢原市","池端","","",300000,"","","560",,"","","","","","","","","",,"",,,"2017年第１四半期","",""
24,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","9",15000000,"220000","","230",67000,"袋地等","3.0","","","","","住宅","南","市道",3.3,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
25,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","10",22000000,"400000","","180",120000,"ほぼ長方形","11.7","","","","","住宅","北東","市道",5.7,"第１種住居地域",60,200,"2020年第４四半期","",""
26,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","13",76000000,"","","960",,"ほぼ台形","16.0","270","昭和56年","鉄骨造","倉庫","倉庫","北西","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
27,"宅地(土地と建物)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","11",29000000,"","","210",,"ほぼ台形","15.0","160","昭和64年","木造","共同住宅","住宅","西","市道",3.5,"第１種住居地域",60,200,"2020年第４四半期","",""
28,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","6",13000000,"","３ＬＤＫ","60",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
29,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","4",27000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
30,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","9",17000000,"480000","","120",150000,"ほぼ長方形","8.6","","","","","住宅","南","市道",3.2,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
31,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","4",23000000,"","３ＬＤＫ","75",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","改装済",""
32,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","8",21000000,"470000","","145",140000,"長方形","9.4","","","","","住宅","東","市道",5.2,"第１種住居地域",60,200,"2020年第１四半期","",""
33,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","8",18000000,"380000","","155",110000,"袋地等","","","","","","住宅","西","市道",9.5,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
34,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","10",20000000,"","３ＬＤＫ","75",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第１四半期","未改装",""
35,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","10",17000000,"460000","","120",140000,"ほぼ長方形","7.1","","","","","住宅","南西","市道",2.0,"準工業地域",60,200,"2019年第４四半期","",""
36,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",17000000,"100000","","570",30000,"長方形","15.0","","","","","","東","農道",2.0,"市街化調整区域",50,100,"2019年第４四半期","",""
37,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",13000000,"100000","","430",30000,"長方形","15.0","","","","","","西","市道",7.0,"市街化調整区域",50,100,"2019年第４四半期","",""
38,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",30000000,"100000","","1000",30000,"長方形","20.0","","","","","","西","市道",7.0,"市街化調整区域",50,100,"2019年第４四半期","",""
39,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",15000000,"100000","","510",30000,"長方形","20.0","","","","","","東","農道",2.0,"市街化調整区域",50,100,"2019年第４四半期","",""
40,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",15000000,"100000","","490",30000,"長方形","20.0","","","","","","西","市道",7.0,"市街化調整区域",50,100,"2019年第４四半期","",""
41,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",17000000,"100000","","550",30000,"不整形","20.0","","","","","","東","農道",2.0,"市街化調整区域",50,100,"2019年第４四半期","",""
42,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",15000000,"100000","","480",30000,"不整形","20.0","","","","","","西","市道",7.0,"市街化調整区域",50,100,"2019年第４四半期","",""
43,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",31000000,"100000","","1000",30000,"長方形","20.0","","","","","","西","市道",7.0,"市街化調整区域",50,100,"2019年第４四半期","",""
44,"宅地(土地)","住宅地","14214","神奈川県","伊勢原市","石田","愛甲石田","19",30000000,"100000","","1000",30000,"長方形","20.0","","","","","","西","市道",7.0,"市街化調整区域",50,100,"2019年第４四半期","",""
45,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","5",27000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第４四半期","未改装",""
46,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","4",19000000,"","３ＬＤＫ","60",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
47,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","3",16000000,"","２ＬＤＫ","60",,"","","","平成6年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
48,"中古マンション等","","14214","神奈川県","伊勢原市","石田","愛甲石田","6",24000000,"","３ＬＤＫ","65",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
