"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14217","神奈川県","南足柄市","雨坪","大雄山","21",5400000,"100000","","180",30000,"不整形","19.8","","","","","倉庫","北西","市道",3.9,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","14217","神奈川県","南足柄市","雨坪","大雄山","23",2500000,"6500","","1300",2000,"不整形","50.0m以上","","","","","","北","道路",4.0,"市街化調整区域",50,100,"2020年第１四半期","",""
3,"宅地(土地と建物)","住宅地","14217","神奈川県","南足柄市","雨坪","大雄山","15",8000000,"","","520",,"台形","25.0","105","昭和30年","木造","住宅","住宅","南","私道",1.5,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
4,"宅地(土地)","住宅地","14217","神奈川県","南足柄市","雨坪","大雄山","18",9800000,"100000","","320",31000,"台形","24.0","","","","","住宅","東","道路",4.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
5,"宅地(土地と建物)","住宅地","14217","神奈川県","南足柄市","雨坪","大雄山","16",29000000,"","","120",,"ほぼ台形","8.0","85","平成31年","木造","住宅","住宅","北西","市道",4.0,"第２種中高層住居専用地域",60,200,"2019年第１四半期","",""
6,"宅地(土地と建物)","住宅地","14217","神奈川県","南足柄市","雨坪","大雄山","19",4200000,"","","100",,"ほぼ台形","10.0","60","昭和57年","木造","住宅","住宅","北西","市道",3.6,"第１種中高層住居専用地域",60,200,"2017年第３四半期","",""
7,"宅地(土地)","住宅地","14217","神奈川県","南足柄市","雨坪","大雄山","10",20000000,"110000","","600",33000,"不整形","15.0","","","","","住宅","南東","道路",5.0,"第１種中高層住居専用地域",60,200,"2016年第４四半期","",""
8,"宅地(土地と建物)","住宅地","14217","神奈川県","南足柄市","飯沢","大雄山","6",36000000,"","","165",,"不整形","","110","令和3年","木造","住宅","住宅","南西","私道",4.5,"第１種住居地域",60,200,"2020年第４四半期","",""
9,"宅地(土地)","住宅地","14217","神奈川県","南足柄市","飯沢","大雄山","9",2400000,"200000","","40",60000,"ほぼ長方形","3.5","","","","","その他","東","私道",4.7,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","14217","神奈川県","南足柄市","飯沢","大雄山","7",13000000,"","","100",,"ほぼ正方形","9.7","95","平成8年","木造","住宅","住宅","南東","私道",4.5,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
