"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","宅地見込地","14212","神奈川県","厚木市","愛甲","愛甲石田","18",6100000,"110000","","185",33000,"ほぼ台形","","","","","","その他","接面道路無","",,"市街化調整区域",50,100,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14212","神奈川県","厚木市","愛甲","愛甲石田","10",22000000,"","","195",,"ほぼ台形","19.0","150","平成8年","木造","共同住宅","住宅","西","市道",1.8,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14212","神奈川県","厚木市","愛甲","愛甲石田","13",22000000,"","","130",,"ほぼ正方形","11.7","120","昭和63年","木造","共同住宅","住宅","西","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
4,"宅地(土地)","宅地見込地","14212","神奈川県","厚木市","愛甲","愛甲石田","18",14000000,"120000","","380",36000,"ほぼ台形","5.0","","","","","","南","市道",2.5,"市街化調整区域",50,100,"2020年第４四半期","",""
5,"中古マンション等","","14212","神奈川県","厚木市","愛甲","愛甲石田","3",7000000,"","３ＬＤＫ","70",,"","","","昭和55年","ＲＣ","","住宅","","",,"第２種住居地域",60,200,"2020年第４四半期","未改装",""
6,"宅地(土地と建物)","住宅地","14212","神奈川県","厚木市","愛甲","愛甲石田","10",15000000,"","","85",,"不整形","","80","平成8年","軽量鉄骨造","住宅","住宅","北西","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
7,"中古マンション等","","14212","神奈川県","厚木市","愛甲","愛甲石田","9",20000000,"","３ＬＤＫ","65",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第２四半期","改装済",""
8,"中古マンション等","","14212","神奈川県","厚木市","愛甲","愛甲石田","3",9000000,"","３ＬＤＫ","70",,"","","","昭和55年","ＲＣ","住宅","事務所","","",,"第２種住居地域",60,200,"2020年第１四半期","未改装",""
9,"宅地(土地)","住宅地","14212","神奈川県","厚木市","愛甲","愛甲石田","7",26000000,"740000","","115",220000,"ほぼ長方形","8.5","","","","","住宅","南","市道",5.0,"第２種住居地域",60,200,"2019年第４四半期","",""
10,"宅地(土地)","住宅地","14212","神奈川県","厚木市","愛甲","愛甲石田","5",20000000,"670000","","100",200000,"ほぼ正方形","10.0","","","","","住宅","南東","私道",4.6,"第１種住居地域",60,200,"2019年第４四半期","",""
11,"中古マンション等","","14212","神奈川県","厚木市","愛甲","愛甲石田","4",4200000,"","２ＤＫ","45",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2019年第４四半期","改装済",""
12,"中古マンション等","","14212","神奈川県","厚木市","愛甲","愛甲石田","4",4200000,"","２ＤＫ","45",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2019年第４四半期","未改装",""
13,"中古マンション等","","14212","神奈川県","厚木市","愛甲","愛甲石田","4",4200000,"","２ＤＫ","45",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2019年第４四半期","未改装",""
14,"中古マンション等","","14212","神奈川県","厚木市","愛甲","愛甲石田","9",17000000,"","２ＬＤＫ","60",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第４四半期","未改装",""
