"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","6",100000000,"","","660",,"長方形","14.8","640","昭和63年","鉄骨造","共同住宅","","南","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","6",27000000,"","","100",,"ほぼ正方形","9.0","90","平成18年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","","調停・競売等"
3,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","16",25000000,"","","105",,"ほぼ長方形","9.5","100","平成17年","木造","住宅","住宅","東","市道",4.0,"準工業地域",60,200,"2020年第２四半期","",""
4,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","14",28000000,"","","80",,"ほぼ長方形","11.1","80","令和2年","木造","住宅","住宅","北","市道",5.0,"準工業地域",60,200,"2020年第１四半期","",""
5,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","8",41000000,"","","140",,"ほぼ台形","7.9","105","令和2年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第１四半期","",""
6,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","5",41000000,"","","95",,"ほぼ長方形","9.2","95","令和2年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第１四半期","",""
7,"宅地(土地)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","7",140000000,"500000","","910",150000,"不整形","43.0","","","","","","南","市道",4.2,"第１種低層住居専用地域",50,100,"2019年第４四半期","",""
8,"宅地(土地)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","4",30000000,"700000","","140",210000,"正方形","","","","","","住宅","西","私道",4.0,"第１種住居地域",60,200,"2019年第３四半期","",""
9,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","9",9200000,"","","185",,"正方形","13.0","80","平成24年","木造","住宅","住宅","西","私道",6.0,"市街化調整区域",50,100,"2019年第３四半期","","調停・競売等"
10,"宅地(土地)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","3",26000000,"700000","","120",210000,"ほぼ長方形","4.0","","","","","住宅","西","私道",4.0,"第１種住居地域",60,200,"2019年第２四半期","",""
11,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","7",36000000,"","","100",,"長方形","7.8","100","平成30年","木造","住宅","住宅","北","市道",4.0,"第１種低層住居専用地域",50,100,"2019年第１四半期","",""
12,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","10",42000000,"","","160",,"ほぼ長方形","11.5","95","平成30年","木造","住宅","","南東","市道",6.0,"市街化調整区域",50,100,"2018年第４四半期","",""
13,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","7",21000000,"","","120",,"長方形","16.9","100","昭和56年","木造","住宅","住宅","西","道路",4.5,"準工業地域",60,200,"2018年第４四半期","",""
14,"宅地(土地)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","9",130000000,"380000","","1200",110000,"ほぼ長方形","27.0","","","","","住宅","南東","市道",6.0,"市街化調整区域",50,100,"2018年第１四半期","",""
15,"宅地(土地と建物)","住宅地","14213","神奈川県","大和市","上草柳","相模大塚","12",20000000,"","","80",,"不整形","11.5","90","平成14年","木造","住宅","住宅","西","市道",2.7,"工業地域",60,150,"2017年第３四半期","",""
