"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","14206","神奈川県","小田原市","穴部","穴部","5",33000000,"","","300",,"ほぼ長方形","9.7","520","昭和49年","鉄骨造","事務所、倉庫","倉庫","南西","県道",10.5,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","穴部","穴部","1",8900000,"","","95",,"長方形","6.2","75","昭和48年","木造","共同住宅","住宅","北東","私道",4.1,"第１種住居地域",60,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","穴部","穴部","6",300000,"","","330",,"袋地等","3.0","110","昭和46年","木造","住宅","その他","西","市道",4.0,"市街化調整区域",50,100,"2020年第２四半期","",""
4,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","穴部","穴部","6",1000000,"","","290",,"ほぼ整形","14.0","110","昭和48年","木造","住宅","その他","南西","市道",4.0,"市街化調整区域",50,100,"2020年第２四半期","",""
5,"宅地(土地)","住宅地","14206","神奈川県","小田原市","穴部","穴部","4",15000000,"260000","","195",78000,"長方形","10.0","","","","","住宅","東","市道",3.7,"第１種中高層住居専用地域",60,200,"2016年第２四半期","",""
6,"宅地(土地)","住宅地","14206","神奈川県","小田原市","穴部","穴部","5",6500000,"160000","","135",48000,"不整形","","","","","","住宅","西","私道",4.0,"第１種住居地域",60,200,"2016年第２四半期","",""
7,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","穴部","穴部","5",13000000,"","","130",,"袋地等","3.0","105","平成11年","木造","住宅","住宅","東","道路",6.0,"第１種中高層住居専用地域",50,200,"2016年第２四半期","",""
8,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","穴部","穴部","4",21000000,"","","140",,"長方形","6.7","100","平成27年","木造","住宅","住宅","南東","市道",4.0,"第１種中高層住居専用地域",50,200,"2016年第１四半期","",""
9,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","相模沼田","7",25000000,"","","105",,"ほぼ整形","10.5","90","平成31年","木造","住宅","住宅","東","道路",4.5,"第１種低層住居専用地域",60,100,"2020年第１四半期","",""
10,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","相模沼田","11",28000000,"","","220",,"長方形","10.5","100","平成30年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",60,100,"2019年第１四半期","","私道を含む取引"
11,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","相模沼田","13",31000000,"","","120",,"ほぼ長方形","8.0","100","平成30年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
12,"宅地(土地)","住宅地","14206","神奈川県","小田原市","新屋","相模沼田","6",3000000,"300000","","35",91000,"ほぼ長方形","10.5","","","","","住宅","東","道路",6.6,"第１種低層住居専用地域",60,100,"2017年第２四半期","",""
13,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","相模沼田","6",2000000,"","","75",,"ほぼ長方形","","75","平成2年","木造","住宅","住宅","南","道路",5.0,"第１種低層住居専用地域",60,100,"2017年第２四半期","",""
14,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","相模沼田","1",19000000,"","","120",,"ほぼ長方形","","105","平成28年","木造","住宅","住宅","南西","市道",4.0,"第１種住居地域",60,200,"2016年第４四半期","","私道を含む取引"
15,"宅地(土地)","住宅地","14206","神奈川県","小田原市","新屋","富水","9",14000000,"340000","","135",100000,"ほぼ長方形","13.0","","","","","住宅","東","市道",6.0,"第１種低層住居専用地域",60,100,"2020年第４四半期","",""
16,"宅地(土地)","住宅地","14206","神奈川県","小田原市","新屋","富水","15",14000000,"230000","","200",69000,"ほぼ長方形","14.2","","","","","その他","西","市道",6.6,"第１種低層住居専用地域",60,100,"2020年第２四半期","",""
17,"宅地(土地)","住宅地","14206","神奈川県","小田原市","新屋","富水","9",99000000,"120000","","2000㎡以上",37000,"ほぼ正方形","49.0","","","","","住宅","西","市道",5.5,"第１種低層住居専用地域",60,100,"2020年第２四半期","",""
18,"中古マンション等","","14206","神奈川県","小田原市","新屋","富水","10",3000000,"","３ＬＤＫ","50",,"","","","","ＲＣ","","住宅","","",,"第１種低層住居専用地域",60,100,"2019年第４四半期","未改装",""
19,"中古マンション等","","14206","神奈川県","小田原市","新屋","富水","10",3000000,"","３ＬＤＫ","50",,"","","","昭和59年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",60,100,"2019年第４四半期","未改装",""
20,"中古マンション等","","14206","神奈川県","小田原市","新屋","富水","9",6000000,"","２ＬＤＫ","50",,"","","","昭和59年","ＲＣ","","","","",,"第１種低層住居専用地域",60,100,"2019年第３四半期","未改装",""
21,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","富水","11",42000000,"","","170",,"袋地等","","100","令和2年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",60,100,"2019年第２四半期","",""
22,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","富水","13",29000000,"","","135",,"ほぼ台形","9.2","100","平成30年","木造","住宅","","南","私道",4.0,"第１種低層住居専用地域",50,100,"2019年第１四半期","","私道を含む取引"
23,"宅地(土地)","住宅地","14206","神奈川県","小田原市","新屋","富水","10",52000000,"160000","","1100",48000,"ほぼ長方形","50.0m以上","","","","","","西","市道",4.8,"第１種低層住居専用地域",60,100,"2018年第１四半期","",""
24,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","富水","8",18000000,"","","105",,"ほぼ長方形","8.0","100","平成29年","木造","住宅","住宅","東","市道",4.0,"第１種住居地域",60,200,"2017年第１四半期","",""
25,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","富水","10",20000000,"","","155",,"長方形","","110","平成17年","ＲＣ","住宅","","東","道路",4.5,"第１種住居地域",60,200,"2016年第４四半期","",""
26,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","富水","10",34000000,"","","120",,"ほぼ長方形","6.6","100","平成28年","木造","住宅","住宅","南西","市道",4.8,"第１種低層住居専用地域",60,100,"2016年第３四半期","",""
27,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","新屋","富水","10",29000000,"","","120",,"長方形","14.0","100","平成27年","木造","住宅","住宅","北西","道路",4.0,"第１種低層住居専用地域",60,100,"2016年第１四半期","",""
28,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","21",15000000,"370000","","130",110000,"ほぼ長方形","11.0","","","","","住宅","東","市道",5.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
29,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","14",46000000,"","","140",,"不整形","14.0","100","令和2年","木造","住宅","住宅","東","市道",4.5,"準住居地域",60,200,"2020年第４四半期","",""
30,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","16",21000000,"200000","","350",59000,"長方形","26.3","","","","","住宅","東","私道",6.0,"市街化調整区域",50,100,"2020年第３四半期","",""
31,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","15",8700000,"250000","","115",74000,"台形","13.2","","","","","住宅","南","私道",4.0,"第１種住居地域",60,200,"2020年第３四半期","",""
32,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","19",12000000,"310000","","125",94000,"ほぼ長方形","8.5","","","","","住宅","北","市道",5.8,"準住居地域",60,200,"2020年第２四半期","",""
33,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","15",23000000,"220000","","340",66000,"長方形","16.5","","","","","住宅","東","道路",6.0,"市街化調整区域",50,100,"2020年第２四半期","",""
34,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","13",28000000,"","","160",,"ほぼ長方形","4.0","110","平成30年","木造","住宅","住宅","南","道路",4.5,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
35,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","14",10000000,"210000","","160",64000,"袋地等","3.0","","","","","住宅","南","道路",4.5,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
36,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","14",41000000,"","","135",,"ほぼ長方形","14.8","100","令和2年","木造","住宅","住宅","東","市道",4.5,"準住居地域",60,200,"2020年第２四半期","",""
37,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","17",22000000,"190000","","390",56000,"ほぼ整形","14.0","","","","","住宅","東","私道",6.0,"市街化調整区域",50,100,"2020年第１四半期","",""
38,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","13",73000000,"","","230",,"ほぼ長方形","6.0","175","令和2年","","","住宅","南西","道路",4.5,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
39,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","18",26000000,"86000","","980",26000,"長方形","49.5","","","","","","南西","私道",4.2,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
40,"宅地(土地)","工業地","14206","神奈川県","小田原市","飯泉","鴨宮","30分?60分",50000000,"190000","","890",56000,"ほぼ台形","18.0","","","","","","東","道路",6.0,"工業地域",60,200,"2020年第１四半期","",""
41,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","15",22000000,"210000","","340",64000,"長方形","15.0","","","","","住宅","東","私道",6.0,"市街化調整区域",50,100,"2019年第４四半期","",""
42,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","15",21000000,"230000","","300",70000,"ほぼ整形","11.5","","","","","住宅","東","私道",6.0,"市街化調整区域",50,100,"2019年第４四半期","",""
43,"宅地(土地)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","14",30000000,"360000","","280",110000,"ほぼ長方形","32.0","","","","","住宅","東","市道",4.5,"準住居地域",60,200,"2019年第４四半期","",""
44,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","16",45000000,"","","340",,"長方形","16.4","115","平成31年","木造","住宅","住宅","東","私道",6.0,"市街化調整区域",50,100,"2019年第３四半期","",""
45,"宅地(土地と建物)","住宅地","14206","神奈川県","小田原市","飯泉","鴨宮","21",23000000,"","","170",,"ほぼ長方形","8.0","150","平成17年","木造","住宅","住宅","南","市道",4.5,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
